"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Bottling Group LLC","PepsiCo","$5,018","$0","$5,018","2012","20120402","employment-related offenses","Family and Medical Leave Act","","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1663405","","","California","Benicia","","94510","312111","312111: Soft Drink Manufacturing","USA","New York","publicly traded","PEP","food products","food products","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Frito Lay, Inc.","PepsiCo","$64,000","$0","$64,000","2009","20091207","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","07-CA-51874-001","","","Michigan","Southgate","","48195","311919","311919: Other Snack Food Manufacturing","USA","New York","publicly traded","PEP","food products","food products","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Frito Lay, Inc.","PepsiCo","$54,766","$0","$54,766","2002","20020228","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","36-CA-08948-001","","","Washington","Vancouver","","98684","311919","311919: Other Snack Food Manufacturing","USA","New York","publicly traded","PEP","food products","food products","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Frito-Lay, Inc.","PepsiCo","$75,000","$0","$75,000","2001","20010703","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","16-CA-21167-001","","","Texas","Irving","","75061","311919","311919: Other Snack Food Manufacturing","USA","New York","publicly traded","PEP","food products","food products","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Frito-Lay, Inc.","PepsiCo","$196,969","$0","$196,969","2008","20080617","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","08-CA-37202-001","","","Ohio","Martins Ferry","","43935","445110","445110: Supermarkets and Other Grocery (except Convenience) Stores","USA","New York","publicly traded","PEP","food products","food products","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Frito-Lay, Inc.","PepsiCo","$25,200","$0","$25,200","2001","20011116","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","16-CA-20721-001","","","Texas","Dallas","","75266-0634","311919","311919: Other Snack Food Manufacturing","USA","New York","publicly traded","PEP","food products","food products","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Frito-Lay, Inc.","PepsiCo","$19,000","$0","$19,000","2005","20051214","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","05-CA-32567-001","","","Maryland","Beltsville","","20705","424490","424490: Other Grocery and Related Products Merchant Wholesalers","USA","New York","publicly traded","PEP","food products","food products","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Frito-Lay, Inc.","PepsiCo","$15,695","$0","$15,695","2006","20061130","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","36-CA-09644-001","","","Washington","Vancouver","","98660","311919","311919: Other Snack Food Manufacturing","USA","New York","publicly traded","PEP","food products","food products","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Frito-Lay, Inc.","PepsiCo","$11,756","$0","$11,756","2005","20051122","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","36-CA-09583-001","","","Washington","Vancouver","","98660","311919","311919: Other Snack Food Manufacturing","USA","New York","publicly traded","PEP","food products","food products","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Frito-Lay, Inc.","PepsiCo","$5,000","$0","$5,000","2000","20000405","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","36-CA-08470-001","","","Oregon","Medford","","97501","311919","311919: Other Snack Food Manufacturing","USA","New York","publicly traded","PEP","food products","food products","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Frito-Lay, Inc.","PepsiCo","$50,000","$0","$50,000","2021","20210217","employment-related offenses","employment discrimination","","religious discrimination","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Florida","","","","","","USA","New York","publicly traded","PEP","food products","food products","https://www.eeoc.gov/newsroom/frito-lay-settles-eeoc-religious-discrimination-lawsuit",""
"Pepsi Americas","PepsiCo","$50,279","$0","$50,279","2007","20070812","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1469202","","","Puerto Rico","Toa Baja","","","312111","312111: Soft Drink Manufacturing","USA","New York","publicly traded","PEP","food products","food products","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"PEPSI AMERICAS","PepsiCo","$8,307","$0","$8,307","2002","20020416","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","15-CA-16165-001","","","Louisiana","BATON ROUGE","","70809","312111","312111: Soft Drink Manufacturing","USA","New York","publicly traded","PEP","food products","food products","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Pepsi Americas, Inc.","PepsiCo","$47,617","$0","$47,617","2005","20050501","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1391620","","","Puerto Rico","Toa Baja","","","312111","312111: Soft Drink Manufacturing","USA","New York","publicly traded","PEP","food products","food products","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Pepsi-Americas, Inc.","PepsiCo","$14,664","$0","$14,664","2005","20051002","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1428264","","","Puerto Rico","Toa Baja","","","312111","312111: Soft Drink Manufacturing","USA","New York","publicly traded","PEP","food products","food products","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Pepsi Beverages","PepsiCo","$3,130,000","$0","$3,130,000","2012","20120111","employment-related offenses","employment discrimination","","race","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Minnesota","","","","","","USA","New York","publicly traded","PEP","food products","food products","https://www.eeoc.gov/eeoc/newsroom/release/1-11-12a.cfm","Description field shows type of discrimination that EEOC had alleged."
"Pepsi Bottling Group","PepsiCo","$16,051","$0","$16,051","2004","20040514","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","18-CA-16726-001","","","Minnesota","Burnsville","","55337","312111","312111: Soft Drink Manufacturing","USA","New York","publicly traded","PEP","food products","food products","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Pepsi Bottling Group","PepsiCo","$8,352","$0","$8,352","2004","20040210","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","03-CA-24229-001","","","New York","Syracuse","","13057","312111","312111: Soft Drink Manufacturing","USA","New York","publicly traded","PEP","food products","food products","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Pepsi Bottling Group","PepsiCo","$5,805","$0","$5,805","2006","20060110","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","34-CA-10641-001","","","Connecticut","Fairfield","","06824","312111","312111: Soft Drink Manufacturing","USA","New York","publicly traded","PEP","food products","food products","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Pepsi Bottling Group","PepsiCo","$5,775","$0","$5,775","2006","20060302","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","16-CA-24101-001","","","Texas","Austin","","78754","312111","312111: Soft Drink Manufacturing","USA","New York","publicly traded","PEP","food products","food products","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Pepsi Bottling Group Inc.","PepsiCo","$120,000","$0","$120,000","2011","20110802","employment-related offenses","employment discrimination","Americans with Disabilities Act","Disabilities","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","California","","","","","","USA","New York","publicly traded","PEP","food products","food products","https://www.eeoc.gov/eeoc/newsroom/release/8-2-11a.cfm","Description field shows type of discrimination that EEOC had alleged."
"Pepsi Bottling Group, Inc.","PepsiCo","$21,335","$0","$21,335","2006","20060302","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","16-CA-23365-001","","","Texas","Austin","","78754","312111","312111: Soft Drink Manufacturing","USA","New York","publicly traded","PEP","food products","food products","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"The Pepsi Bottling Group","PepsiCo","$15,996","$0","$15,996","2007","20070919","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","04-CA-35262-001","","","Pennsylvania","Philadelphia","","19154","312111","312111: Soft Drink Manufacturing","USA","New York","publicly traded","PEP","food products","food products","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"The Pepsi Bottling Group, Inc.","PepsiCo","$32,259","$0","$32,259","2008","20080911","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","11-CA-21927-001","","","North Carolina","Winston-Salem","","27105","312111","312111: Soft Drink Manufacturing","USA","New York","publicly traded","PEP","food products","food products","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Pepsi Bottling Holdings Inc.","PepsiCo","$20,200","$0","$20,200","2012","20120813","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1663289","","","Texas","Lubbock","","79404","312111","312111: Soft Drink Manufacturing","USA","New York","publicly traded","PEP","food products","food products","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Pepsi Cola Company","PepsiCo","$90,000","$0","$90,000","2000","20000926","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","12-CA-18854-001","","","Florida","Miami","","33166","312111","312111: Soft Drink Manufacturing","USA","New York","publicly traded","PEP","food products","food products","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Pepsi Cola Bottling Co., Inc.","PepsiCo","$16,665","$0","$16,665","2004","20040505","employment-related offenses","wage and hour violation","child labor or youth employment violation","child labor penalties included","federal","agency action","Labor Department Wage and Hour Division","civil","","","1360639","","","Alabama","Atmore","","36502","49319","49319: Other Warehousing and Storage","USA","New York","publicly traded","PEP","food products","food products","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Pepsico","PepsiCo","$90,123","$0","$90,123","2008","20080602","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","28-CA-21580-001","","","Arizona","Tolleson","","85353","312111","312111: Soft Drink Manufacturing","USA","New York","publicly traded","PEP","food products","food products","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"PepsiCo Beverages and Foods/Quaker Oats Company","PepsiCo","$25,000","$0","$25,000","2007","20070628","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","04-CA-34600-001","","","Pennsylvania","Mountaintop","","18707","312111","312111: Soft Drink Manufacturing","USA","New York","publicly traded","PEP","food products","food products","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"ROLLING FRITO LAY SALES LP","PepsiCo","$5,920","$0","$5,920","2006","20060224","safety-related offenses","motor vehicle safety violation","","TX-2006-1028-US1204","federal","agency action","Federal Motor Carrier Safety Administration","civil","","","","","","Texas","PLANO","","","","","USA","New York","publicly traded","PEP","food products","food products","https://www.fmcsa.dot.gov/regulations/enforcement/national-listing-enforcement-cases-subject-name-closed-fiscal-year-2006-pdf","Year is fiscal year. Date is closing date."
"South Beach Beverage Company, Inc.","PepsiCo","$1,790,000","$0","$1,790,000","2002","20021223","employment-related offenses","employment discrimination","","sexual harassment","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","New York","","","","","","USA","New York","publicly traded","PEP","food products","food products","https://www.eeoc.gov/eeoc/newsroom/release/archive/12-23-02-a.html","Description field shows type of discrimination that EEOC had alleged."
"FRITO-LAY NORTH AMERICA, INC.","PepsiCo","$69,000","$0","$69,000","2008","20080814","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Arizona","CASA GRANDE","1450 W MARICOPA HWY","85193","311919","311919: Other Snack Food Manufacturing","USA","New York","publicly traded","PEP","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"STACY'S PITA CHIP COMPANY","PepsiCo","$5,000","$0","$5,000","2008","20080515","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Massachusetts","RANDOLPH","663 NORTH STREET","02301","311821","311821: Cookie and Cracker Manufacturing","USA","New York","publicly traded","PEP","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"PEPSI-COLA","PepsiCo","$13,500","$0","$13,500","2008","20080415","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Massachusetts","HAVERHILL","261 NECK ROAD","01835","424490","424490: Other Grocery and Related Products Merchant Wholesalers","USA","New York","publicly traded","PEP","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
