"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"CRYSTAL INC PMC","PMC Group","$7,000","$0","$7,000","2007","20071221","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","New Jersey","privately held","","chemicals","chemicals","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"CRYSTAL, INC. - PMC","PMC Group","$21,600","$0","$21,600","2006","20060302","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","LANSDALE","601 W. 8TH STREET","19446","325998","325998: All Other Miscellaneous Chemical Product and Preparation Manufacturing","USA","New Jersey","privately held","","chemicals","chemicals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CRYSTAL, INC. - PMC","PMC Group","$108,400","$0","$108,400","2006","20060113","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","LANSDALE","601 W. 8TH STREET","19446","325199","325199: All Other Basic Organic Chemical Manufacturing","USA","New Jersey","privately held","","chemicals","chemicals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CRYSTAL, INC. - PMC","PMC Group","$30,000","$0","$30,000","2001","20010625","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","LANSDALE","601 W. 8TH STREET","19446","000000","","USA","New Jersey","privately held","","chemicals","chemicals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CRYSTAL, INC. - PMC","PMC Group","$5,415","$0","$5,415","2000","20000501","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","LANSDALE","601 W. 8TH STREET","19446","000000","","USA","New Jersey","privately held","","chemicals","chemicals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CRYSTAL, INC. - PMC","PMC Group","$7,758","$0","$7,758","2000","20000501","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","LANSDALE","601 W. 8TH STREET","19446","000000","","USA","New Jersey","privately held","","chemicals","chemicals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"PMC ORGANOMETALLIX INC","PMC Group","$71,000","$0","$71,000","2016","20160225","environment-related offenses","environmental violation","","water pollution violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","DOW -150035","","","Kentucky","","","","","","USA","New Jersey","privately held","","chemicals","chemicals","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"PMC ORGANOMETALLIX","PMC Group","$75,000","$0","$75,000","2014","20140812","environment-related offenses","environmental violation","","air quality violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","DAQ -130174","","","Kentucky","","","","","","USA","New Jersey","privately held","","chemicals","chemicals","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"PMC Biogenix, Inc.","PMC Group","$6,601","$0","$6,601","2012","20120418","environment-related offenses","environmental violation","","solid waste violation","state","agency action","Tennessee Department of Environment & Conservation","civil","","","HWM12-0001","","","Tennessee","","","","","","USA","New Jersey","privately held","","chemicals","chemicals","Contained in data received from the agency on January 25, 2021 in response to an open records request. The data was a spreadsheet compilation of information in the search engine at http://tdec.tn.gov:8080/pls/enf_reports/f?p=9001:710::::::",""
"PMC BIOGENIX INC","PMC Group","$12,850","$0","$12,850","2012","20120911","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Tennessee","MEMPHIS","1231 POPE STREET","38108","325199","325199: All Other Basic Organic Chemical Manufacturing","USA","New Jersey","privately held","","chemicals","chemicals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
