"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Reichhold Chemicals Inc.","Polynt-Reichhold","$50,000","$0","$50,000","2001","20010123","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Italy","","privately held","","chemicals","synthetic resins","Taken from the Federal Railroad Administration's FY2001 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Reichhold Chemicals Inc.","Polynt-Reichhold","$6,800","$0","$6,800","2004","20040312","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Italy","","privately held","","chemicals","synthetic resins","Taken from the Federal Railroad Administration's FY2004 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Reichold, Inc., AZUSA Plan-Bulk Storage","Polynt-Reichhold","$7,500","$0","$7,500","2017","20170120","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","ZRAZ 2016-1(HMT)","","","","","","","","","Italy","","privately held","","chemicals","synthetic resins","https://www.fra.dot.gov/Elib/Document/17839",""
"Polynt Composites USA, Inc.","Polynt-Reichhold","$5,000","$0","$5,000","2018","20180911","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","ZPCU 2018-1(HMT)","","","","","","","","","Italy","","privately held","","chemicals","synthetic resins","https://www.fra.dot.gov/eLib/Find#p1_z5_lEA",""
"Reichold, Inc.","Polynt-Reichhold","$30,000","$0","$30,000","2001","20010830","environment-related offenses","environmental violation","","Water Quality Control Act (including Surface Water Allocation)","state","agency action","Georgia Environmental Protection Division","civil","","","EPD-WQ-3914","","","Georgia","","","","","","Italy","","privately held","","chemicals","synthetic resins","Contained in a spreadsheet obtained from the agency on October 7, 2020 in response to an open records request. The spreadsheet contains cases from the enforcement database accessible at https://enfo.gaepd.org/Orders/Search",""
"Reichold, Incorporated","Polynt-Reichhold","$7,500","$0","$7,500","2000","20000831","environment-related offenses","environmental violation","","Air Quality Act","state","agency action","Georgia Environmental Protection Division","civil","","","EPD-AQC-1681","","","Georgia","","","","","","Italy","","privately held","","chemicals","synthetic resins","Contained in a spreadsheet obtained from the agency on October 7, 2020 in response to an open records request. The spreadsheet contains cases from the enforcement database accessible at https://enfo.gaepd.org/Orders/Search",""
"REICHHOLD INC","Polynt-Reichhold","$80,000","$0","$80,000","2007","20070622","environment-related offenses","environmental violation","","air quality violation","state","agency action","New Jersey Department of Environmental Protection","civil","","","05010-NEA070001","","","New Jersey","","","","","","Italy","","privately held","","chemicals","synthetic resins","Contained in data received from the agency on October 26, 2020 in response to an open records request. The data was a spreadsheet version of information contained in the records in the DEP DataMiner at https://www13.state.nj.us/DataMiner",""
"REICHHOLD INC","Polynt-Reichhold","$9,644","$0","$9,644","2005","20051216","environment-related offenses","environmental violation","","air quality violation","state","agency action","New Jersey Department of Environmental Protection","civil","","","05010-PEA050007","","","New Jersey","","","","","","Italy","","privately held","","chemicals","synthetic resins","Contained in data received from the agency on October 26, 2020 in response to an open records request. The data was a spreadsheet version of information contained in the records in the DEP DataMiner at https://www13.state.nj.us/DataMiner",""
"REICHHOLD INC","Polynt-Reichhold","$6,000","$0","$6,000","2005","20050426","environment-related offenses","environmental violation","","air quality violation","state","agency action","New Jersey Department of Environmental Protection","civil","","","05010-PEA050003","","","New Jersey","","","","","","Italy","","privately held","","chemicals","synthetic resins","Contained in data received from the agency on October 26, 2020 in response to an open records request. The data was a spreadsheet version of information contained in the records in the DEP DataMiner at https://www13.state.nj.us/DataMiner",""
"REICHHOLD INC","Polynt-Reichhold","$59,996","$0","$59,996","2002","20020418","environment-related offenses","environmental violation","","air quality violation","state","agency action","New Jersey Department of Environmental Protection","civil","","","05010-NEA010001","","","New Jersey","","","","","","Italy","","privately held","","chemicals","synthetic resins","Contained in data received from the agency on October 26, 2020 in response to an open records request. The data was a spreadsheet version of information contained in the records in the DEP DataMiner at https://www13.state.nj.us/DataMiner",""
"REICHHOLD INC","Polynt-Reichhold","$7,500","$0","$7,500","2002","20020225","environment-related offenses","environmental violation","","water quality violation","state","agency action","New Jersey Department of Environmental Protection","civil","","","46927-NEA020001","","","New Jersey","","","","","","Italy","","privately held","","chemicals","synthetic resins","Contained in data received from the agency on October 26, 2020 in response to an open records request. The data was a spreadsheet version of information contained in the records in the DEP DataMiner at https://www13.state.nj.us/DataMiner",""
"REICHHOLD INC","Polynt-Reichhold","$15,000","$0","$15,000","2001","20011004","environment-related offenses","environmental violation","","water quality violation","state","agency action","New Jersey Department of Environmental Protection","civil","","","46927-NEA010002","","","New Jersey","","","","","","Italy","","privately held","","chemicals","synthetic resins","Contained in data received from the agency on October 26, 2020 in response to an open records request. The data was a spreadsheet version of information contained in the records in the DEP DataMiner at https://www13.state.nj.us/DataMiner",""
"Polynt Composites USA Inc","Polynt-Reichhold","$12,500","$0","$12,500","2018","20181221","environment-related offenses","environmental violation","","air pollution","local","agency action","South Coast (CA) Air Quality Management District ","civil","","","","","","California","","","","","","Italy","","privately held","","chemicals","synthetic resins","http://www.aqmd.gov/docs/default-source/Agendas/Governing-Board/2019/2019-feb1-013.pdf?sfvrsn=2",""
"Reichhold Inc.","Polynt-Reichhold","$5,000","$0","$5,000","2002","20021008","environment-related offenses","environmental violation","","air pollution","local","agency action","South Coast (CA) Air Quality Management District ","civil","","","","","","California","","","","","","Italy","","privately held","","chemicals","synthetic resins","http://www3.aqmd.gov/hb/2003/January/030120a.html",""
"Reichhold Inc.","Polynt-Reichhold","$11,300","$0","$11,300","2004","20040401","environment-related offenses","environmental violation","","air pollution","local","agency action","South Coast (CA) Air Quality Management District ","civil","","","","","","California","","","","","","Italy","","privately held","","chemicals","synthetic resins","http://www3.aqmd.gov/hb/2004/July/040718a.html",""
