"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Portland General Electric Co.","Portland General Electric","$375,000","$0","$375,000","2010","20100604","competition-related offenses","energy market violation","","","federal","agency action","Federal Energy Regulatory Commission","civil","","","","","","","","","","","","USA","Oregon","publicly traded","POR","utilities and power generation","utilities","https://www.ferc.gov/enforcement/civil-penalties/actions/civil-penalty-action-2010.asp",""
"Portland General Electric","Portland General Electric","$20,000","$0","$20,000","2010","20101216","consumer-protection-related offenses","discriminatory practices (non-employment)","","","federal","agency action","U.S. Attorney-District of Oregon","civil","","","","","","","","","","","","USA","Oregon","publicly traded","POR","utilities and power generation","utilities","PORTLAND GENERAL ELECTRIC AGREES TO PAY KOREAN WAR VETERAN $20,000 TO SETTLE FEDERAL VETERAN'S RIGHTS ACT LAWSUIT, US Fed News, December 16, 2010 (via Nexis).",""
"PORTLAND GENERAL ELECTRIC COMPANY","Portland General Electric","$6,600","$0","$6,600","2017","20170712","environment-related offenses","environmental violation","","water pollution violation","state","agency action","Oregon Department of Environmental Quality","civil","","","2017-120","","","Oregon","Estacada","","","","","USA","Oregon","publicly traded","POR","utilities and power generation","utilities","https://www.deq.state.or.us/programs/enforcement/EnfQuery.asp",""
"PORTLAND GENERAL ELECTRIC COMPANY","Portland General Electric","$21,600","$0","$21,600","2016","20160318","environment-related offenses","environmental violation","","air quality violations","state","agency action","Oregon Department of Environmental Quality","civil","","","2016-049","","","Oregon","Clatskanie","","","","","USA","Oregon","publicly traded","POR","utilities and power generation","utilities","https://www.deq.state.or.us/programs/enforcement/EnfQuery.asp",""
"PORTLAND GENERAL ELECTRIC COMPANY","Portland General Electric","$7,200","$0","$7,200","2015","20151124","environment-related offenses","environmental violation","","air quality violations","state","agency action","Oregon Department of Environmental Quality","civil","","","2015-173","","","Oregon","Clatskanie","","","","","USA","Oregon","publicly traded","POR","utilities and power generation","utilities","https://www.deq.state.or.us/programs/enforcement/EnfQuery.asp",""
"Portland General Electric Co.","Portland General Electric","$4,966,000","$0","$4,966,000","2008","20080502","environment-related offenses","environmental violation","","Along with PPL Montana (a subsidiary of PPL Corp.), Puget Sound Energy, Avista Corp. and PacifiCorp, Portland General Electric Co.  was one of five owners of Montana's Colstrip power plant that agreed to pay $25 million to settle a lawsuit alleging that the plant was contaminating the town's water supply. Details on how much each defendant would pay were not made public, but PPL and Avita disclosed that their shares totaled $10 million. Here we assumed the other $14.9 million was divided equally between Puget Sound, Portland General Electrical and PacifiCorp.","state","private litigation","","civil","","","","","settlement","Montana","","","","","","USA","Oregon","publicly traded","POR","utilities and power generation","utilities","https://westernjusticelaw.com/articles/Settlement_reached_Montana_Colstrip_lawsuit.pdf",""
"PORTLAND GENERAL ELECTRIC COMPANY","Portland General Electric","$19,000","$0","$19,000","2007","20070601","safety-related offenses","utility safety violation","underground facilities protection violation","","state","agency action","Oregon Public Utility Commission","civil","","","NC 219","","","Oregon","","","","","","USA","Oregon","publicly traded","POR","utilities and power generation","utilities","https://apps.puc.state.or.us/edockets/orders.asp?OrderNumber=07-216",""
"PORTLAND GENERAL ELECTRIC COMPANY","Portland General Electric","$6,000","$0","$6,000","2018","20180618","safety-related offenses","utility safety violation","underground facilities protection violation","","state","agency action","Oregon Public Utility Commission","civil","","","NC 383","","","Oregon","","","","","","USA","Oregon","publicly traded","POR","utilities and power generation","utilities","https://apps.puc.state.or.us/edockets/orders.asp?OrderNumber=18-222",""
"PORTLAND GENERAL ELECTRIC COMPANY","Portland General Electric","$6,000","$0","$6,000","2018","20181010","safety-related offenses","utility safety violation","underground facilities protection violation","","state","agency action","Oregon Public Utility Commission","civil","","","NC 385","","","Oregon","","","","","","USA","Oregon","publicly traded","POR","utilities and power generation","utilities","https://apps.puc.state.or.us/edockets/orders.asp?OrderNumber=18-372",""
"PORTLAND GENERAL ELECTRIC COMPANY","Portland General Electric","$10,000","$0","$10,000","2010","20101223","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Oregon","MULINO","15303 S HOWARDS MILL RD","97042","221112","221112: Fossil Fuel Electric Power Generation","USA","Oregon","publicly traded","POR","utilities and power generation","utilities","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
