"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Kentucky Utilities","PPL Corp.","$136,400,000","$0","$136,400,000","2009","20090203","environment-related offenses","environmental violation","","Kentucky Utilities, a coal-fired electric utility,  agreed to pay a $1.4 million civil penalty and spend approximately $135 million on pollution controls to resolve alleged violations of the Clean Air Act. ","federal","agency action","Justice Department Environment and Natural Resources Division","civil","","","","","","","","","","","","USA","Pennsylvania","publicly traded","PPL","utilities and power generation","utilities","https://www.justice.gov/opa/pr/coal-fired-power-plant-spend-more-135-million-settle-clean-air-violations",""
"Kentucky Utilities Company","PPL Corp.","$57,300,000","$0","$57,300,000","2013","20130102","environment-related offenses","environmental violation","","The U.S. Environmental Protection Agency and the U.S. Department of Justice announce that Kentucky Utilities Company will spend $57 million to install a sulfuric acid mist emission control system, replace a coal-fired boiler, and pay a civil penalty of $300,000 to resolve alleged Clean Air Act violations (CAA) at the Ghent Station facility in Ghent, Kentucky. ","federal","agency action","Environmental Protection Agency","civil","","","","","","Kentucky","Ghent","","","","","USA","Pennsylvania","publicly traded","PPL","utilities and power generation","utilities","https://archive.epa.gov/epapages/newsroom_archive/newsreleases/8e1970012b47f45085257ae7006d1b97.html",""
"Louisville Gas and Electric Co.","PPL Corp.","$350,000","$0","$350,000","2009","20090422","competition-related offenses","energy market violation","","","federal","agency action","Federal Energy Regulatory Commission","civil","","","","","","","","","","","","USA","Pennsylvania","publicly traded","PPL","utilities and power generation","utilities","https://www.ferc.gov/enforcement/civil-penalties/actions/civil-penalty-action-2009.asp",""
"Louisville Gas and Electric Company","PPL Corp.","$11,554","$0","$11,554","2010","20100513","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","09-CA-45305-001","","","Kentucky","Louisville","","40202","221122","221122: Electric Power Distribution","USA","Pennsylvania","publicly traded","PPL","utilities and power generation","utilities","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"KENTUCKY UTILITIES COMPANY","PPL Corp.","$6,300","$0","$6,300","2007","20070327","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kentucky","HARRODSBURG","815 DIX DAM RD","40330","221111","221111: Hydroelectric Power Generation","USA","Pennsylvania","publicly traded","PPL","utilities and power generation","utilities","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"PPL ELECTRIC UTILITIES COMPANY","PPL Corp.","$6,800","$0","$6,800","2000","20000406","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","WASHINGTONVILLE","MONTOUR PLANT, P.O. BOX 128","17884","000000","","USA","Pennsylvania","publicly traded","PPL","utilities and power generation","utilities","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"PPL Electric Utilities Corporation","PPL Corp.","$185,304","$0","$185,304","2018","20180713","employment-related offenses","employment discrimination","","gender","federal","agency action","Office of Federal Contract Compliance Programs","civil","","","","","","Pennsylvania","Allentown","","","","","USA","Pennsylvania","publicly traded","PPL","utilities and power generation","utilities","https://www.dol.gov/ofccp/foia/files/20180713PPL-CA-R00191864-MA-Redacted.pdf",""
"KENTUCKY UTILITIES COMPANY","PPL Corp.","$25,000","$0","$25,000","2017","20170228","environment-related offenses","environmental violation","","water pollution violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","DOW -170001","","","Kentucky","","","","","","USA","Pennsylvania","publicly traded","PPL","utilities and power generation","utilities","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"KENTUCKY UTILITIES COMPANY","PPL Corp.","$20,000","$0","$20,000","2009","20091009","environment-related offenses","environmental violation","","air quality violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","DAQ -090071","","","Kentucky","","","","","","USA","Pennsylvania","publicly traded","PPL","utilities and power generation","utilities","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"PPL Martins Creek LLC","PPL Corp.","$1,500,000","$0","$1,500,000","2008","20080520","environment-related offenses","environmental violation","","fly ash spill","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Pennsylvania","publicly traded","PPL","utilities and power generation","utilities","https://www.ahs.dep.pa.gov/NewsRoomPublic/SearchResults.aspx?id=1790&typeid=1",""
