"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"HCR Manor Care, Inc.","ProMedica","$10,188","$0","$10,188","2006","20061231","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1465474","","","Texas","Dallas","","75201","541214","541214: Payroll Services","USA","Ohio","non-profit","","healthcare services","hospitals","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"HCR Manor Care Inc., d/b/a Heartland of Browning","ProMedica","$30,000","$0","$30,000","2003","20030630","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","08-CA-33847-001","","","Ohio","Toledo","","43699","623110","623110: Nursing Care Facilities","USA","Ohio","non-profit","","healthcare services","hospitals","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"HCR ManorCare, Inc.","ProMedica","$13,473","$0","$13,473","2015","20150605","employment-related offenses","Family and Medical Leave Act","","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1753373","","","Michigan","Wyoming","","49509","623110","623110: Nursing Care Facilities","USA","Ohio","non-profit","","healthcare services","hospitals","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"MANORCARE HEALTH SVCS-BELDEN VILLAGE","ProMedica","$7,150","$0","$7,150","2018","20180517","safety-related offenses","nursing home violation","","","federal","agency action","Centers for Medicare & Medicaid Services","civil","","","","","","Ohio","CANTON","5005 HIGBEE AVENUE NW","44718","","","USA","Ohio","non-profit","","healthcare services","hospitals","https://data.cms.gov/provider-data/dataset/g6vv-u9sr",""
"Manor Care Health Services","ProMedica","$16,579","$0","$16,579","2004","20040731","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1365393","","","Pennsylvania","Huntingdon Valley","","19006","6231","6231: Nursing Care Facilities","USA","Ohio","non-profit","","healthcare services","hospitals","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Manor Care Nursing Center (Boca Raton)","ProMedica","$8,447","$0","$8,447","2000","20000608","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","12-CA-20423-001","","","Florida","Boca Raton","","33428","623110","623110: Nursing Care Facilities","USA","Ohio","non-profit","","healthcare services","hospitals","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Manor Care of Palm Desert CA, LLC","ProMedica","$56,490","$0","$56,490","2014","20140218","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1730121","","","California","Palm Desert","","92260","623110","623110: Nursing Care Facilities","USA","Ohio","non-profit","","healthcare services","hospitals","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Manor Care of South Ogden UT, LLC","ProMedica","$41,129","$0","$41,129","2014","20141016","healthcare-related offenses","HHS civil monetary penalties","","Manor Care of South Ogden UT, LLC d/b/a ManorCare Health Service entered into a settlement agreement to resolve allegations that it employed an individual who was excluded from participating in any Federal health care programs.","federal","agency action","Health & Human Services Department Office of Inspector General","civil","","","","","","Utah","","","","","","USA","Ohio","non-profit","","healthcare services","hospitals","https://oig.hhs.gov/fraud/enforcement/cmp/cmp-ae.asp",""
"ManorCare Inc. d/b/a HCR Manorcare","ProMedica","$9,900","$0","$9,900","2008","20080207","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","08-CA-37357-001","","","Ohio","North Olmsted","","44070","623110","623110: Nursing Care Facilities","USA","Ohio","non-profit","","healthcare services","hospitals","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"ManorCare of Indy South","ProMedica","$56,000","$0","$56,000","2009","20090430","employment-related offenses","employment discrimination","","race","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Indiana","","","","","","USA","Ohio","non-profit","","healthcare services","hospitals","https://www.eeoc.gov/eeoc/newsroom/release/archive/4-30-09.html","Description field shows type of discrimination that EEOC had alleged."
