"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Columbus Steel Castings Company","Protostar Partners","$825,000","$0","$825,000","2011","20111118","environment-related offenses","environmental violation","","Columbus Steel Castings Company, Inc., located on the south side of Columbus, Ohio, was sentenced to pay $825,000 and install additional devices to prevent air pollution after pleading guilty on July 28, 2011 to six counts of violating the Clean Air Act. The violations include failing to operate air pollution controls, failing to report violations, failing to perform required monitoring, and failing to conduct stack testing to demonstrate compliance with the Clean Air Act.","federal","agency action","Environmental Protection Agency","criminal","","","","","","Ohio","Columbus","","","","","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://archive.epa.gov/epapages/newsroom_archive/newsreleases/39017aa0430944798525794c0070112c.html",""
"Columbus Steel Castings Company","Protostar Partners","$28,205","$0","$28,205","2006","20060225","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1388237","","","Ohio","Columbus","","43207","332999","332999: All Other Miscellaneous Fabricated Metal Product Manufacturing","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"COLUMBUS STEEL CASTINGS COMPANY","Protostar Partners","$32,700","$0","$32,700","2009","20090513","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","COLUMBUS","2211 PARSONS AVENUE","43207","331513","331513: Steel Foundries (except Investment)","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"COLUMBUS STEEL CASTINGS COMPANY","Protostar Partners","$23,000","$0","$23,000","2009","20090504","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","COLUMBUS","2211 PARSONS AVENUE","43207","331513","331513: Steel Foundries (except Investment)","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"COLUMBUS STEEL CASTINGS COMPANY","Protostar Partners","$12,000","$0","$12,000","2006","20060508","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","COLUMBUS","2211 PARSONS AVENUE","43207","331111","331111: Iron and Steel Mills","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"COLUMBUS STEEL CASTINGS COMPANY","Protostar Partners","$118,000","$0","$118,000","2006","20060314","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","COLUMBUS","2211 PARSONS AVENUE","43207","331111","331111: Iron and Steel Mills","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Columbus Steel Castings Company, Inc.","Protostar Partners","$825,000","$825,000","$0","2011","20110728","environment-related offenses","environmental violation","","Columbus Steel Castings agreed to pay a $660,000 criminal penalty and a $165,000 community service payment to resolve allegations of Clean Air Act violations. The settlement was also announced by the U.S. EPA; see the Violation Tracker entry at https://violationtracker.goodjobsfirst.org/violation-tracker/oh-columbus-steel-castings-company","state","agency action","Ohio Attorney General","criminal","","","","","","Ohio","Columbus","","","","","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://web.archive.org/web/20111123101718/http://ohioattorneygeneral.gov/Briefing-Room/News-Releases/July/Columbus-Steel-Castings-Pleads-Guilty-To-Violating",""
"Columbus Castings Co.","Protostar Partners","$436,700","$0","$436,700","2014","20140617","environment-related offenses","environmental violation","","Columbus Castings agreed to pay a $186,700 civil penalty and fund Supplemental Environmental Projects worth $250,000 in settlement of allegations its facility violated its air emissions permit.","state","agency action","Ohio Environmental Protection Agency","civil","","","","","","Ohio","Columbus","","","","","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","http://edocpub.epa.ohio.gov/publicportal/ViewDocument.aspx?docid=1465017",""
"Columbus Steel Castings Co.","Protostar Partners","$75,000","$0","$75,000","2007","20070829","environment-related offenses","environmental violation","","","state","agency action","Ohio Environmental Protection Agency","civil","","","","","","Ohio","Columbus","","","","","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","http://edocpub.epa.ohio.gov/publicportal/ViewDocument.aspx?docid=56963",""
"COLUMBUS STEEL CASTINGS COMPANY","Protostar Partners","$16,500","$0","$16,500","2011","20110405","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","COLUMBUS","2211 PARSONS AVENUE","43207","331513","331513: Steel Foundries (except Investment)","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"COLUMBUS CASTINGS","Protostar Partners","$22,550","$0","$22,550","2012","20120315","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","COLUMBUS","2211 PARSONS AVENUE","43207","331513","331513: Steel Foundries (except Investment)","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"COLUMBUS CASTINGS","Protostar Partners","$54,250","$0","$54,250","2014","20140423","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","COLUMBUS","2211 PARSONS AVENUE","43207","331513","331513: Steel Foundries (except Investment)","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"COLUMBUS CASTINGS","Protostar Partners","$7,000","$0","$7,000","2015","20151009","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","COLUMBUS","2211 PARSONS AVENUE","43207","331513","331513: Steel Foundries (except Investment)","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"COLUMBUS STEEL CASTINGS","Protostar Partners","$13,471","$0","$13,471","2016","20160505","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","COLUMBUS","2211 PARSONS AVENUE","43207","332111","332111: Iron and Steel Forging","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
