"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Publix Super Markets, Inc.","Publix Super Markets","$49,999","$0","$49,999","2001","20010314","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","12-CA-18825-001","","","Florida","Deerfield Beach","","33442","445110","445110: Supermarkets and Other Grocery (except Convenience) Stores","USA","Florida","employee-owned","","retailing","retail-supermarkets","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Publix Super Markets, Inc.","Publix Super Markets","$114,000","$0","$114,000","2007","20070725","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","12-CA-20429-001","","","Florida","North Miami","","33179","424410","424410: General Line Grocery Merchant Wholesalers","USA","Florida","employee-owned","","retailing","retail-supermarkets","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Publix Super Markets, Inc.","Publix Super Markets","$5,148","$0","$5,148","2004","20040224","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","12-CA-23608-001","","","Florida","Deerfield","","33442","445110","445110: Supermarkets and Other Grocery (except Convenience) Stores","USA","Florida","employee-owned","","retailing","retail-supermarkets","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Publix Supermarket, Inc.","Publix Super Markets","$20,978","$0","$20,978","2002","20021002","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","12-CA-22158-001","","","Florida","North Miami Beach","","33179","424410","424410: General Line Grocery Merchant Wholesalers","USA","Florida","employee-owned","","retailing","retail-supermarkets","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Publix Supermarkets, Inc.","Publix Super Markets","$35,000","$0","$35,000","2000","20000828","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","12-CA-20774-001","","","Florida","DEERFIELD BEACH","","33442","445110","445110: Supermarkets and Other Grocery (except Convenience) Stores","USA","Florida","employee-owned","","retailing","retail-supermarkets","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"PUBLIX SUPERMARKERTS","Publix Super Markets","$23,500","$0","$23,500","2000","20000418","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","12-CA-19684-001","","","Florida","Deerfield Beach","","33443","424410","424410: General Line Grocery Merchant Wholesalers","USA","Florida","employee-owned","","retailing","retail-supermarkets","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"PUBLIX SUPER MARKETS, INC.","Publix Super Markets","$9,000","$0","$9,000","2007","20070409","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Florida","DEERFIELD BEACH","777 SW 12TH AVE","33442","493110","493110: General Warehousing and Storage","USA","Florida","employee-owned","","retailing","retail-supermarkets","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"PUBLIX SUPER MARKETS, INC.","Publix Super Markets","$6,625","$0","$6,625","2008","20080403","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Georgia","DACULA","445 HURRICANE TRL","30211","311511","311511: Fluid Milk Manufacturing","USA","Florida","employee-owned","","retailing","retail-supermarkets","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Publix","Publix Super Markets","$30,000,000","$0","$30,000,000","2015","20150408","employment-related offenses","wage and hour violation","","overtime violation","federal","private litigation","","civil","","Middle District of Tennessee","12-cv-00486","Ott v. Publix Super Markets, Inc.","settlement","","","","","","","USA","Florida","employee-owned","","retailing","retail-supermarkets","https://www.law360.com/articles/618279/publix-strikes-30m-settlement-with-employees-in-ot-row",""
"Publix Super Markets","Publix Super Markets","$10,500,000","$0","$10,500,000","2001","20010712","employment-related offenses","employment discrimination","","Racial discrimination. ","federal","private litigation","","civil","","Middle District of Florida","8:97-cv-0760","Middleton, et al v. Publix Super Market","settlement","","","","","","","USA","Florida","employee-owned","","retailing","retail-supermarkets","https://www.clearinghouse.net/detail.php?id=11516&search=source%7Cgeneral%3BcaseName%7Cmiddleton%3Borderby%7CfilingYear%3B",""
"Publix Super Markets, Inc.","Publix Super Markets","$6,812,775","$0","$6,812,775","2014","20141112","employment-related offenses","employment screening violation","Fair Credit Reporting Act violation","","federal","private litigation","","civil","","Middle District of Tennessee","3:14-cv-0720","Knights v. Publix Super Markets, Inc.","settlement","","","","","","","USA","Florida","employee-owned","","retailing","retail-supermarkets","https://www.employmentclassactionreport.com/fcra/publix-to-pay-6-8-million-settlement-over-noncompliant-background-check-forms/",""
"PUBLIX SUPER MARKETS, INC.","Publix Super Markets","$14,000","$0","$14,000","2007","20070508","environment-related offenses","environmental violation","","petroleum tank violation","state","agency action","Florida Department of Environmental Protection","civil","","","70492","","","Florida","","","","","","USA","Florida","employee-owned","","retailing","retail-supermarkets","Contained in a spreadsheet received from the agency on October 2, 2020 in response to an open records request. The spreadsheet included data from  the agency's Oculus database, which can be searched at https://prodenv.dep.state.fl.us/DepNexus/public/searchPortal","Case number is the designation given by the DEP's Office of General Counsel."
"Publix Super Markets, Inc.","Publix Super Markets","$7,277,500","$0","$7,277,500","2021","20210329","employment-related offenses","wage and hour violation","","","federal","private litigation","","civil","","Northern District of Georgia","1:19cv4803","Aiuto et al v. Publix Super Markets, Inc.","settlement","","","","","","","USA","Florida","employee-owned","","retailing","retail-supermarkets","https://www.law360.com/articles/1370040/publix-agrees-to-pay-7m-to-end-ot-suit",""
"PUBLIX SUPER MARKETS, INC.","Publix Super Markets","$5,100","$0","$5,100","2010","20100701","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Georgia","DECATUR","3870 NORTH DURID HILLS ROAD","30033","445110","445110: Supermarkets and Other Grocery (except Convenience) Stores","USA","Florida","employee-owned","","retailing","retail-supermarkets","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"PUBLIX SUPERMARKETS, INC.","Publix Super Markets","$136,900","$0","$136,900","2011","20110913","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Florida","JACKSONVILLE","9786 W BEAVER STREET","32220","311991","311991: Perishable Prepared Food Manufacturing","USA","Florida","employee-owned","","retailing","retail-supermarkets","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"PUBLIX SUPERMARKET, INC.","Publix Super Markets","$9,000","$0","$9,000","2012","20120216","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Florida","JACKSONVILLE","9786 WEST BEAVER STREET","32220","493120","493120: Refrigerated Warehousing and Storage","USA","Florida","employee-owned","","retailing","retail-supermarkets","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"PUBLIX SUPER MARKETS, INC.","Publix Super Markets","$8,150","$0","$8,150","2012","20120720","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Florida","LAKELAND","3045 NEW TAMPA HWY. BUILDING 18","33801","445110","445110: Supermarkets and Other Grocery (except Convenience) Stores","USA","Florida","employee-owned","","retailing","retail-supermarkets","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"PUBLIX DISTRIBUTION CENTER","Publix Super Markets","$12,500","$0","$12,500","2013","20130614","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Florida","BOYNTON BEACH","5500 PARK RIDGE BLVD","33435","424410","424410: General Line Grocery Merchant Wholesalers","USA","Florida","employee-owned","","retailing","retail-supermarkets","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"PUBLIX SUPER MARKETS, INC.","Publix Super Markets","$7,000","$0","$7,000","2015","20150119","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Florida","HIALEAH","18496 NW 67TH AVENUE","33015","445110","445110: Supermarkets and Other Grocery (except Convenience) Stores","USA","Florida","employee-owned","","retailing","retail-supermarkets","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"PUBLIX SUPER MARKETS, INC.","Publix Super Markets","$7,500","$0","$7,500","2015","20151119","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Georgia","DECATUR","2155 NORTH DECATUR ROAD","30033","445110","445110: Supermarkets and Other Grocery (except Convenience) Stores","USA","Florida","employee-owned","","retailing","retail-supermarkets","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
