"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Puget Sound Energy","Puget Sound Energy","$800,000","$0","$800,000","2009","20090422","competition-related offenses","energy market violation","","","federal","agency action","Federal Energy Regulatory Commission","civil","","","","","","","","","","","","USA","Washington","privately held","","utilities and power generation","utilities","https://www.ferc.gov/enforcement/civil-penalties/actions/civil-penalty-action-2009.asp",""
"PUGET SOUND ENERGY INC","Puget Sound Energy","$5,250","$0","$5,250","2004","20040723","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Washington","SNOQUALMIE","PLANT II SNOQUALMIE GENERATOR STATION","98065","221122","221122: Electric Power Distribution","USA","Washington","privately held","","utilities and power generation","utilities","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"PUGET SOUND ENERGY INC","Puget Sound Energy","$33,450","$0","$33,450","2001","20010330","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Washington","ISSAQUAH","760 E SUNSET WAY","98027","000000","","USA","Washington","privately held","","utilities and power generation","utilities","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Puget Sound Energy","Puget Sound Energy","$4,966,000","$0","$4,966,000","2008","20080502","environment-related offenses","environmental violation","","Along with PPL Montana (a subsidiary of PPL Corp.), Portland General Electric Co., Avista Corp. and PacifiCorp,  Puget Sound Energy was one of five owners of Montana's Colstrip power plant that agreed to pay $25 million to settle a lawsuit alleging that the plant was contaminating the town's water supply. Details on how much each defendant would pay were not made public, but PPL and Avita disclosed that their shares totaled $10 million. Here we assumed the other $14.9 million was divided equally between Puget Sound, Portland General Electrical and PacifiCorp.","state","private litigation","","civil","","","","","settlement","Montana","","","","","","USA","Washington","privately held","","utilities and power generation","utilities","https://westernjusticelaw.com/articles/Settlement_reached_Montana_Colstrip_lawsuit.pdf",""
"Puget Sound Energy","Puget Sound Energy","$50,000","$0","$50,000","2002","20020725","safety-related offenses","utility safety violation","gas pipeline safety violation","","state","agency action","Washington Utilities and Transportation Commission","civil","","","PG-001116","","","Washington","","","","","","USA","Washington","privately held","","utilities and power generation","utilities","https://www.utc.wa.gov/pipeline-enforcement",""
"Puget Sound Energy","Puget Sound Energy","$500,000","$0","$500,000","2005","20050131","safety-related offenses","utility safety violation","gas pipeline safety violation","Natural gas pipeline safety rule violations","state","agency action","Washington Utilities and Transportation Commission","civil","","","PG-030080","","","Washington","","","","","","USA","Washington","privately held","","utilities and power generation","utilities","https://www.utc.wa.gov/pipeline-enforcement",""
"Puget Sound Energy","Puget Sound Energy","$15,000","$0","$15,000","2005","20050928","safety-related offenses","utility safety violation","gas pipeline safety violation","","state","agency action","Washington Utilities and Transportation Commission","civil","","","PG-041209","","","Washington","","","","","","USA","Washington","privately held","","utilities and power generation","utilities","https://www.utc.wa.gov/pipeline-enforcement",""
"Puget Sound Energy","Puget Sound Energy","$90,000","$0","$90,000","2005","20051007","safety-related offenses","utility safety violation","gas pipeline safety violation","","state","agency action","Washington Utilities and Transportation Commission","civil","","","PG-041624","","","Washington","","","","","","USA","Washington","privately held","","utilities and power generation","utilities","https://www.utc.wa.gov/pipeline-enforcement",""
"Puget Sound Energy","Puget Sound Energy","$1,250,000","$0","$1,250,000","2008","20080409","safety-related offenses","utility safety violation","gas pipeline safety violation","Fraudulent actions of PSE contractor employees in falsifying pipeline leak inspection records","state","agency action","Washington Utilities and Transportation Commission","civil","","","PG-060215","","","Washington","","","","","","USA","Washington","privately held","","utilities and power generation","utilities","https://www.utc.wa.gov/pipeline-enforcement",""
"Puget Sound Energy","Puget Sound Energy","$275,000","$0","$275,000","2013","20130926","safety-related offenses","utility safety violation","gas pipeline safety violation","Gas leak caused explosion injuring homeowners and damaging home.","state","agency action","Washington Utilities and Transportation Commission","civil","","","PG-111723","","","Washington","","","","","","USA","Washington","privately held","","utilities and power generation","utilities","https://www.utc.wa.gov/pipeline-enforcement",""
