"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Phillips Van Heusen/Performance Personnel","PVH Corp.","$5,472","$0","$5,472","2007","20071025","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","04-CA-35544-001","","","Pennsylvania","Fogelsville","","18051","315223","315223: Men's and Boys' Cut and Sew Shirt (except Work Shirt) Manufacturing","USA","New York","publicly traded","PVH","apparel","apparel","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"PVH Corp","PVH Corp.","$57,498","$0","$57,498","2014","20140201","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1685129","","","New Jersey","Bridgewater","","08807","4481","4481: Clothing Stores","USA","New York","publicly traded","PVH","apparel","apparel","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"PVH Corp","PVH Corp.","$20,101","$0","$20,101","2014","20140330","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1731136","","","New Jersey","Bridgewater","","08807","4481","4481: Clothing Stores","USA","New York","publicly traded","PVH","apparel","apparel","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"PVH Guam Inc.","PVH Corp.","$7,575","$0","$7,575","2016","20160315","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1785094","","","Guam","Tamuning","","96931","448140","448140: Family Clothing Stores","USA","New York","publicly traded","PVH","apparel","apparel","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Tommy Hilfiger U.S.A., Inc.","PVH Corp.","$153,240","$0","$153,240","2010","20101218","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1517760","","","New York","New York","","10018","448190","448190: Other Clothing Stores","USA","New York","publicly traded","PVH","apparel","apparel","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"PHILLIPS-VAN HEUSEN CORPORATION","PVH Corp.","$7,555","$0","$7,555","2003","20030618","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","READING","1062 MACARTHUR ROAD","19605","493110","493110: General Warehousing and Storage","USA","New York","publicly traded","PVH","apparel","apparel","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"PVH","PVH Corp.","$475,000","$0","$475,000","2017","20170509","employment-related offenses","wage and hour violation","","overtime violation","state","private litigation","","civil","","Superior Court of State of California, County of Los Angeles","BC570019","ROSARIO J LOPEZ vs. PVH CORP ET AL","settlement","California","","","","","","USA","New York","publicly traded","PVH","apparel","apparel","https://www.law360.com/articles/890544/clothing-giant-pvh-s-neckwear-unit-ties-up-ot-deal",""
"PVH","PVH Corp.","$3,250,000","$0","$3,250,000","2017","20170301","employment-related offenses","wage and hour violation","","overtime violation","federal","private litigation","","civil","","Eastern District of California","13-cv-0441","Scott-George v. PVH Corporation","settlement","","","","","","","USA","New York","publicly traded","PVH","apparel","apparel","https://www.law360.com/articles/849298/tommy-hilfiger-parent-to-pay-3-3m-to-end-ot-suit",""
"PVH","PVH Corp.","$725,000","$0","$725,000","2016","20160121","employment-related offenses","wage and hour violation","","","federal","private litigation","","civil","","Northern District of California","13-cv-5006","Lapan et al v. PVH Corp","settlement","","","","","","","USA","New York","publicly traded","PVH","apparel","apparel","",""
"PVH","PVH Corp.","$1,850,000","$0","$1,850,000","2015","20151218","employment-related offenses","wage and hour violation","","","federal","private litigation","","civil","","Northern District of California","13-cv-1797","Chavez v. PVH Corporation","settlement","","","","","","","USA","New York","publicly traded","PVH","apparel","apparel","https://www.law360.com/articles/726573/hilfiger-workers-seek-final-approval-of-1-8m-payroll-deal",""
