"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"QANTAS AIRWAYS LTD","Qantas Airways","$150,000","$0","$150,000","2002","20020531","safety-related offenses","aviation safety violation","","MAINTENANCE ","federal","agency action","Federal Aviation Administration","civil","","","2000WP760158 ","","","","","","","","","Australia","","publicly traded","","airlines","airlines","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"QANTAS AIRWAYS LTD","Qantas Airways","$20,000","$0","$20,000","2001","20011025","safety-related offenses","aviation safety violation","","HAZ MAT ","federal","agency action","Federal Aviation Administration","civil","","","2000WP760118 ","","","","","","","","","Australia","","publicly traded","","airlines","airlines","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"QANTAS AIRWAYS LTD","Qantas Airways","$7,000","$0","$7,000","2002","20020313","safety-related offenses","aviation safety violation","","HAZ MAT ","federal","agency action","Federal Aviation Administration","civil","","","2000WP760158 ","","","","","","","","","Australia","","publicly traded","","airlines","airlines","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"Qantas Airways Limited","Qantas Airways","$61,000,000","$0","$61,000,000","2007","20071127","competition-related offenses","price-fixing or anti-competitive practices","","Australian-based Qantas Airways Limited has agreed to plead guilty and pay a $61 million criminal fine for its role in a conspiracy to fix rates for international air cargo shipments","federal","agency action","Justice Department Antitrust Division","criminal","","","","","","","","","","","","Australia","","publicly traded","","airlines","airlines","https://www.justice.gov/archive/atr/public/press_releases/2007/227988.htm",""
"Qantas Airways Limited","Qantas Airways","$100,000","$0","$100,000","2012","20121011","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","Australia","","publicly traded","","airlines","airlines","https://www.transportation.gov/sites/dot.gov/files/docs/eo_2012-10-12.pdf",""
"Qantas Airways Limited","Qantas Airways","$90,000","$0","$90,000","2014","20140115","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","Australia","","publicly traded","","airlines","airlines","https://www.transportation.gov/sites/dot.gov/files/docs/eo_2014-1-11.pdf",""
"Qantas Airways Limited","Qantas Airways","$40,000","$0","$40,000","2012","20120302","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","Australia","","publicly traded","","airlines","airlines","https://www.transportation.gov/sites/dot.gov/files/docs/eo_2012-3-1.pdf",""
"QANTAS AIRWAYS LIMITED","Qantas Airways","$30,000","$0","$30,000","2002","20020530","safety-related offenses","aviation safety violation","","HAZ MAT ","federal","agency action","Federal Aviation Administration","civil","","","2000WP710369 ","","","","","","","","","Australia","","publicly traded","","airlines","airlines","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"QANTAS AIRWAYS LIMITED","Qantas Airways","$12,000","$0","$12,000","2006","20060202","safety-related offenses","aviation safety violation","","HAZ MAT ","federal","agency action","Federal Aviation Administration","civil","","","2003WP760006 ","","","","","","","","","Australia","","publicly traded","","airlines","airlines","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"QANTAS AIRWAYS LIMITED","Qantas Airways","$10,000","$0","$10,000","2002","20020313","safety-related offenses","aviation safety violation","","HAZ MAT ","federal","agency action","Federal Aviation Administration","civil","","","2000WP710369 ","","","","","","","","","Australia","","publicly traded","","airlines","airlines","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"QANTAS AIRWAYS LIMITED","Qantas Airways","$6,500","$0","$6,500","2000","20000620","safety-related offenses","aviation safety violation","","SECURITY ","federal","agency action","Federal Aviation Administration","civil","","","1998WP710618 ","","","","","","","","","Australia","","publicly traded","","airlines","airlines","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"QANTAS AIRWAYS LTD","Qantas Airways","$5,000","$0","$5,000","2006","20060515","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","LOS ANGELES","6555 IMPERIAL HWY.","90045","481112","481112: Scheduled Freight Air Transportation","Australia","","publicly traded","","airlines","airlines","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Qantas Airways Limited","Qantas Airways","$125,000","$0","$125,000","2018","20180326","consumer-protection-related offenses","aviation consumer protection violation","","","federal","agency action","Transportation Department Aviation Consumer Protection Division","civil","","","","","","","","","","","","Australia","","publicly traded","","airlines","airlines","https://www.transportation.gov/sites/dot.gov/files/docs/resources/individuals/aviation-consumer-protection/307456/final-qantas-consent-order.pdf",""
"Qantas Airways","Qantas Airways","$100,000","$0","$100,000","2020","20201215","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency referral to the Justice Department","civil","","","","","","","","","","","","Australia","","publicly traded","","airlines","airlines","https://www.epa.gov/newsreleases/epa-settles-qantas-airways-importing-unregistered-disinfectant-products-honolulu-and",""
