"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"QBE Americas, Inc.","QBE Insurance","$1,200,000","$0","$1,200,000","2018","20180330","employment-related offenses","wage and hour violation","","","federal","private litigation","","civil","","District of Arizona","2:16-cv-1900","Colon v. QBE North America et al.","settlement","","","","","","","Australia","","publicly traded","","financial services","insurance","https://www.law360.com/articles/1002063/qbe-division-staffing-co-settle-ot-fight-for-1-3m",""
"QBE Insurance","QBE Insurance","$2,400,000","$0","$2,400,000","2018","20180910","consumer-protection-related offenses","consumer protection violation","","QBE Insurance agreed to pay more than $2.4 million in refunds to homeowners who were improperly charged for force-placed property insurance. This settlement was a result of the audit agreed to in a previous settlement.","state","agency action","Massachusetts Attorney General","civil","","","","","","Massachusetts","","","","","","Australia","","publicly traded","","financial services","insurance","https://wayback.archive-it.org/1101/20181226211948/https://www.mass.gov/news/insurance-company-refunding-more-than-24-million-to-massachusetts-homeowners-over-improper",""
"QBE Insurance","QBE Insurance","$375,000","$0","$375,000","2016","20160907","consumer-protection-related offenses","consumer protection violation","","QBE Insurance agreed to pay $375,000 plus restitution in settlement of allegations it improperly charged for force-placed insurance policies.","state","agency action","Massachusetts Attorney General","civil","","","","","","Massachusetts","","","","","","Australia","","publicly traded","","financial services","insurance","https://web.archive.org/web/20161012020000/http://www.mass.gov/ago/news-and-updates/press-releases/2016/insurance-company-to-refund-massachusetts-homeowners.html",""
"Unigard Insurance Co.","QBE Insurance","$16,000","$0","$16,000","2010","20100927","consumer-protection-related offenses","insurance violation","","","state","agency action","Arizona Department of Insurance and Financial Institutions","civil","","","","","","Arizona","","","","","","Australia","","publicly traded","","financial services","insurance","https://insurance.az.gov/sites/default/files/documents/files/100131_0.pdf","This case was brought by the Arizona Department of Insurance before it merged with the Department of Financial Institutions."
"QBE Insurance Corp.","QBE Insurance","$40,000","$0","$40,000","2010","20101001","consumer-protection-related offenses","insurance violation","","","state","agency action","Arizona Department of Insurance and Financial Institutions","civil","","","","","","Arizona","","","","","","Australia","","publicly traded","","financial services","insurance","https://insurance.az.gov/sites/default/files/documents/files/100133_0.pdf","This case was brought by the Arizona Department of Insurance before it merged with the Department of Financial Institutions."
"QBE Insurance Corp.","QBE Insurance","$120,000","$0","$120,000","2007","20070411","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Insurance","civil","","","","","","California","","","","","","Australia","","publicly traded","","financial services","insurance","https://legaldocs.insurance.ca.gov/publicdocs/SearchBasic",""
"Praetorian Insurance Co. and QBE Insurance Corp. and QBE Speciality Insurance Co.","QBE Insurance","$70,100","$0","$70,100","2019","20191022","consumer-protection-related offenses","insurance violation","","","state","agency action","Delaware Department of Insurance","civil","","","","","","Delaware","","","","","","Australia","","publicly traded","","financial services","insurance","https://insurance.delaware.gov/wp-content/uploads/sites/15/2019/10/qbe_001.pdf",""
"QBE Insurance Corp.","QBE Insurance","$157,000","$0","$157,000","2008","20080606","consumer-protection-related offenses","insurance violation","","","state","agency action","Florida Office of Financial Regulation","civil","","","","","","Florida","","","","","","Australia","","publicly traded","","financial services","insurance","https://www.floir.com/siteDocuments/QBE93652-08-CO.pdf",""
"North Pointe Insurance Co.","QBE Insurance","$75,575","$0","$75,575","2012","20120127","consumer-protection-related offenses","insurance violation","","","state","agency action","Indiana Department of Insurance","civil","","","","","","Indiana","","","","","","Australia","","publicly traded","","financial services","insurance","https://www.in.gov/idoi/files/enforcement/10562%20n%20pointe%20fo_001.pdf","Order notes settlement of consumer complaint, included in penalty."
"Praetorian Insurance Co. and Redland Insurance Co.","QBE Insurance","$10,000","$0","$10,000","2011","20110825","consumer-protection-related offenses","insurance violation","","","state","agency action","Maryland Insurance Administration","civil","","","MIA-2011-08-019","","","Maryland","","","","","","Australia","","publicly traded","","financial services","insurance","https://www.apps.insurance.maryland.gov/CompanyProducerInfo/InsOrder.aspx",""
"Praetorian Insurance Co. and Stonington Insurance Co.","QBE Insurance","$10,000","$0","$10,000","2013","20130506","consumer-protection-related offenses","insurance violation","","","state","agency action","Maryland Insurance Administration","civil","","","MIA-2013-05-011","","","Maryland","","","","","","Australia","","publicly traded","","financial services","insurance","https://www.apps.insurance.maryland.gov/CompanyProducerInfo/InsOrder.aspx",""
"QBE Insurance Co. and Praetorian Insurance Co.","QBE Insurance","$10,000","$0","$10,000","2017","20170927","consumer-protection-related offenses","insurance violation","","","state","agency action","Maryland Insurance Administration","civil","","","MIA-2017-09-020","","","Maryland","","","","","","Australia","","publicly traded","","financial services","insurance","https://www.apps.insurance.maryland.gov/CompanyProducerInfo/InsOrder.aspx",""
"Praetorian Insurance Company","QBE Insurance","$5,920","$0","$5,920","2019","20190910","consumer-protection-related offenses","insurance violation","","","state","agency action","Maryland Insurance Administration","civil","","","MIA-2019-09-012","","","Maryland","","","","","","Australia","","publicly traded","","financial services","insurance","https://www.apps.insurance.maryland.gov/CompanyProducerInfo/InsOrder.aspx",""
"QBE Insurance Co.","QBE Insurance","$5,000","$0","$5,000","2013","20131107","consumer-protection-related offenses","insurance violation","","","state","agency action","Minnesota Department of Commerce","civil","","","","","","Minnesota","","","","","","Australia","","publicly traded","","financial services","insurance","https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={F5268615-0400-4EE8-B1F4-1F140B5F734B}",""
"QBE Insurance Co.","QBE Insurance","$20,000","$0","$20,000","2014","20140328","consumer-protection-related offenses","insurance violation","","","state","agency action","Minnesota Department of Commerce","civil","","","","","","Minnesota","","","","","","Australia","","publicly traded","","financial services","insurance","https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={D499D539-5D20-4DFD-99CE-FB51FBECA79E}",""
"QBE North America","QBE Insurance","$5,000","$0","$5,000","2014","20141120","consumer-protection-related offenses","insurance violation","","","state","agency action","Minnesota Department of Commerce","civil","","","","","","Minnesota","","","","","","Australia","","publicly traded","","financial services","insurance","https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={E7B56A53-CEB8-4F19-B8CA-2E5B5A693AF2}",""
"QBE Holdings, Inc. et al.","QBE Insurance","$750,000","$0","$750,000","2017","20170801","consumer-protection-related offenses","insurance violation","","QBE Holdings, Inc., QBE Insurance Corp., and QBE Speciality Insurance Co. agreed to pay $750,000 as part of a settlement of allegations their Force-Placed insurance activity violated regulations by paying improper rebates to loan servicers and charged excessive premiums in a non-competitive market, as well as allegations they provided incorrect information to the Department of Commerce.","state","agency action","Minnesota Department of Commerce","civil","","","","","","Minnesota","","","","","","Australia","","publicly traded","","financial services","insurance","https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={1E466AA9-D667-44EE-B65C-2BC5AC68036B}",""
"General Casualty Company of Wisconsin","QBE Insurance","$14,722","$0","$14,722","2013","20130206","consumer-protection-related offenses","insurance violation","","","state","agency action","Missouri Department of Insurance","civil","","","","","","Missouri","","","","","","Australia","","publicly traded","","financial services","insurance","https://insurance.mo.gov/Contribute%20Documents/GeneralCasualtyOrder.pdf",""
"North Pointe Insurance Co.","QBE Insurance","$8,000","$0","$8,000","2014","20141117","consumer-protection-related offenses","insurance violation","","","state","agency action","Missouri Department of Insurance","civil","","","","","","Missouri","","","","","","Australia","","publicly traded","","financial services","insurance","https://insurance.mo.gov/Contribute%20Documents/NorthPointeInsuranceMC.pdf",""
"Praetorian Insurance Co.","QBE Insurance","$28,120","$0","$28,120","2018","20180223","consumer-protection-related offenses","insurance violation","","","state","agency action","Missouri Department of Insurance","civil","","","","","","Missouri","","","","","","Australia","","publicly traded","","financial services","insurance","https://insurance.mo.gov/Contribute%20Documents/PIC218.pdf",""
"Regent Insurance Co.","QBE Insurance","$47,500","$0","$47,500","2019","20190131","consumer-protection-related offenses","insurance violation","","","state","agency action","Missouri Department of Insurance","civil","","","","","","Missouri","","","","","","Australia","","publicly traded","","financial services","insurance","https://insurance.mo.gov/Contribute%20Documents/RIC119.pdf",""
