"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Griffin Pipe Products Company","Quikrete","$100,000","$0","$100,000","2003","20030213","employment-related offenses","employment discrimination","","race","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","New Jersey","","","","","","USA","Georgia","privately held","","building materials","packaged concrete","https://www.eeoc.gov/eeoc/newsroom/release/archive/2-13-03b.html","Description field shows type of discrimination that EEOC had alleged."
"Griffin Pipe Products LLC","Quikrete","$950,000","$0","$950,000","2014","20140929","environment-related offenses","environmental violation","","EPA Region 7 has reached an agreement with Griffin Pipe Products, LLC, to settle violations of the Clean Air Act (CAA) and Clean Water Act (CWA) at its Council Bluffs, Iowa, facility that will require Griffin Pipe to lower lead emissions and pay a civil penalty of $950,000.","federal","agency action","Environmental Protection Agency","civil","","","","","","Iowa","Council Bluffs","","","","","USA","Georgia","privately held","","building materials","packaged concrete","https://archive.epa.gov/epapages/newsroom_archive/newsreleases/3470a3fa1beb5bed85257d62005bfbfa.html",""
"Quikrete-Connecticut, Inc.","Quikrete","$25,000","$0","$25,000","2006","20061221","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","34-CA-11438-001","","","Connecticut","Wauregan","","06387","327331","327331: Concrete Block and Brick Manufacturing","USA","Georgia","privately held","","building materials","packaged concrete","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"The Quikrete Companies","Quikrete","$58,500","$0","$58,500","2000","20000713","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","01-CA-37798-001","","","New Hampshire","Brentwood","","03833","327310","327310: Cement Manufacturing","USA","Georgia","privately held","","building materials","packaged concrete","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"UNITED STATES PIPE AND FOUNDRY COMPANY, LLC","Quikrete","$10,001","$0","$10,001","2015","20150519","employment-related offenses","benefit plan administrator violation","","Deficient Filer","federal","agency action","Employee Benefits Security Administration","civil","","","","","","Alabama","","","","","","USA","Georgia","privately held","","building materials","packaged concrete","Included in a dataset downloaded at https://enforcedata.dol.gov/views/data_summary.php","Company is plan administrator. Penalty amount reported in range of $10,001 to $50,000. "
"THE QUIKRETE COMPANIES, INC","Quikrete","$5,000","$0","$5,000","2009","20090701","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","LACKAWANNA","11 STEELAWANNA AVENUE","14218","327320","327320: Ready-Mix Concrete Manufacturing","USA","Georgia","privately held","","building materials","packaged concrete","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"THE QUIKRETE COMPANIES, INC.","Quikrete","$8,000","$0","$8,000","2008","20080205","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Connecticut","WAUREGAN","541 GREEN HOLLOW ROAD","06387","327320","327320: Ready-Mix Concrete Manufacturing","USA","Georgia","privately held","","building materials","packaged concrete","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"UNITED STATES PIPE AND FOUNDRY COMPANY, LLC","Quikrete","$14,000","$0","$14,000","2005","20050816","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Alabama","BIRMINGHAM","3000 30TH AVE N","35207","331511","331511: Iron Foundries","USA","Georgia","privately held","","building materials","packaged concrete","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"UNITED STATES PIPE AND FOUNDRY COMPANY, LLC","Quikrete","$117,600","$0","$117,600","2005","20050816","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Alabama","BIRMINGHAM","3000 30TH AVE N","35207","331511","331511: Iron Foundries","USA","Georgia","privately held","","building materials","packaged concrete","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"THE QUIKRETE COMPANIES","Quikrete","$7,000","$0","$7,000","2006","20060911","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Colorado","GRAND JUNCTION","2462 1/2 HIGHWAY 6 AND 50","81505","327390","327390: Other Concrete Product Manufacturing","USA","Georgia","privately held","","building materials","packaged concrete","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
