"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"RadioShack","RadioShack","$675,000","$0","$675,000","2013","20130228","employment-related offenses","employment discrimination","","age","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Colorado","","","","","","USA","Texas","privately held","","retailing","retail-electronics","https://www.eeoc.gov/eeoc/newsroom/release/2-28-13a.cfm","Description field shows type of discrimination that EEOC had alleged."
"Radioshack Corporation","RadioShack","$16,958","$0","$16,958","2001","20011129","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","29-CA-23864-001","","","New York","Queens","","11379","443120","443120: Computer and Software Stores","USA","Texas","privately held","","retailing","retail-electronics","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"RadioShack","RadioShack","$41,029,237","$0","$41,029,237","2016","20160829","employment-related offenses","wage and hour violation","","overtime violation","federal","private litigation","","civil","","District of Delaware Bankruptcy Court","15-bk-10197","In re: RS Legacy Corporation","settlement","","","","","","","USA","Texas","privately held","","retailing","retail-electronics","https://www.law360.com/articles/833915/radioshack-settles-manager-ot-suits-with-41m-claim","The liquidating trustee in charge of the bankruptcy of RadioShack gave permission to the estate to pay $41 million to resolve two lawsuits -- Sisson and Wills -- concerning the company's practices relating to overtime calculations for store managers."
"RadioShack","RadioShack","$5,500,000","$0","$5,500,000","2016","20160210","employment-related offenses","wage and hour violation","","overtime violation","federal","private litigation","","civil","","District of Delaware Bankruptcy Court","15-bk-10197","In re: RS Legacy Corporation","settlement","","","","","","","USA","Texas","privately held","","retailing","retail-electronics","https://www.law360.com/articles/758041/radioshack-judge-oks-5-5m-deal-with-pa-store-managers","The liquidating trustee in charge of the bankruptcy of RadioShack gave permission to the estate to pay $5.5 million to resolve an overtime class action that had received preliminary approval in the Eastern District of Pennsylvania  -- 13-cv-2539 -- but was then suspended when RadioShack filed for bankruptcy."
"RadioShack","RadioShack","$8,707,552","$0","$8,707,552","2007","20070914","employment-related offenses","wage and hour violation","","overtime violation","federal","private litigation","","civil","","Northern District of Illinois","02-cv-7884","Perez, et al v. Radio Shack Corp","settlement","","","","","","","USA","Texas","privately held","","retailing","retail-electronics","https://www.sec.gov/Archives/edgar/data/96289/000009628907000036/form10q093007.htm",""
"RadioShack","RadioShack","$29,900,000","$0","$29,900,000","2002","20021001","employment-related offenses","wage and hour violation","","overtime violation","state","private litigation","","civil","","Superior Court of State of California, County of Orange","","Omar?Belazi,?et al. vs. TandyCorporation, et al.","settlement","California","","","","","","USA","Texas","privately held","","retailing","retail-electronics","https://www.sec.gov/Archives/edgar/data/96289/000009628903000003/k123102.txt",""
"Radioshack Corp.","RadioShack","$2,400,000","$0","$2,400,000","2011","20110208","employment-related offenses","benefit plan administrator violation","pension ERISA violation","","federal","private litigation","","civil","","Northern District of Texas","4:08-md-1875","In re: Radioshack Corp. ERISA Litigation","settlement","","","","","","","USA","Texas","privately held","","retailing","retail-electronics","https://www.law360.com/articles/132514",""
"RadioShack","RadioShack","$630,000","$0","$630,000","2008","20080716","consumer-protection-related offenses","privacy violation","","","state","agency action","Texas Attorney General","civil","","","","","","Texas","","","","","","USA","Texas","privately held","","retailing","retail-electronics","Attorney General Abbott Reaches Agreements that Will Help Protect Texas from Identity Theft, US States News, July 16, 2008 (via Nexis).",""
"RadioShack Corp.","RadioShack","$540,000","$0","$540,000","2001","20010823","consumer-protection-related offenses","consumer protection violation","","","state","agency action","California Attorney General","civil","","","","","","California","","","","","","USA","Texas","privately held","","retailing","retail-electronics","https://www.oag.ca.gov/news/press-releases/attorney-general-lockyer-announces-settlement-consumer-protection-lawsuit",""
"RadioShack Corp.","RadioShack","$540,000","$0","$540,000","2001","20010823","consumer-protection-related offenses","consumer protection violation","","","local","agency action","Los Angeles (CA) City Attorney","civil","","","","","settlement","California","Los Angeles","","","","","USA","Texas","privately held","","retailing","retail-electronics","Cellular Settlement, City News Service, August 23, 2001 (via Nexis).",""
"RADIO SHACK","RadioShack","$7,000","$0","$7,000","2014","20140115","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Massachusetts","TAUNTON","2 GALLERIA MALL","02780","443142","443142: Electronics Stores","USA","Texas","privately held","","retailing","retail-electronics","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
