"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"B. F. Goodrich Aerospace Landing Gear-Plating Operations","Raytheon Technologies","$1,600,000","$0","$1,600,000","2005","20050217","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","08-CA-33598-001","","","Ohio","Cleveland","","44105","332813","332813: Electroplating, Plating, Polishing, Anodizing, and Coloring","USA","Massachusetts","publicly traded","NYSE: RTX","aerospace and military contracting","aerospace & military contracting","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"BFGOODRICH AEROSPACE MRO GROUP INC","Raytheon Technologies","$7,500","$0","$7,500","2001","20010725","safety-related offenses","aviation safety violation","","MAINTENANCE ","federal","agency action","Federal Aviation Administration","civil","","","1999SO010088 ","","","","","","","","","USA","Massachusetts","publicly traded","NYSE: RTX","aerospace and military contracting","aerospace & military contracting","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"Detector Electronics Inc.","Raytheon Technologies","$15,000","$0","$15,000","2001","20011108","competition-related offenses","export control violation","","","federal","agency action","Bureau of Industry and Security","civil","","","","","","","","","","","","USA","Massachusetts","publicly traded","NYSE: RTX","aerospace and military contracting","aerospace & military contracting","FOIA149","Source document obtained through a Freedom of Information Act request to the agency."
"Goodrich","Raytheon Technologies","$11,573","$0","$11,573","2005","20050703","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1414370","","","California","Chula Vista","","91910","336413","336413: Other Aircraft Parts and Auxiliary Equipment Manufacturing","USA","Massachusetts","publicly traded","NYSE: RTX","aerospace and military contracting","aerospace & military contracting","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Goodrich Corporation","Raytheon Technologies","$3,000,000","$0","$3,000,000","2006","20060328","competition-related offenses","export control violation","","","federal","agency action","State Department Directorate of Defense Trade Controls","civil","","","","","","","","","","","","USA","Massachusetts","publicly traded","NYSE: RTX","aerospace and military contracting","aerospace & military contracting","https://www.pmddtc.state.gov/sys_attachment.do?sysparm_referring_url=tear_off&view=true&sys_id=5e8df289db99db0044f9ff621f961950",""
"Goodrich Corporation","Raytheon Technologies","$52,000","$0","$52,000","2015","20150827","environment-related offenses","environmental violation","","Goodrich Corporation in Spokane, Washington failed to immediately report the release of hydrogen cyanide to the National Response Center, the State Emergency Response Commission, and the Local Emergency Planning Committee, as required by Section 103 of the Comprehensive Environmental Response, Compensation and Liability Act and Section 304 of the Emergency Planning and Community Right to Know Act.","federal","agency action","Environmental Protection Agency","civil","","","","","","Washington","Spokane","","","","","USA","Massachusetts","publicly traded","NYSE: RTX","aerospace and military contracting","aerospace & military contracting","https://archive.epa.gov/epa/newsreleases/two-northwest-companies-settle-epa-hazardous-chemical-release-reporting-violations.html",""
"GOODRICH CORPORATION","Raytheon Technologies","$41,250","$0","$41,250","2013","20131106","safety-related offenses","aviation safety violation","","DRUG TESTING ","federal","agency action","Federal Aviation Administration","civil","","","","","","","","","","","","USA","Massachusetts","publicly traded","NYSE: RTX","aerospace and military contracting","aerospace & military contracting","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"GOODRICH CORPORATION AIRCRAFT WHEELS AND BRAKES","Raytheon Technologies","$7,000","$0","$7,000","2006","20060410","safety-related offenses","aviation safety violation","","MAINTENANCE ","federal","agency action","Federal Aviation Administration","civil","","","2005GL050009 ","","","","","","","","","USA","Massachusetts","publicly traded","NYSE: RTX","aerospace and military contracting","aerospace & military contracting","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"GOODRICH DEICING AND SPECIALTY SYSTEMS","Raytheon Technologies","$13,000","$0","$13,000","2006","20060420","safety-related offenses","aviation safety violation","","DRUG TESTING ","federal","agency action","Federal Aviation Administration","civil","","","2005SO950151 ","","","","","","","","","USA","Massachusetts","publicly traded","NYSE: RTX","aerospace and military contracting","aerospace & military contracting","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"Hamilton Sundstrand","Raytheon Technologies","$1,250,000","$0","$1,250,000","2005","20050520","employment-related offenses","employment discrimination","","national origin","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Colorado","","","","","","USA","Massachusetts","publicly traded","NYSE: RTX","aerospace and military contracting","aerospace & military contracting","https://www.eeoc.gov/eeoc/newsroom/release/archive/5-20-05.html","Description field shows type of discrimination that EEOC had alleged."
