"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Recology San Francisco","Recology","$107,600,000","$0","$107,600,000","2021","20210304","consumer-protection-related offenses","consumer protection violation","","refuse collection overcharging","state","agency action","San Francisco (CA) City Attorney","civil","","","","","","California","San Francisco","","","","","USA","California","privately held","","waste management and environmental services","recycling","https://www.sfcityattorney.org/2021/03/04/herreras-public-integrity-investigation-saves-sf-ratepayers-100m-in-excessive-garbage-fees/",""
"Recology Inc.","Recology","$440,440","$0","$440,440","2015","20150421","environment-related offenses","environmental violation","","water pollution","state","agency action","California State Water Resources Control Board","civil","","","","","","California","","","","","","USA","California","privately held","","waste management and environmental services","recycling","https://www.waterboards.ca.gov/press_room/press_releases/2015/pr042115_recology_yuba_fnl.pdf",""
"Recology Valley View Inc.","Recology","$14,400","$0","$14,400","2020","20201015","environment-related offenses","environmental violation","","water pollution violation","state","agency action","Oregon Department of Environmental Quality","civil","","","2020-122","","","Oregon","Ashland","","","","","USA","California","privately held","","waste management and environmental services","recycling","https://www.deq.state.or.us/programs/enforcement/EnfQuery.asp","Taken from summary listing of enforcement orders; some details (such as suspended penalties) are not available."
"RECOLOGY VALLEY VIEW INC.","Recology","$7,600","$0","$7,600","2017","20170714","environment-related offenses","environmental violation","","water pollution violation","state","agency action","Oregon Department of Environmental Quality","civil","","","2017-100","","","Oregon","Ashland","","","","","USA","California","privately held","","waste management and environmental services","recycling","https://www.deq.state.or.us/programs/enforcement/EnfQuery.asp",""
"RECOLOGY OREGON COMPOST INC.","Recology","$5,600","$0","$5,600","2013","20130731","environment-related offenses","environmental violation","","","state","agency action","Oregon Department of Environmental Quality","civil","","","2012-138","","","Oregon","North Plains","","","","","USA","California","privately held","","waste management and environmental services","recycling","https://www.deq.state.or.us/programs/enforcement/EnfQuery.asp",""
"SF Recology Group","Recology","$36,000,000","$0","$36,000,000","2021","20210909","competition-related offenses","kickbacks and bribery","fraud","The San Francisco subsidiaries of trash disposal company Recology Inc. agreed to pay $36 million and enter into a deferred prosecution agreement to resolve charges of honest services fraud in connection with a bribery scheme. They also agreed to revamp their corporate structure and to cooperate fully in ongoing law enforcement and regulatory investigations.","federal","agency action","U.S. Attorney-Northern District of California","criminal","deferred prosecution agreement","","","","","California","","","","","","USA","California","privately held","","waste management and environmental services","recycling","https://www.justice.gov/usao-ndca/pr/three-san-francisco-garbage-companies-admit-bribery-and-pay-36-million-resolve-federal",""
"RECOLOGY YUBA-SUTTER","Recology","$9,000","$0","$9,000","2013","20130618","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","MARYSVILLE","3001 NORTH LEVEE RD","95901","562111","562111: Solid Waste Collection","USA","California","privately held","","waste management and environmental services","recycling","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"RECOLOGY INC.","Recology","$25,310","$0","$25,310","2015","20150806","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","SUN VALLEY","9147 DE GARMO AVE.","91352","562111","562111: Solid Waste Collection","USA","California","privately held","","waste management and environmental services","recycling","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"RECOLOGY BLOSSOM VALLEY ORGANICS-SOUTH","Recology","$9,605","$0","$9,605","2016","20160413","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","LAMONT","6061 NORTH WHEELER RIDGE ROAD","93241","325314","325314: Fertilizer (Mixing Only) Manufacturing","USA","California","privately held","","waste management and environmental services","recycling","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"RECOLOGY INC","Recology","$22,000","$0","$22,000","2019","20190917","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","HEALDSBURG","166 ALEXANDER VALLEY RD,","95448","562111","562111: Solid Waste Collection","USA","California","privately held","","waste management and environmental services","recycling","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
