"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Red Robin Gourmet Burgers, Inc.","Red Robin Gourmet Burgers Inc.","$150,000","$0","$150,000","2005","20050916","employment-related offenses","employment discrimination","","religion","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Washington","","","","","","USA","Colorado","publicly traded","RRGB","restaurants and foodservice","restaurants","https://www.eeoc.gov/eeoc/newsroom/release/archive/9-16-05.html","Description field shows type of discrimination that EEOC had alleged."
"Red Robin Gourmet Burgers, Inc.","Red Robin Gourmet Burgers Inc.","$5,280","$0","$5,280","2006","20060207","employment-related offenses","wage and hour violation","child labor or youth employment violation","child labor penalties included","federal","agency action","Labor Department Wage and Hour Division","civil","","","1431043","","","Nebraska","Omaha","","68130","722110","722110: Full-Service Restaurants","USA","Colorado","publicly traded","RRGB","restaurants and foodservice","restaurants","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Red Robin International","Red Robin Gourmet Burgers Inc.","$66,150","$0","$66,150","2001","20010516","employment-related offenses","wage and hour violation","child labor or youth employment violation","The operators of a nationwide chain of restaurants paid $66,150 in penalties for violating federal child labor regulations by allowing teenage workers to work too late, or too many hours.","federal","agency action","Labor Department Wage and Hour Division","civil","","","","","","","","","","","","USA","Colorado","publicly traded","RRGB","restaurants and foodservice","restaurants","https://www.dol.gov/whd/media/press/sfwh2001-48.htm",""
"Red Robin Gourmet Burgers","Red Robin Gourmet Burgers Inc.","$675,000","$0","$675,000","2017","20170606","employment-related offenses","wage and hour violation","","overtime violation","federal","private litigation","","civil","","Eastern District of New York","16-cv-0288","Brackley v. Red Robin Gourmet Burgers, Inc. et al","settlement","","","","","","","USA","Colorado","publicly traded","RRGB","restaurants and foodservice","restaurants","","In addition to the $675,000 to be paid by Red Robin, the settlement called for Swan Concepts Inc. and other franchise owners to pay $225,000. "
"Red Robin International","Red Robin Gourmet Burgers Inc.","$2,000,000","$0","$2,000,000","2008","20080527","employment-related offenses","wage and hour violation","","meal/rest break violation","federal","private litigation","","civil","","Central District of California","07-cv-0124; 06-cv-0181","William J. Harper v. Red Robin International; Matthew Huggett v. Red Robin International Inc et al","settlement","","","","","","","USA","Colorado","publicly traded","RRGB","restaurants and foodservice","restaurants","http://www.quintlaw.com/results",""
"Red Robin International, Inc.","Red Robin Gourmet Burgers Inc.","$8,500,000","$0","$8,500,000","2020","20201202","employment-related offenses","wage and hour violation","","rest breaks","federal","private litigation","","civil","","Central District of California","8:17cv1422","Manuel Vigueras v. Red Robin International, Inc. et al","settlement","","","","","","","USA","Colorado","publicly traded","RRGB","restaurants and foodservice","restaurants","https://www.law360.com/articles/1285574",""
"RED ROBIN GOURMET BURGERS","Red Robin Gourmet Burgers Inc.","$23,000","$0","$23,000","2017","20170519","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","CLOVIS","950 SHAW AVE.","93612","722511","722511: Full-Service Restaurants","USA","Colorado","publicly traded","RRGB","restaurants and foodservice","restaurants","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"RED ROBIN INTERNATIONAL INC","Red Robin Gourmet Burgers Inc.","$8,100","$0","$8,100","2018","20180129","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Washington","VANCOUVER","801 SE 160TH AVE","98683","722110","722110: Full-Service Restaurants","USA","Colorado","publicly traded","RRGB","restaurants and foodservice","restaurants","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"RED ROBIN INTERNATIONAL, INC.","Red Robin Gourmet Burgers Inc.","$6,338","$0","$6,338","2018","20180730","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","CARLE PLACE","125 OLD COUNTRY RD.","11514","722511","722511: Full-Service Restaurants","USA","Colorado","publicly traded","RRGB","restaurants and foodservice","restaurants","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"RED ROBIN INTERNATIONAL INC","Red Robin Gourmet Burgers Inc.","$13,200","$0","$13,200","2018","20181210","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Washington","TACOMA","3901 S STEELE ST","98409","722110","722110: Full-Service Restaurants","USA","Colorado","publicly traded","RRGB","restaurants and foodservice","restaurants","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
