"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"AmSouth","Regions Financial","$10,000,000","$0","$10,000,000","2004","20041012","financial offenses","anti-money-laundering deficiencies","banking violation","","federal","agency action","Treasury Department Financial Crimes Enforcement Network","civil","","","","","","Alabama","Birmingham","","","","","USA","Alabama","publicly traded","RF","financial services","banking & securities","https://www.fincen.gov/sites/default/files/news_release/20041012.pdf",""
"AmSouth Bank","Regions Financial","$11,400,000","$0","$11,400,000","2008","20080923","financial offenses","investor protection violation","","AmSouth Bank and AmSouth Asset Management agreed to pay $11.4 million to settle allegations that they defrauded AmSouth mutual funds by secretly using a portion of administrative fees paid by fund shareholders for marketing and other unrelated expenses that should have been paid by AmSouth itself.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","Alabama","publicly traded","RF","financial services","banking & securities","https://www.sec.gov/news/press/2008/2008-222.htm",""
"Regions Bank","Regions Financial","$52,400,000","$0","$52,400,000","2016","20160913","government-contracting-related offenses","False Claims Act and related","","Regions Bank agreed to pay $52.4 million to the United States to resolve allegations that it violated the False Claims Act by knowingly originating and underwriting mortgage loans insured by the U.S. Department of Housing and Urban Development's Federal Housing Administration that did not meet applicable requirements.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Alabama","publicly traded","RF","financial services","banking & securities","https://www.justice.gov/opa/pr/regions-bank-agrees-pay-524-million-resolve-alleged-false-claims-act-liability-arising-fha",""
"Regions Bank","Regions Financial","$46,000,000","$0","$46,000,000","2014","20140625","financial offenses","banking violation","","The Federal Reserve Board announced that Regions Bank, Birmingham, Alabama, would pay a $46 million penalty for misconduct related to the process followed by the bank in the first quarter of 2009 for identifying and reporting non-accrual loans.","federal","agency action","Federal Reserve","civil","","","","","","Alabama","Birmingham","","","","","USA","Alabama","publicly traded","RF","financial services","banking & securities","http://www.federalreserve.gov/newsevents/press/enforcement/20140625a.htm",""
"Regions Bank","Regions Financial","$7,500,000","$0","$7,500,000","2015","20150428","consumer-protection-related offenses","consumer protection violation","banking violation","The Consumer Financial Protection Bureau took action against Regions Bank for charging overdraft fees to consumers who had not opted-in for overdraft coverage. The bank also charged overdraft and non-sufficient funds fees on its deposit advance product despite claims that it would not. Regions has already refunded hundreds of thousands of consumers approximately $49 million in fees, and the consent order required the bank to fully refund all remaining consumers. The Bureau also fined the company $7.5 million for its illegal actions.","federal","agency action","Consumer Financial Protection Bureau","civil","","","","","","","","","","","","USA","Alabama","publicly traded","RF","financial services","banking & securities","http://www.consumerfinance.gov/about-us/newsroom/cfpb-fines-regions-bank-7-5-million-for-unlawful-overdraft-practices/",""
"Regions Bank","Regions Financial","$1,000,001","$0","$1,000,001","2010","20101004","financial offenses","investor protection violation","","The SEC announced that othe District Court for the Southern District of Florida entered a Final Judgment against Regions Bank for its role in connection with a Florida-based offering fraud by unregistered broker-dealers U.S. Pension Trust Corp. and U.S. College Trust Corp. The final judgment required Regions Bank to pay disgorgement of $1.00 and a civil penalty in the amount of $1,000,000 into a Fair Fund for the benefit of investors injured in USPT's faud. Regions Bank consented to the entry of the final judgment without admitting or denying any allegations of the complaint (except as to jurisdiction), waived findings of fact and conclusions of law, and waived any right to appeal from this final judgment.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","Alabama","publicly traded","RF","financial services","banking & securities","https://www.sec.gov/litigation/litreleases/2010/lr21682.htm",""
"Regions Bank","Regions Financial","$1,000,000","$0","$1,000,000","2009","20090921","financial offenses","investor protection violation","fraud","Regions Bank agreed to pay $1 million to settle allegations relating to its role in an offering fraud that victimized thousands of investors predominantly in Latin America.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","Alabama","publicly traded","RF","financial services","banking & securities","https://www.sec.gov/news/press/2009/2009-202.htm",""
"Regions Bank","Regions Financial","$135,000","$0","$135,000","2009","20091217","financial offenses","banking violation","","","federal","agency action","Federal Reserve","civil","","","","","","Alabama","Birmingham","","","","","USA","Alabama","publicly traded","RF","financial services","banking & securities","https://www.federalreserve.gov/newsevents/press/enforcement/20091217a.htm",""
"Regions Financial Corporation","Regions Financial","$95,000","$0","$95,000","2013","20131220","employment-related offenses","employment discrimination","Americans with Disabilities Act","age and disability","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Tennessee","","","","","","USA","Alabama","publicly traded","RF","financial services","banking & securities","https://www.eeoc.gov/eeoc/newsroom/release/12-20-13.cfm","Description field shows type of discrimination that EEOC had alleged."
"AmSouth Bancorporation","Regions Financial","$40,000,000","$0","$40,000,000","2004","20041001","competition-related offenses","fraud","","","federal","agency action","U.S. Attorney-Southern District of Mississippi","criminal","deferred prosecution agreement","","","","","","","","","","","USA","Alabama","publicly traded","RF","financial services","banking & securities","https://www.sec.gov/Archives/edgar/data/3133/000089183604000358/ex_99-2.htm",""
"Regions Financial","Regions Financial","$620,634","$0","$620,634","2017","20170711","employment-related offenses","wage and hour violation","","overtime violation","federal","private litigation","","civil","","Northern District of Georgia","14-cv-0105","Wilson et al v. Regions Financial Corporation","settlement","","","","","","","USA","Alabama","publicly traded","RF","financial services","banking & securities","",""
"Regions Financial Corp.","Regions Financial","$22,500,000","$0","$22,500,000","2014","20141229","employment-related offenses","benefit plan administrator violation","pension ERISA violation","The settlement amount listed here refers only to the ERISA portion of a larger multidistrict case.","federal","private litigation","","civil","","Western District of Tennessee","2:08-cv-2192","Hamby v. Morgan Asset Management, Inc. et al","settlement","","","","","","","USA","Alabama","publicly traded","RF","financial services","banking & securities","https://www.reuters.com/article/regionsfinancial-settlement/regions-financial-settles-401-case-for-22-5-mln-idUSL2N0JY21W20131219",""
"Regions Bank","Regions Financial","$5,000,000","$0","$5,000,000","2014","20140625","financial offenses","banking violation","","Regions Bank agreed to pay the Alabama Department of Banking $5 million for misconduct related to the process followed by the bank in the first quarter of 2009 for identifying and reporting non-accrual loans. This was part of a case in which the bank separately paid $46 million to the Federal Reserve; see the Violation Tracker entry at https://violationtracker.goodjobsfirst.org/violation-tracker/al-regions-bank","state","agency action","Alabama State Banking Department","civil","","","","","","Alabama","","","","","","USA","Alabama","publicly traded","RF","financial services","banking & securities","http://www.banking.alabama.gov/pdf/orders/Consent/2014/RegionsBank102714.pdf",""
"AmSouth Investment Services, Inc.","Regions Financial","$225,000","$0","$225,000","2004","20040326","financial offenses","investor protection violation","","","state","agency action","Mississippi Secretary of State-Securities","civil","","","","","","Mississippi","","","","","","USA","Alabama","publicly traded","RF","financial services","banking & securities","https://www.sos.ms.gov/ConsentAgreementsFinalOrders/AmSouthInvestmentServicesIncS-03-0163ConsentOrder.pdf",""
"AmSouth Investment Services Inc.","Regions Financial","$225,000","$0","$225,000","2004","20040326","financial offenses","investor protection violation","financial institution supervision failures","AmSouth agreed to pay a total of $225,000 to regulators in Alabama and Mississippi to resolve a case involving deceptive practices by one of its broker-dealers.","state","agency action","Multistate Financial  Regulators Case","civil","","","","","","","","","","","","USA","Alabama","publicly traded","RF","financial services","banking & securities","http://asc.alabama.gov/Orders/2004/CO-2004-0005.pdf",""
"Regions Bank","Regions Financial","$20,750","$0","$20,750","2017","20170203","environment-related offenses","environmental violation","","air pollution violation","state","agency action","Tennessee Department of Environment & Conservation","civil","","","APC16-0166","","","Tennessee","","","","","","USA","Alabama","publicly traded","RF","financial services","banking & securities","Contained in data received from the agency on January 25, 2021 in response to an open records request. The data was a spreadsheet compilation of information in the search engine at http://tdec.tn.gov:8080/pls/enf_reports/f?p=9001:710::::::",""
"Regions Financial Corporation","Regions Financial","$7,210","$0","$7,210","2021","20210930","employment-related offenses","Family and Medical Leave Act","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1946317","","","Georgia","Atlanta","1457 Mount Vernon Road","30338","551111","551111: Offices of Bank Holding Companies","USA","Alabama","publicly traded","RF","financial services","banking & securities","March 1, 2022 download of a dataset posted by the Wage and Hour Division atâ¬Ã¡https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
