"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Regis Corporation","Regis","$90,000","$0","$90,000","2016","20160607","employment-related offenses","employment discrimination","","retaliation","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","North Carolina","Pembroke","","","","","USA","Minnesota","publicly traded","RGS","miscellaneous services","hair salons","https://www.eeoc.gov/eeoc/newsroom/release/6-7-16a.cfm","Description field shows type of discrimination that EEOC had alleged."
"Regis Corporation","Regis","$60,000","$0","$60,000","2016","20160825","employment-related offenses","employment discrimination","Americans with Disabilities Act","Disabilities","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Texas","Midland","","","","","USA","Minnesota","publicly traded","RGS","miscellaneous services","hair salons","https://www.eeoc.gov/eeoc/newsroom/release/8-25-16a.cfm","Description field shows type of discrimination that EEOC had alleged."
"Regis Corporation","Regis","$55,427","$0","$55,427","2012","20120813","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","12-CA-026482","","","Minnesota","Minneapolis","","","","","USA","Minnesota","publicly traded","RGS","miscellaneous services","hair salons","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/16/2017.",""
"Regis Corporation","Regis","$26,250","$0","$26,250","2009","20090807","employment-related offenses","employment discrimination","","religion","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Tennessee","","","","","","USA","Minnesota","publicly traded","RGS","miscellaneous services","hair salons","https://www.eeoc.gov/eeoc/newsroom/release/archive/8-7-09d.html","Description field shows type of discrimination that EEOC had alleged."
"Regis Corp./SmartStyles at Wal-Mart","Regis","$6,049","$0","$6,049","2004","20040607","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","01-CA-41475-001","","","Maine","Scarborough","","04074","561990","561990: All Other Support Services","USA","Minnesota","publicly traded","RGS","miscellaneous services","hair salons","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Supercuts","Regis","$43,500","$0","$43,500","2011","20110914","employment-related offenses","employment discrimination","","religion and retaliation","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","RGS","miscellaneous services","hair salons","https://www.eeoc.gov/eeoc/newsroom/release/9-14-11.cfm","Description field shows type of discrimination that EEOC had alleged."
"Supercuts, Inc.","Regis","$3,500,000","$0","$3,500,000","2003","20030813","employment-related offenses","employment discrimination","","race","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","","","","","","","USA","Minnesota","publicly traded","RGS","miscellaneous services","hair salons","https://www.eeoc.gov/eeoc/newsroom/release/archive/8-13-03.html","Description field shows type of discrimination that EEOC had alleged."
"Regis","Regis","$1,950,000","$0","$1,950,000","2017","20170721","employment-related offenses","wage and hour violation","","overtime violation","federal","private litigation","","civil","","Eastern District of California","14-cv-1408","Dearaujo et al v. Regis Corporation et al","settlement","","","","","","","USA","Minnesota","publicly traded","RGS","miscellaneous services","hair salons","https://www.law360.com/articles/813088/supercuts-to-pay-2m-settlement-in-shorn-ot-suit",""
"Regis","Regis","$5,750,000","$0","$5,750,000","2016","20160427","employment-related offenses","wage and hour violation","","overtime violation","federal","private litigation","","civil","","Northern District of California","13-cv-4497","Fong v. Regis Corporation","settlement","","","","","","","USA","Minnesota","publicly traded","RGS","miscellaneous services","hair salons","https://www.law360.com/articles/726804/hair-salon-retailer-workers-cut-5-75m-deal-in-wage-row",""
"Regis","Regis","$750,000","$0","$750,000","2011","20110902","employment-related offenses","wage and hour violation","","","federal","private litigation","","civil","","Northern District of California","09-cv-4045","Ninua v. Regis Corporation","settlement","","","","","","","USA","Minnesota","publicly traded","RGS","miscellaneous services","hair salons","https://www.law360.com/articles/249689/hair-salon-giant-nears-settlement-with-calif-stylists",""
"Regis Corporation","Regis","$6,629","$0","$6,629","2019","20190214","employment-related offenses","Family and Medical Leave Act","","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1877947","","","Michigan","Muskegon","1827 E Sherman","49444","812112","812112: Beauty Salons","USA","Minnesota","publicly traded","RGS","miscellaneous services","hair salons","February 7, 2020 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Regis Corporation","Regis","$19,200","$0","$19,200","2016","20160701","environment-related offenses","environmental violation","","air pollution violation","state","agency action","California Air Resources Board","civil","","","","","","California","","","","","","USA","Minnesota","publicly traded","RGS","miscellaneous services","hair salons","https://ww2.arb.ca.gov/regis-corporation-case-settlement",""
