"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"AGRIFOS FERTILIZER","Rentech","$24,600","$0","$24,600","2012","20120313","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","California","out of business","","miscellaneous energy products and systems","biofuels; fertilizers","https://www.fra.dot.gov/eLib/details/L04190#p1_z5_gD_lEA",""
"AGRIFOS FERTILIZER","Rentech","$15,000","$0","$15,000","2005","20050504","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","California","out of business","","miscellaneous energy products and systems","biofuels; fertilizers","Taken from the Federal Railroad Administration's FY2005 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"AGRIFOS FERTILIZER","Rentech","$10,000","$0","$10,000","2011","20110810","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","California","out of business","","miscellaneous energy products and systems","biofuels; fertilizers","https://www.fra.dot.gov/eLib/details/L01494#p1_z5_gD_lEA",""
"AGRIFOS FERTILIZER","Rentech","$7,500","$0","$7,500","2012","20121003","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","California","out of business","","miscellaneous energy products and systems","biofuels; fertilizers","https://www.fra.dot.gov/eLib/details/L04899#p1_z5_gD_lEA",""
"Agrifos Fertilizer LLC","Rentech","$1,800,000","$1,800,000","$0","2011","20111207","environment-related offenses","environmental violation","","The U.S. Environmental Protection Agency announced that Agrifos, a former phosphoric acid and phosphate fertilizer producer, has agreed to pay a $1.8 million dollar penalty and conduct an environmental project to resolve alleged violations of the Resource Conservation and Recovery Act (RCRA) and the Clean Air Act. ","federal","agency action","Environmental Protection Agency","civil","","","","","","Texas","Pasadena","","","","","USA","California","out of business","","miscellaneous energy products and systems","biofuels; fertilizers","http://www2.epa.gov/enforcement/agrifos-fertilizer-company-settlement","Note: This penalty is a duplicate of an amount shown in another record (either because it applies to a multi-location settlement or because Violation Tracker contains an agency record and a settlement announcement for the same case)."
"Agrifos Fertilizer LLC","Rentech","$385,000","$0","$385,000","2013","20130102","environment-related offenses","environmental violation","","Pursuant to an Administrative Order on Consent, Agrifos Fertilizer, LLC paid approximately $385,000 in reimbursement for oversight costs of repairs at its facility in Pasadena, Texas, following an August 2007 failure of a retaining wall, and resulting release of process water into Cotton Patch Bayou and Houston Ship Channel. ","federal","agency action","Environmental Protection Agency","civil","","","","","","Texas","Pasadena","","","","","USA","California","out of business","","miscellaneous energy products and systems","biofuels; fertilizers","http://www2.epa.gov/enforcement/case-summary-epa-reimbursed-oversight-costs-agrifos-phosphoric-acid-release-site",""
"Agrifos Fertilizer, Inc.","Rentech","$32,954","$0","$32,954","2007","20070104","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","16-CA-24688-001","","","Texas","Pasadena","","77506","325314","325314: Fertilizer (Mixing Only) Manufacturing","USA","California","out of business","","miscellaneous energy products and systems","biofuels; fertilizers","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"FULGHUM FIBERS, INC.","Rentech","$5,550","$0","$5,550","2006","20060412","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Louisiana","FARMERVILLE","147 CAMP ROAD","71241","321113","321113: Sawmills","USA","California","out of business","","miscellaneous energy products and systems","biofuels; fertilizers","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Rentech Nitrogen Pasadena, LLC","Rentech","$30,000","$0","$30,000","2015","20150409","environment-related offenses","environmental violation","","","state","agency action","Texas Commission on Environmental Quality","civil","","","","","","Texas","","","","","","USA","California","out of business","","miscellaneous energy products and systems","biofuels; fertilizers","https://www.tceq.texas.gov/assets/public/compliance/enforcement/enf_reports/AER/historical/Annual-Enforcement-Report-FY2015.pdf",""
"Rentech Nitrogen Pasadena, LLC","Rentech","$26,551","$0","$26,551","2014","20140825","environment-related offenses","environmental violation","","","state","agency action","Texas Commission on Environmental Quality","civil","","","","","","Texas","","","","","","USA","California","out of business","","miscellaneous energy products and systems","biofuels; fertilizers","https://www.tceq.texas.gov/assets/public/compliance/enforcement/enf_reports/AER/historical/Annual-Enforcement-Report-FY2014.pdf",""
"Rentech Nitrogen Pasadena, LLC","Rentech","$5,251","$0","$5,251","2013","20130719","environment-related offenses","environmental violation","","","state","agency action","Texas Commission on Environmental Quality","civil","","","","","","Texas","","","","","","USA","California","out of business","","miscellaneous energy products and systems","biofuels; fertilizers","https://www.tceq.texas.gov/assets/public/compliance/enforcement/enf_reports/AER/historical/Annual-Enforcement-Report-FY2013.pdf",""
