"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Allied Waste","Republic Services","$9,300","$0","$9,300","2008","20080219","employment-related offenses","Family and Medical Leave Act","","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1497598","","","Tennessee","Nashville","","37210","56211","56211: Waste Collection","USA","Arizona","publicly traded","RSG","waste management and environmental services","waste management","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Allied Waste","Republic Services","$5,000","$0","$5,000","2000","20001227","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","10-CA-32071-001","","","Alabama","Birmingham","","35221","562219","562219: Other Nonhazardous Waste Treatment and Disposal","USA","Arizona","publicly traded","RSG","waste management and environmental services","waste management","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Allied Waste Industries Inc.","Republic Services","$125,000","$0","$125,000","2007","20070508","miscellaneous offenses","civil contempt","price-fixing or anti-competitive practices","Allied Waste Industries Inc. agreed to pay $125,000 as part of a civil settlement with the Department of Justice that resolved Allied's alleged violations of a 2000 consent decree entered in connection with Allied's acquisition of Browning-Ferris Industries Inc. ","federal","agency action","Justice Department Antitrust Division","civil","","","","","","","","","","","","USA","Arizona","publicly traded","RSG","waste management and environmental services","waste management","https://www.justice.gov/archive/atr/public/press_releases/2007/223119.htm",""
"Allied Waste/BFI Waste Services, Inc.","Republic Services","$13,500","$0","$13,500","2006","20061102","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","15-CA-17764-001","","","Louisiana","Baton Rouge","","70807","562219","562219: Other Nonhazardous Waste Treatment and Disposal","USA","Arizona","publicly traded","RSG","waste management and environmental services","waste management","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Allied Waste/BFI Waste Services of Brewton","Republic Services","$32,760","$0","$32,760","2005","20051222","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","15-CA-17730-001","","","Alabama","Brewton","","36426","562111","562111: Solid Waste Collection","USA","Arizona","publicly traded","RSG","waste management and environmental services","waste management","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Allied Waste/BFI Waste Services of Mobile","Republic Services","$53,352","$0","$53,352","2005","20051222","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","15-CA-17732-001","","","Alabama","Mobile","","36693","562111","562111: Solid Waste Collection","USA","Arizona","publicly traded","RSG","waste management and environmental services","waste management","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Allied Waste/BFI Waste Services of Pensacola","Republic Services","$60,840","$0","$60,840","2005","20051222","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","15-CA-17775-001","","","Florida","Pensacola","","32501","562111","562111: Solid Waste Collection","USA","Arizona","publicly traded","RSG","waste management and environmental services","waste management","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Allied Waste/BFI Waste Services of Timberlands","Republic Services","$10,296","$0","$10,296","2005","20051222","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","15-CA-17731-001","","","Alabama","Brewton","","36426","562111","562111: Solid Waste Collection","USA","Arizona","publicly traded","RSG","waste management and environmental services","waste management","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Allied Waste dba Sunrise/Sunset/Lathrop Sanitation","Republic Services","$5,773","$0","$5,773","2005","20050714","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","32-CA-22052-001","","","California","Stockton","","95201","562219","562219: Other Nonhazardous Waste Treatment and Disposal","USA","Arizona","publicly traded","RSG","waste management and environmental services","waste management","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Allied Waste Industries, Inc. d/b/a and successor to BFI Waste Systems","Republic Services","$14,367","$0","$14,367","2000","20000710","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","13-CA-38492-001","","","Illinois","Melrose Park","","60160","562211","562211: Hazardous Waste Treatment and Disposal","USA","Arizona","publicly traded","RSG","waste management and environmental services","waste management","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Allied Waste Industries, L.L.C., d/b/a D & L Disposal","Republic Services","$5,000","$0","$5,000","2004","20040721","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","14-CA-27867-001","","","Illinois","Greenville","","62246","562111","562111: Solid Waste Collection","USA","Arizona","publicly traded","RSG","waste management and environmental services","waste management","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Allied Waste Industries, L.L.C. d/b/a Midwest Waste","Republic Services","$56,000","$0","$56,000","2004","20040701","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","14-CA-27667-001","","","Missouri","Bridgeton","","63044","562111","562111: Solid Waste Collection","USA","Arizona","publicly traded","RSG","waste management and environmental services","waste management","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Allied Waste Industries, L.L.C. d/b/a Midwest Waste","Republic Services","$15,500","$0","$15,500","2002","20020219","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","14-CA-26568-001","","","Missouri","Bridgeton","","63044","562212","562212: Solid Waste Landfill","USA","Arizona","publicly traded","RSG","waste management and environmental services","waste management","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Allied Waste Industries, L.L.C. d/b/a D & L Disposal","Republic Services","$6,000","$0","$6,000","2003","20031021","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","14-CA-27513-001","","","Illinois","Greenville","","62246","562111","562111: Solid Waste Collection","USA","Arizona","publicly traded","RSG","waste management and environmental services","waste management","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Allied Waste Services Massachusetts, LLC, d/b/a Allied Waste Services of Fall River and BFI","Republic Services","$6,674","$0","$6,674","2007","20070221","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","01-CA-43240-001","","","Massachusetts","Fall River","","02720","562111","562111: Solid Waste Collection","USA","Arizona","publicly traded","RSG","waste management and environmental services","waste management","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
