"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Burger King Corporation","Restaurant Brands International","$85,000","$0","$85,000","2009","20090309","employment-related offenses","employment discrimination","","sexual harassment","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","North Carolina","","","","","","Canada","","publicly traded","QSR","restaurants and foodservice","restaurants","https://www.eeoc.gov/eeoc/newsroom/release/archive/3-9-09a.html","Description field shows type of discrimination that EEOC had alleged."
"Burger King Corporation","Restaurant Brands International","$38,512","$0","$38,512","2012","20120607","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1658025","","","Florida","Miami","","33127","722211","722211: Limited-Service Restaurants","Canada","","publicly traded","QSR","restaurants and foodservice","restaurants","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Burger King Corporation","Restaurant Brands International","$22,734","$0","$22,734","2008","20080424","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1509684","","","New York","Patchogue","","11772","722211","722211: Limited-Service Restaurants","Canada","","publicly traded","QSR","restaurants and foodservice","restaurants","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Burger King Corporation","Restaurant Brands International","$15,509","$0","$15,509","2007","20070904","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1479452","","","New Hampshire","Milford","","03055","722211","722211: Limited-Service Restaurants","Canada","","publicly traded","QSR","restaurants and foodservice","restaurants","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"BURGER KING","Restaurant Brands International","$13,575","$0","$13,575","2002","20020524","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","NAPA","3025 JEFFERSON STREET","94558","000000","","Canada","","publicly traded","QSR","restaurants and foodservice","restaurants","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Popeyes Chicken","Restaurant Brands International","$11,750","$0","$11,750","2004","20040330","employment-related offenses","wage and hour violation","","overtime violation","state","agency action","California Labor Commissioner's Office","civil","","","35-19621","","","California","","","","","","Canada","","publicly traded","QSR","restaurants and foodservice","restaurants","Contained in data obtained on August 17, 2017 in response to an open records request. ",""
"Burger King No 6163","Restaurant Brands International","$26,000","$0","$26,000","2001","20010827","employment-related offenses","wage and hour violation","","","state","agency action","California Labor Commissioner's Office","civil","","","35-17097","","","California","","","","","","Canada","","publicly traded","QSR","restaurants and foodservice","restaurants","Contained in data obtained on August 17, 2017 in response to an open records request. ",""
"BURGER KING","Restaurant Brands International","$5,500","$0","$5,500","2005","20050517","employment-related offenses","wage and hour violation","child labor or youth employment violation","","state","agency action","Minnesota Department of Labor & Industry","civil","","","6601","","","Minnesota","","","","","","Canada","","publicly traded","QSR","restaurants and foodservice","restaurants","Contained in data obtained on April 14, 2017 in response to an open records request. ",""
"Burger King","Restaurant Brands International","$14,600","$0","$14,600","2017","20171027","employment-related offenses","wage and hour violation","child labor or youth employment violation","","state","agency action","Washington State Department of Labor & Industries","civil","","","119064","","","Washington","","","","","","Canada","","publicly traded","QSR","restaurants and foodservice","restaurants","Contained in data obtained on April 26, 2018 in response to an open records request. ",""
"Burger King","Restaurant Brands International","$350,000","$0","$350,000","2017","20170127","employment-related offenses","wage and hour violation","","misclassification","federal","private litigation","","civil","","Southern District of Florida","15-cv-20455","Torres Roman v. Burger King Corporation","settlement","","","","","","","Canada","","publicly traded","QSR","restaurants and foodservice","restaurants","",""
"Burger King Corp.","Restaurant Brands International","$55,000","$0","$55,000","2002","20020430","consumer-protection-related offenses","Americans with Disabilities Act","","","federal","agency action","U.S. Attorney-District of New Hampshire","civil","","","","","","New Hampshire","","","","","","Canada","","publicly traded","QSR","restaurants and foodservice","restaurants","Burger King settles New Hampshire ADA claims, Associated Press, April 30, 2002 (via Nexis).",""
