"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Appolo Fuel","Revelation Energy","$135,000","$0","$135,000","2014","20141001","environment-related offenses","environmental violation","","Two coal companies in Eastern Kentucky have agreed to resolve violations of the Clean Water Act (CWA) according to settlements with the U.S. Environmental Protection Agency. Appolo Fuels, Inc. (Appolo), a coal company based in Middlesboro, Kentucky will pay a total civil penalty of $135,000 for filling in streams, a violation of Section 404 of the CWA. Coal Operators 1, LLC, Coal Essence Preparation Plant (formerly known as the Viking Preparation Plant), in Pikeville, Kentucky will pay a total civil penalty of $110,000 for violations of Section 402 of the CWA.","federal","agency action","Environmental Protection Agency","civil","","","","","","Kentucky","Middlesboro","","","","","USA","West Virginia","privately held","","mining and minerals","coal mining","https://archive.epa.gov/epapages/newsroom_archive/newsreleases/b90b0db29878fb7e85257d64005006f7.html",""
"REVELATION ENERGY, LLC","Revelation Energy","$10,001","$0","$10,001","2020","20200519","employment-related offenses","benefit plan administrator violation","","","federal","agency action","Employee Benefits Security Administration","civil","","","","","","West Virginia","","","25541","","","USA","West Virginia","privately held","","mining and minerals","coal mining","https://enforcedata.dol.gov/views/data_summary.php",""
"BLACK JEWELL LLC","Revelation Energy","$3,235,217","$0","$3,235,217","2019","20191127","employment-related offenses","wage and hour violation","","","state","agency action","Kentucky Department of Workplace Standards","civil","","","4800426","","","Kentucky","","","","","","USA","West Virginia","privately held","","mining and minerals","coal mining","Contained in data obtained on November 17, 2020 in response to an open records request to the agency.",""
"REVELATION ENERGY LLC","Revelation Energy","$12,640","$0","$12,640","2019","20190502","environment-related offenses","environmental violation","","mining violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","PAC -47819","","","Kentucky","","","","","","USA","West Virginia","privately held","","mining and minerals","coal mining","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"REVELATION ENERGY, LLC","Revelation Energy","$31,500","$0","$31,500","2019","20190417","environment-related offenses","environmental violation","","water pollution violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","DOW -150518","","","Kentucky","","","","","","USA","West Virginia","privately held","","mining and minerals","coal mining","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"REVELATION ENERGY LLC","Revelation Energy","$21,600","$0","$21,600","2019","20190412","environment-related offenses","environmental violation","","mining violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","PAH -47793","","","Kentucky","","","","","","USA","West Virginia","privately held","","mining and minerals","coal mining","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"REVELATION ENERGY LLC","Revelation Energy","$5,560","$0","$5,560","2019","20190218","environment-related offenses","environmental violation","","mining violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","PAC -47079","","","Kentucky","","","","","","USA","West Virginia","privately held","","mining and minerals","coal mining","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"REVELATION ENERGY LLC","Revelation Energy","$7,456","$0","$7,456","2018","20180919","environment-related offenses","environmental violation","","mining violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","PAC -47809","","","Kentucky","","","","","","USA","West Virginia","privately held","","mining and minerals","coal mining","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"REVELATION ENERGY LLC","Revelation Energy","$10,106","$0","$10,106","2018","20180919","environment-related offenses","environmental violation","","mining violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","PAC -47798","","","Kentucky","","","","","","USA","West Virginia","privately held","","mining and minerals","coal mining","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"REVELATION ENERGY LLC","Revelation Energy","$5,138","$0","$5,138","2018","20180529","environment-related offenses","environmental violation","","mining violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","PAC -47746","","","Kentucky","","","","","","USA","West Virginia","privately held","","mining and minerals","coal mining","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
