"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"ZURN IND LLC","Rexnord","$15,525","$0","$15,525","2012","20120105","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Wisconsin","publicly traded","RXN","miscellaneous manufacturing","industrial equipment","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"Merit Gear Corporation","Rexnord","$24,670","$0","$24,670","2007","20070330","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","30-CA-17464-001","","","Wisconsin","Antigo","","54409","333612","333612: Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing","USA","Wisconsin","publicly traded","RXN","miscellaneous manufacturing","industrial equipment","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Rexnord Corporation","Rexnord","$80,000","$0","$80,000","2003","20030428","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","30-CA-15814-001","","","Wisconsin","West Milwaukee","","53214","332114","332114: Custom Roll Forming","USA","Wisconsin","publicly traded","RXN","miscellaneous manufacturing","industrial equipment","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Rexnord Industries, LLC","Rexnord","$45,000","$0","$45,000","2010","20101026","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","30-CA-18780-001","","","Wisconsin","West Milwaukee","","53214","332999","332999: All Other Miscellaneous Fabricated Metal Product Manufacturing","USA","Wisconsin","publicly traded","RXN","miscellaneous manufacturing","industrial equipment","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Rexnord Industries, LLC","Rexnord","$25,000","$0","$25,000","2014","20140304","employment-related offenses","employment discrimination","Americans with Disabilities Act","disability","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Wisconsin","","","","","","USA","Wisconsin","publicly traded","RXN","miscellaneous manufacturing","industrial equipment","https://www.eeoc.gov/eeoc/newsroom/release/3-4-14.cfm","Description field shows type of discrimination that EEOC had alleged."
"REXNORD INDUSTRIES, LLC","Rexnord","$95,000","$0","$95,000","2010","20100119","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Wisconsin","MILWAUKEE","4800 W. MITCHELL ST.","53214","333613","333613: Mechanical Power Transmission Equipment Manufacturing","USA","Wisconsin","publicly traded","RXN","miscellaneous manufacturing","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ZURN INDUSTRIES, INC.","Rexnord","$7,650","$0","$7,650","2009","20090910","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","North Carolina","SANFORD","5900 ELWIN BUCHANAN ROAD","27330","332913","332913: Plumbing Fixture Fitting and Trim Manufacturing","USA","Wisconsin","publicly traded","RXN","miscellaneous manufacturing","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"REXNORD INDUSTRIES, INC.","Rexnord","$5,525","$0","$5,525","2010","20100215","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Indiana","INDIANAPOLIS","7601 ROCKVILLE ROAD","46214","332991","332991: Ball and Roller Bearing Manufacturing","USA","Wisconsin","publicly traded","RXN","miscellaneous manufacturing","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"OEI INCORPORATED","Rexnord","$6,217","$0","$6,217","2011","20110127","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Wisconsin","ASHLAND","3610 ELLIS AVENUE","54806","321999","321999: All Other Miscellaneous Wood Product Manufacturing","USA","Wisconsin","publicly traded","RXN","miscellaneous manufacturing","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"REXNORD INDUSTRIES LLC","Rexnord","$5,100","$0","$5,100","2008","20080624","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Nebraska","LINCOLN","6040 FLETCHER AVE","68517","333613","333613: Mechanical Power Transmission Equipment Manufacturing","USA","Wisconsin","publicly traded","RXN","miscellaneous manufacturing","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"REXNORD INDUSTRIES, LLC","Rexnord","$57,500","$0","$57,500","2006","20061109","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Wisconsin","MILWAUKEE","4800 W. MITCHELL ST.","53214","332999","332999: All Other Miscellaneous Fabricated Metal Product Manufacturing","USA","Wisconsin","publicly traded","RXN","miscellaneous manufacturing","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"REXNORD INDUSTRIES, LLC","Rexnord","$40,000","$0","$40,000","2006","20061206","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Wisconsin","MILWAUKEE","3001 WEST CANAL STREET","53208","333612","333612: Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing","USA","Wisconsin","publicly traded","RXN","miscellaneous manufacturing","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"PRAGER, INC.","Rexnord","$13,770","$0","$13,770","2004","20040719","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Louisiana","NEW ORLEANS","472 ANDREW HIGGINS DRIVE","70161","332710","332710: Machine Shops","USA","Wisconsin","publicly traded","RXN","miscellaneous manufacturing","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
