"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Restoration Hardware, Inc","RH (Restoration Hardware)","$32,414","$0","$32,414","2012","20120110","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1637233","","","California","Tracy","","95376","442110","442110: Furniture Stores","USA","California","publicly traded","RH","housewares and home furnishings","home furnishings","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Restoration Hardware","RH (Restoration Hardware)","$12,810","$0","$12,810","2003","20030324","employment-related offenses","wage and hour violation","","","state","agency action","California Labor Commissioner's Office","civil","","","35-31939","","","California","","","","","","USA","California","publicly traded","RH","housewares and home furnishings","home furnishings","Contained in data obtained on August 17, 2017 in response to an open records request. ",""
"Restoration Hardware","RH (Restoration Hardware)","$1,500,000","$0","$1,500,000","2016","20160428","employment-related offenses","wage and hour violation","","overtime violation","state","private litigation","","civil","","Superior Court of State of California, County of Los Angeles","JCCP4794","Restoration Hardware Wage And Hour Cases","settlement","California","","","","","","USA","California","publicly traded","RH","housewares and home furnishings","home furnishings","https://www.law360.com/articles/741287/restoration-hardware-gets-ok-for-1-5m-wage-settlement",""
"Restoration Hardware Inc.","RH (Restoration Hardware)","$11,009","$0","$11,009","2018","20180527","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1849051","","","Florida","West Palm Beach","560 Okeechocee Blvd","33401","236118","236118: Residential Remodelers","USA","California","publicly traded","RH","housewares and home furnishings","home furnishings","February 7, 2020 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Restoration Hardware, Inc.","RH (Restoration Hardware)","$14,700","$0","$14,700","2014","20141001","environment-related offenses","environmental violation","","air pollution violation","state","agency action","California Air Resources Board","civil","","","","","","California","","","","","","USA","California","publicly traded","RH","housewares and home furnishings","home furnishings","https://ww2.arb.ca.gov/restoration-hardware-inc-settlement",""
"RESTORATION HARDWARE, INC","RH (Restoration Hardware)","$11,100","$0","$11,100","2011","20110812","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","MIRA LOMA","11640 HARREL ST  STE B","91752","493110","493110: General Warehousing and Storage","USA","California","publicly traded","RH","housewares and home furnishings","home furnishings","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"RESTORATION HARDWARE, INC.","RH (Restoration Hardware)","$7,700","$0","$7,700","2014","20140326","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","WALNUT CREEK","1460 MT. DIABLO BLVD","94596","442299","442299: All Other Home Furnishings Stores","USA","California","publicly traded","RH","housewares and home furnishings","home furnishings","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"RESTORATION HARDWARE","RH (Restoration Hardware)","$9,054","$0","$9,054","2017","20170602","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Jersey","AVENEL","255 BLAIR ROADSUITE C","07001","423210","423210: Furniture Merchant Wholesalers","USA","California","publicly traded","RH","housewares and home furnishings","home furnishings","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"RESTORATION HARDWARE","RH (Restoration Hardware)","$8,865","$0","$8,865","2017","20170705","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","WEST JEFFERSON","100 ENTERPRISE PKWY","43162","493110","493110: General Warehousing and Storage","USA","California","publicly traded","RH","housewares and home furnishings","home furnishings","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"RESTORATION HARDWARE","RH (Restoration Hardware)","$9,054","$0","$9,054","2017","20170817","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Jersey","AVENEL","255 BLAIR ROADSUITE C","07001","423210","423210: Furniture Merchant Wholesalers","USA","California","publicly traded","RH","housewares and home furnishings","home furnishings","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"RESTORATION HARDWARE, INC.","RH (Restoration Hardware)","$7,600","$0","$7,600","2021","20210311","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","PATTERSON","825 ROGERS ROAD","95363","442110","442110: Furniture Stores","USA","California","publicly traded","RH","housewares and home furnishings","home furnishings","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MICHAEL'S FURNITURE COMPANY","RH (Restoration Hardware)","$191,621","$0","$191,621","2001","20010320","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","09-1998-0164","","","","","","","","","USA","California","publicly traded","RH","housewares and home furnishings","home furnishings","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
