"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Alcan Smelters & Chemical Ltd.","Rio Tinto","$5,000","$0","$5,000","2002","20021217","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","United Kingdom","","publicly traded","LSE: RIO","mining and minerals","mining","Taken from the Federal Railroad Administration's FY2003 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Kennecott Utah Copper","Rio Tinto","$17,549","$0","$17,549","2009","20090601","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","27-CA-20677-001","","","Utah","Bingham Canyon","","84006","212234","212234: Copper Ore and Nickel Ore Mining","United Kingdom","","publicly traded","LSE: RIO","mining and minerals","mining","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Kennecott Utah Copper","Rio Tinto","$15,000","$0","$15,000","2008","20080401","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","United Kingdom","","publicly traded","LSE: RIO","mining and minerals","mining","Taken from the Federal Railroad Administration's FY2008 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Kennecott Utah Copper","Rio Tinto","$12,192","$0","$12,192","2002","20020506","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","27-CA-14914-001","","","Utah","Salt Lake City","","84111","212234","212234: Copper Ore and Nickel Ore Mining","United Kingdom","","publicly traded","LSE: RIO","mining and minerals","mining","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Kennecott Utah Copper","Rio Tinto","$10,500","$0","$10,500","2002","20020111","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","United Kingdom","","publicly traded","LSE: RIO","mining and minerals","mining","Taken from the Federal Railroad Administration's FY2002 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Kennecott Utah Copper","Rio Tinto","$10,000","$0","$10,000","2010","20100122","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","United Kingdom","","publicly traded","LSE: RIO","mining and minerals","mining","https://www.fra.dot.gov/eLib/details/L01493#p1_z5_gD_lEA",""
"Kennecott Utah Copper Corp.","Rio Tinto","$10,000","$0","$10,000","2005","20050822","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","27-CA-18260-001","","","Utah","Bingham Canyon","","84006","212111","212111: Bituminous Coal and Lignite Surface Mining","United Kingdom","","publicly traded","LSE: RIO","mining and minerals","mining","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Kennecott Utah Copper Corporation","Rio Tinto","$20,000,000","$0","$20,000,000","2007","20070709","environment-related offenses","environmental violation","","Kennecott Utah Copper Corporation agreed to implement a comprehensive cleanup of groundwater contamination from past mining operations related to the Bingham Canyon Mine located southwest of Salt Lake City. The work was expected to cost $15 million and take over four decades to complete. Under the terms of the settlement, Kennecott also agreed to pay over $5 million for costs associated with prior investigations and other actions by EPA at the site and surrounding areas.","federal","agency action","Justice Department Environment and Natural Resources Division","civil","","","","","","Utah","","","","","","United Kingdom","","publicly traded","LSE: RIO","mining and minerals","mining","https://www.justice.gov/archive/opa/pr/2007/July/07_enrd_488.html",""
"Kennecott Utah Copper Corporation","Rio Tinto","$210,000","$0","$210,000","2006","20060419","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","27-CA-18655-001","","","Utah","Bingham Canyon","","84006","212234","212234: Copper Ore and Nickel Ore Mining","United Kingdom","","publicly traded","LSE: RIO","mining and minerals","mining","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"U.S. Borax","Rio Tinto","$11,500","$0","$11,500","2008","20080328","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","United Kingdom","","publicly traded","LSE: RIO","mining and minerals","mining","Taken from the Federal Railroad Administration's FY2008 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"U.S. BORAX","Rio Tinto","$5,000","$0","$5,000","2006","20061012","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","United Kingdom","","publicly traded","LSE: RIO","mining and minerals","mining","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_520050020.html?nocache=2180",""
"U.S. BORAX INC.","Rio Tinto","$50,001","$0","$50,001","2006","20060821","employment-related offenses","benefit plan administrator violation","","Deficient Filer","federal","agency action","Employee Benefits Security Administration","civil","","","","","","California","","","","","","United Kingdom","","publicly traded","LSE: RIO","mining and minerals","mining","Included in a dataset downloaded at https://enforcedata.dol.gov/views/data_summary.php","Company is plan administrator. Penalty amount reported in range of $50,001 to $100,000."
"U.S. Borax Inc.","Rio Tinto","$27,156","$0","$27,156","2002","20020905","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","31-CA-24871-001","","","California","Boron","","93516","212391","212391: Potash, Soda, and Borate Mineral Mining","United Kingdom","","publicly traded","LSE: RIO","mining and minerals","mining","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"U.S. BORAX INC.","Rio Tinto","$10,001","$0","$10,001","2006","20060821","employment-related offenses","benefit plan administrator violation","","Deficient Filer","federal","agency action","Employee Benefits Security Administration","civil","","","","","","California","","","","","","United Kingdom","","publicly traded","LSE: RIO","mining and minerals","mining","Included in a dataset downloaded at https://enforcedata.dol.gov/views/data_summary.php","Company is plan administrator. Penalty amount reported in range of $10,001 to $50,000. "
"U.S. Borax, Inc.","Rio Tinto","$2,750,000","$0","$2,750,000","2010","20100517","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","31-CA-29464-001","","","California","Boron","","93516","213113","213113: Support Activities for Coal Mining","United Kingdom","","publicly traded","LSE: RIO","mining and minerals","mining","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"RIO TINTO MINERALS (U.S. BORAX INC.)","Rio Tinto","$7,125","$0","$7,125","2008","20081105","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","BORON","14486 BORAX ROAD","93516","212391","212391: Potash, Soda, and Borate Mineral Mining","United Kingdom","","publicly traded","LSE: RIO","mining and minerals","mining","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"U S BORAX","Rio Tinto","$18,750","$0","$18,750","2005","20050829","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","BORON","14486 BORAX ROAD","93516","212391","212391: Potash, Soda, and Borate Mineral Mining","United Kingdom","","publicly traded","LSE: RIO","mining and minerals","mining","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ALCAN PACKAGING - BAY AREA COMPLEX","Rio Tinto","$15,185","$0","$15,185","2005","20051128","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","NEWARK","6590 CENTRAL AVE","94560","326112","326112: Plastics Packaging Film and Sheet (including Laminated) Manufacturing","United Kingdom","","publicly traded","LSE: RIO","mining and minerals","mining","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
