"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"ROSEBURG FOREST PRODUCTS CO.","Roseburg Forest Products","$8,775","$0","$8,775","2005","20050830","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Montana","MISSOULA","3300 RASER ROAD","59808","321219","321219: Reconstituted Wood Product Manufacturing","USA","Oregon","privately held","","building materials","forest products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ROSEBURG FOREST PRODUCTS CO","Roseburg Forest Products","$21,000","$0","$21,000","2002","20020702","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Oregon","DILLARD","10600 HIGHWAY 99S","97432","000000","","USA","Oregon","privately held","","building materials","forest products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Roseburg Forest Products Co.","Roseburg Forest Products","$52,557","$0","$52,557","2020","20200331","employment-related offenses","labor relations violation","","","federal","agency action","National Labor Relations Board","civil","","","19-CA-213306","","","Oregon","Riddle","","","","","USA","Oregon","privately held","","building materials","forest products","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/28/2020.",""
"Roseburg Forest Products South LP","Roseburg Forest Products","$16,000","$0","$16,000","2019","20190802","environment-related offenses","environmental violation","","","state","agency action","Louisiana Department of Environmental Quality","civil","","","","","","Louisiana","","","","","","USA","Oregon","privately held","","building materials","forest products","https://deq.louisiana.gov/assets/docs/General/Settlement_Agreements/2019/Roseburg0060_Final.pdf",""
"Roseburg Forest Products","Roseburg Forest Products","$9,900","$0","$9,900","2017","20171106","environment-related offenses","environmental violation","","air quality violation","state","agency action","Montana Department of Environmental Quality","civil","","","","","","Montana","","","","","","USA","Oregon","privately held","","building materials","forest products","http://deq.mt.gov/DEQAdmin/ENF/PressReleases/deq-roseburg-forest-products-resolve-air-quality-act-violations",""
"Roseburg Forest Products Co.","Roseburg Forest Products","$22,800","$0","$22,800","2020","20200424","environment-related offenses","environmental violation","","","state","agency action","Oregon Department of Environmental Quality","civil","","","2019-242","","","Oregon","Coquille","","","","","USA","Oregon","privately held","","building materials","forest products","https://www.deq.state.or.us/programs/enforcement/EnfQuery.asp","Taken from summary listing of enforcement orders; some details (such as suspended penalties) are not available."
"Roseburg Forest Products","Roseburg Forest Products","$38,400","$0","$38,400","2019","20191008","environment-related offenses","environmental violation","","air quality violations","state","agency action","Oregon Department of Environmental Quality","civil","","","2019-077","","","Oregon","Dillard","","","","","USA","Oregon","privately held","","building materials","forest products","https://www.deq.state.or.us/programs/enforcement/EnfQuery.asp","Taken from summary listing of enforcement orders; some details (such as suspended penalties) are not available."
"Roseburg Forest Products (Riddle Plywood)","Roseburg Forest Products","$18,704","$0","$18,704","2018","20181204","environment-related offenses","environmental violation","","","state","agency action","Oregon Department of Environmental Quality","civil","","","2018-088","","","Oregon","Riddle","","","","","USA","Oregon","privately held","","building materials","forest products","https://www.deq.state.or.us/programs/enforcement/EnfQuery.asp","Taken from summary listing of enforcement orders; some details (such as suspended penalties) are not available."
"ROSEBURG FOREST PRODUCTS","Roseburg Forest Products","$8,400","$0","$8,400","2017","20171016","environment-related offenses","environmental violation","","oil or hazardous waste spill","state","agency action","Oregon Department of Environmental Quality","civil","","","2017-167","","","Oregon","","","","","","USA","Oregon","privately held","","building materials","forest products","https://www.deq.state.or.us/programs/enforcement/EnfQuery.asp",""
"ROSEBURG FOREST PRODUCTS CO.","Roseburg Forest Products","$45,241","$0","$45,241","2016","20161010","environment-related offenses","environmental violation","","air quality violations","state","agency action","Oregon Department of Environmental Quality","civil","","","2016-107","","","Oregon","Medford","","","","","USA","Oregon","privately held","","building materials","forest products","https://www.deq.state.or.us/programs/enforcement/EnfQuery.asp",""
