"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Robert Wood John University Hospital Hamilton","RWJBarnabas Health","$65,000","$0","$65,000","2009","20090910","healthcare-related offenses","HHS civil monetary penalties","","Robert Wood John University Hospital Hamilton (RWJ Hamilton), New Jersey, agreed to pay $65,000 to resolve its liability for CMPs under the patient dumping statute. The OIG alleged that RWJ Hamilton failed to provide a medical screening examination, stabilizing treatment or an appropriate transfer for a mother and her newborn child who came to RWJ Hamilton's emergency department for examination and treatment for a medical condition. ","federal","agency action","Health & Human Services Department Office of Inspector General","civil","","","","","","New Jersey","Hamilton","","","","","USA","New Jersey","non-profit","","healthcare services","hospitals","https://oig.hhs.gov/fraud/enforcement/cmp/cmp-ae.asp",""
"Robert Wood Johnson Health Care Corp.","RWJBarnabas Health","$5,800,000","$0","$5,800,000","2015","20151030","government-contracting-related offenses","False Claims Act and related","","The Department of Justice reached 70 settlements involving 457 hospitals in 43 states for more than $250 million related to cardiac devices that were implanted in Medicare patients in violation of Medicare coverage requirements.","federal","agency action","Justice Department Civil Division","civil","","","","","","New Jersey","New Brunswick","","","","","USA","New Jersey","non-profit","","healthcare services","hospitals","https://www.justice.gov/opa/pr/nearly-500-hospitals-pay-united-states-more-250-million-resolve-false-claims-act-allegations",""
"Robert Wood Johnson University Hospital Hamilton","RWJBarnabas Health","$6,350,000","$0","$6,350,000","2010","20100319","government-contracting-related offenses","False Claims Act and related","","Robert Wood Johnson University Hospital Hamilton, a New Jersey-based hospital, agreed to pay $6.35 million to settle allegations that it fraudulently inflated its charges to Medicare patients to obtain larger reimbursements from the federal health care program.","federal","agency action","Justice Department Civil Division","civil","","","","","","New Jersey","Hamilton","","","","","USA","New Jersey","non-profit","","healthcare services","hospitals","https://www.justice.gov/opa/pr/new-jersey-hospital-pay-635-million-resolve-allegations-inflating-charges-obtain-higher",""
"Saint Barnabas Corporation","RWJBarnabas Health","$265,000,000","$0","$265,000,000","2006","20060615","government-contracting-related offenses","False Claims Act and related","fraud","Saint Barnabas Corporation agreed to pay the United States $265 million to settle allegations that it defrauded the federal Medicare program.","federal","agency action","Justice Department Civil Division","civil","","","","","","New Jersey","","","","","","USA","New Jersey","non-profit","","healthcare services","hospitals","https://www.justice.gov/archive/opa/pr/2006/June/06_civ_373.html",""
"Saint Barnabas Medical Center","RWJBarnabas Health","$113,190","$0","$113,190","2010","20101231","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1598333","","","New Jersey","Livingston","","07039","622110","622110: General Medical and Surgical Hospitals","USA","New Jersey","non-profit","","healthcare services","hospitals","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"CLARA MAASS MEDICAL CENTER","RWJBarnabas Health","$29,250","$0","$29,250","2002","20021018","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Jersey","BELLEVILLE","1 CLARA MAASS DR.","07109","622110","622110: General Medical and Surgical Hospitals","USA","New Jersey","non-profit","","healthcare services","hospitals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MONMOUTH MEDICAL CENTER","RWJBarnabas Health","$10,500","$0","$10,500","2019","20190118","environment-related offenses","environmental violation","","air quality violation","state","agency action","New Jersey Department of Environmental Protection","civil","","","20056-NEA180001","","","New Jersey","","","","","","USA","New Jersey","non-profit","","healthcare services","hospitals","Contained in data received from the agency on October 26, 2020 in response to an open records request. The data was a spreadsheet version of information contained in the records in the DEP DataMiner at https://www13.state.nj.us/DataMiner",""
"JERSEY CITY MEDICAL CENTER","RWJBarnabas Health","$15,000","$0","$15,000","2013","20130510","environment-related offenses","environmental violation","","hazardous waste violation","state","agency action","New Jersey Department of Environmental Protection","civil","","","NJR000065847-PEA120002","","","New Jersey","","","","","","USA","New Jersey","non-profit","","healthcare services","hospitals","Contained in data received from the agency on October 26, 2020 in response to an open records request. The data was a spreadsheet version of information contained in the records in the DEP DataMiner at https://www13.state.nj.us/DataMiner",""
"Monmouth Medical Center Southern Campus","RWJBarnabas Health","$10,125","$0","$10,125","2013","20130422","environment-related offenses","environmental violation","","hazardous waste violation","state","agency action","New Jersey Department of Environmental Protection","civil","","","NJD078272713-NEA130001","","","New Jersey","","","","","","USA","New Jersey","non-profit","","healthcare services","hospitals","Contained in data received from the agency on October 26, 2020 in response to an open records request. The data was a spreadsheet version of information contained in the records in the DEP DataMiner at https://www13.state.nj.us/DataMiner",""
"NEWARK BETH ISRAEL MEDICAL CENTER","RWJBarnabas Health","$13,200","$0","$13,200","2012","20121130","environment-related offenses","environmental violation","","solid waste violation","state","agency action","New Jersey Department of Environmental Protection","civil","","","0118668-NEA120001","","","New Jersey","","","","","","USA","New Jersey","non-profit","","healthcare services","hospitals","Contained in data received from the agency on January 28, 2021 in response to an open records request. The data was a spreadsheet version of information contained in the records in the DEP DataMiner at https://www13.state.nj.us/DataMiner",""
