"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"CertainTeed Corporation","Saint-Gobain","$16,714","$0","$16,714","2004","20040202","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","17-CA-21815-001","","","Kansas","Kansas City","","66102","238990","238990: All Other Specialty Trade Contractors","France","","publicly traded","","building materials","building materials","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"SAINT GOBAIN ABRASIVES INC","Saint-Gobain","$10,000","$0","$10,000","2011","20110928","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","France","","publicly traded","","building materials","building materials","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"CERTAINTEED CORP","Saint-Gobain","$5,000","$0","$5,000","2008","20081204","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","France","","publicly traded","","building materials","building materials","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"CERTAINTEED CORP","Saint-Gobain","$10,642","$0","$10,642","2002","20020807","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","France","","publicly traded","","building materials","building materials","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"Saint Gobain Abrasives, Inc.","Saint-Gobain","$753,897","$0","$753,897","2009","20090626","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","01-CA-41623-001","","","Massachusetts","Worcester","","01615","327910","327910: Abrasive Product Manufacturing","France","","publicly traded","","building materials","building materials","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Saint-Gobain Abrasives, Inc.","Saint-Gobain","$429,056","$0","$429,056","2008","20080725","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","01-CA-39789-001","","","Massachusetts","Worcester","","01615","339999","339999: All Other Miscellaneous Manufacturing","France","","publicly traded","","building materials","building materials","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Saint-Gobain Ceramics & Plastics, Inc.","Saint-Gobain","$7,837","$0","$7,837","2015","20150404","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1754604","","","New Hampshire","Milford","","03055","327999","327999: All Other Miscellaneous Nonmetallic Mineral Product Manufacturing","France","","publicly traded","","building materials","building materials","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Saint Gobain Containers","Saint-Gobain","$18,710","$0","$18,710","2012","20120502","employment-related offenses","Family and Medical Leave Act","","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1644709","","","Illinois","Dolton","","60419","327213","327213: Glass Container Manufacturing","France","","publicly traded","","building materials","building materials","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Saint Gobain Containers, Inc.","Saint-Gobain","$104,860","$0","$104,860","2007","20070203","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1451313","","","Indiana","Muncie","","47302","327213","327213: Glass Container Manufacturing","France","","publicly traded","","building materials","building materials","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Saint-Gobain Containers Inc.","Saint-Gobain","$114,250,000","$0","$114,250,000","2010","20100121","environment-related offenses","environmental violation","","Saint-Gobain Containers Inc. of Muncie, Ind., agreed, in a consent decree filed in federal court in Seattle, to install pollution control equipment at an estimated cost of $112 million to reduce emissions of NOx, SO2 and PM by approximately 6,000 tons each year. The settlement covered 15 plants in 13 states. Two of the 15 plants had been closed by Saint-Gobain for independent business reasons. In addition, as part of the settlement, Saint-Gobain agreed to pay a $2.25 million civil penalty to resolve its alleged violations of the Clean Air Act's new source review regulations. ","federal","agency action","Environmental Protection Agency referral to the Justice Department","civil","","","","","","","","","","","","France","","publicly traded","","building materials","building materials","http://www.justice.gov/opa/pr/united-states-announces-two-major-clean-air-act-new-source-review-settlements-28-industrial",""
"Saint-Gobain Containers, Inc.","Saint-Gobain","$8,729,000","$0","$8,729,000","2005","20050420","environment-related offenses","environmental violation","","As part of a Clean Air Act settlement, Saint-Gobain Containers, Inc. of Muncie, Indiana agreed to reduce emissions through the installation of approximately $6.6 million worth of new equipment, pay a civil penalty of $929,000 and spend $1.2 million for an environmental project that will also reduce emissions.","federal","agency action","Justice Department Environment and Natural Resources Division","civil","","","","","","","","","","","","France","","publicly traded","","building materials","building materials","https://www.justice.gov/archive/opa/pr/2005/April/05_enrd_203.htm",""
"Saint-Gobain Containers, Inc.","Saint-Gobain","$86,000","$0","$86,000","2014","20140430","environment-related offenses","environmental violation","","As part of ongoing federal and state efforts to restore Puget Sound, the U.S. Environmental Protection Agency is announcing enforcement actions against three Seattle-area companies for discharging industrial stormwater to Puget Sound waterways in violation of the Clean Water Act. In addition to the companies committing to manage stormwater more diligently at their facilities in the future, they agreed to pay a combined total of $163,500 in penalties.","federal","agency action","Environmental Protection Agency","civil","","","","","","Washington","Seattle","","","","","France","","publicly traded","","building materials","building materials","https://archive.epa.gov/epapages/newsroom_archive/newsreleases/27af5f2d9d9943a085257cca0075e7b9.html",""
"Saint-Gobain Performance Plastics Corporation","Saint-Gobain","$697,500","$0","$697,500","2004","20040616","competition-related offenses","export control violation","","","federal","agency action","Bureau of Industry and Security","civil","","","","","","","","","","","","France","","publicly traded","","building materials","building materials","FOIA101","Source document obtained through a Freedom of Information Act request to the agency."
"Saint-Gobain Performance Plastics Corporation","Saint-Gobain","$7,500","$0","$7,500","2004","20040505","safety-related offenses","nuclear safety violation","","On May 5, 2004, a Notice of Violation and Proposed Imposition of Civil Penalty in the amount of $7,500 was issued for a Severity Level III violation involving the failure to secure from unauthorized removal and failure to control and maintain constant surveillance of licensed material (150 millicuries of americium-241 in a thickness gauge, a generally-licensed device) in a controlled area, resulting in the loss of the gauge. Although the civil penalty would have been fully mitigated based on the normal civil penalty assessment process, a base civil penalty was assessed in accordance with Section VII.A.1.g of the Enforcement Policy to reflect the significance of maintaining control of licensed material.","federal","agency action","Nuclear Regulatory Commission","civil","","","","","","New Jersey","","","","","","France","","publicly traded","","building materials","building materials","https://www.nrc.gov/docs/ML0412/ML041260425.pdf",""
"Saint-Gobain /High Performance","Saint-Gobain","$11,543","$0","$11,543","2011","20110226","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1573653","","","Massachusetts","Northborough","","01532","327211","327211: Flat Glass Manufacturing","France","","publicly traded","","building materials","building materials","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Saint-Gobain Corporation Long Term Disability Plan","Saint-Gobain","$10,001","$0","$10,001","2008","20080107","employment-related offenses","benefit plan administrator violation","","Deficient Filer","federal","agency action","Employee Benefits Security Administration","civil","","","","","","Pennsylvania","","","","","","France","","publicly traded","","building materials","building materials","Included in a dataset downloaded at https://enforcedata.dol.gov/views/data_summary.php","Company is plan administrator. Penalty amount reported in range of $10,001 to $50,000. "
