"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"SandRidge Energy","SandRidge Energy","$250,000","$0","$250,000","2014","20141114","environment-related offenses","environmental violation","offshore drilling violation","During an inspection, gas was observed escaping from a vent cover of a wet oil tank, into the atmosphere, without flame arrestor protection.   Sept. 30 - Oct. 9, 2013 ","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Oklahoma","publicly traded","SD","oil and gas","oil & gas","https://www.bsee.gov/sites/bsee.gov/files/summary-of-civil-penalties-paid/safety/cp-paid-2014-revised-42115.pdf",""
"Sandridge Energy Offshore LLC","SandRidge Energy","$111,750","$0","$111,750","2015","20150901","environment-related offenses","environmental violation","offshore drilling violation","","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Oklahoma","publicly traded","SD","oil and gas","oil & gas","http://www.bsee.gov/uploadedFiles/BSEE/Enforcement/Civil_Penalties_and_Appeals/CP%20Paid%202015.pdf",""
"SandRidge Energy, Inc.","SandRidge Energy","$1,400,000","$0","$1,400,000","2016","20161220","financial offenses","investor protection violation","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","Oklahoma","publicly traded","SD","oil and gas","oil & gas","https://www.sec.gov/litigation/admin/2016/34-79607.pdf",""
"SANDRIDGE ENERGY","SandRidge Energy","$33,750","$0","$33,750","2014","20141222","safety-related offenses","aviation safety violation","","hazardous materials shipping","federal","agency action","Federal Aviation Administration","civil","","","","","","","","","","","","USA","Oklahoma","publicly traded","SD","oil and gas","oil & gas","Contained in data obtained on May 23, 2018 in response to a Freedom of Information Act request. ",""
"Sandridge E&P","SandRidge Energy","$43,750","$0","$43,750","2020","20200622","environment-related offenses","environmental violation","","air quality violation","state","agency action","Colorado Department of Public Health & Environment","civil","","","","","","Colorado","","","","","","USA","Oklahoma","publicly traded","SD","oil and gas","oil & gas","https://cdphe.colorado.gov/compliance-and-enforcement/enforcement-action-reports",""
"Sandridge E&P","SandRidge Energy","$41,300","$0","$41,300","2020","20200225","environment-related offenses","environmental violation","","air quality violation","state","agency action","Colorado Department of Public Health & Environment","civil","","","","","","Colorado","","","","","","USA","Oklahoma","publicly traded","SD","oil and gas","oil & gas","https://cdphe.colorado.gov/compliance-and-enforcement/enforcement-action-reports",""
"Sandridge Exploration & Production LLC","SandRidge Energy","$339,370","$0","$339,370","2020","20201216","environment-related offenses","environmental violation","","","state","agency action","Colorado Oil & Gas Conservation Commission","civil","","","","","","Colorado","","","","","","USA","Oklahoma","publicly traded","SD","oil and gas","oil & gas","https://cogcc.state.co.us/documents/reg/Enforcement/2020_4Q_HB1356_Report.pdf",""
"Sandridge Exploration & Production LLC","SandRidge Energy","$449,650","$0","$449,650","2020","20201006","environment-related offenses","environmental violation","","","state","agency action","Colorado Oil & Gas Conservation Commission","civil","","","","","","Colorado","","","","","","USA","Oklahoma","publicly traded","SD","oil and gas","oil & gas","https://cogcc.state.co.us/documents/reg/Enforcement/2020_4Q_HB1356_Report.pdf",""
"Sandridge Exploration & Production LLC","SandRidge Energy","$27,180","$0","$27,180","2017","20170130","environment-related offenses","environmental violation","","","state","agency action","Colorado Oil & Gas Conservation Commission","civil","","","","","","Colorado","","","","","","USA","Oklahoma","publicly traded","SD","oil and gas","oil & gas","https://cogcc.state.co.us/documents/reg/Enforcement/2017_1Q%20_HB1356_Report.pdf",""
"Sandridge Exploration and Production, LLC","SandRidge Energy","$6,467","$0","$6,467","2013","20130213","environment-related offenses","environmental violation","","","state","agency action","Louisiana Department of Environmental Quality","civil","","","","","","Louisiana","Bayou Sorrel","","","","","USA","Oklahoma","publicly traded","SD","oil and gas","oil & gas","https://deq.louisiana.gov/assets/docs/General/Settlement_Agreements/2012/SandridgeExploration_Final.pdf",""
"SandRidge Midstream, Inc.","SandRidge Energy","$42,600","$0","$42,600","2010","20101115","environment-related offenses","environmental violation","","","state","agency action","Texas Commission on Environmental Quality","civil","","","","","","Texas","","","","","","USA","Oklahoma","publicly traded","SD","oil and gas","oil & gas","https://www.tceq.texas.gov/assets/public/compliance/enforcement/enf_reports/AER/historical/Annual-Enforcement-Report-FY2011.pdf",""
