"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Condea Vista Company","Sasol","$5,000","$0","$5,000","2003","20030213","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","South Africa","","publicly traded","SSL","chemicals","chemicals","Taken from the Federal Railroad Administration's FY2003 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"MERISOL","Sasol","$5,000","$0","$5,000","2009","20090114","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","South Africa","","publicly traded","SSL","chemicals","chemicals","https://www.fra.dot.gov/Elib/Document/282","Year is fiscal year."
"Merisol USA LLC","Sasol","$11,250","$0","$11,250","2006","20060131","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","South Africa","","publicly traded","SSL","chemicals","chemicals","Taken from the Federal Railroad Administration's FY2006 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Merisol USA LLC","Sasol","$10,000","$0","$10,000","2007","20070720","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","South Africa","","publicly traded","SSL","chemicals","chemicals","Taken from the Federal Railroad Administration's FY2007 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Merisol USA LLC","Sasol","$8,000","$0","$8,000","2014","20141031","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","South Africa","","publicly traded","SSL","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L17311#p1_z5_gD_lEA",""
"Merisol USA LLC","Sasol","$7,400","$0","$7,400","2012","20120614","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","South Africa","","publicly traded","SSL","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L04190#p1_z5_gD_lEA",""
"Merisol USA LLC","Sasol","$6,000","$0","$6,000","2006","20060131","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","South Africa","","publicly traded","SSL","chemicals","chemicals","Taken from the Federal Railroad Administration's FY2006 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Merisol USA LLC","Sasol","$5,625","$0","$5,625","2006","20060131","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","South Africa","","publicly traded","SSL","chemicals","chemicals","Taken from the Federal Railroad Administration's FY2006 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Merisol USA LLC","Sasol","$5,250","$0","$5,250","2006","20060131","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","South Africa","","publicly traded","SSL","chemicals","chemicals","Taken from the Federal Railroad Administration's FY2006 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"SASOL CHEMICALS NORTH AMERICA","Sasol","$11,500","$0","$11,500","2011","20111117","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","South Africa","","publicly traded","SSL","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L04190#p1_z5_gD_lEA",""
