"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"MOTIVA ENTERPRISES LLC","Saudi Arabian Oil Company (Saudi Aramco)","$10,000","$0","$10,000","2003","20031107","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","Saudi Arabia","","government-owned","","oil and gas","oil & gas","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"MOTIVA ENTERPRISES LLC","Saudi Arabian Oil Company (Saudi Aramco)","$797,000","$0","$797,000","2005","20050201","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","Saudi Arabia","","government-owned","","oil and gas","oil & gas","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"Motiva Company","Saudi Arabian Oil Company (Saudi Aramco)","$720,368","$0","$720,368","2014","20140131","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1703600","","","Texas","Port Arthur","","77640","324110","324110: Petroleum Refineries","Saudi Arabia","","government-owned","","oil and gas","oil & gas","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Motiva Enterprises L.L.C.","Saudi Arabian Oil Company (Saudi Aramco)","$258,722","$0","$258,722","2009","20090908","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","16-CA-25837-001","","","Texas","Port Arthur","","77641-0712","324110","324110: Petroleum Refineries","Saudi Arabia","","government-owned","","oil and gas","oil & gas","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Motiva Enterprises LLC","Saudi Arabian Oil Company (Saudi Aramco)","$12,000","$0","$12,000","2001","20010131","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Saudi Arabia","","government-owned","","oil and gas","oil & gas","Taken from the Federal Railroad Administration's FY2001 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Motiva Enterprises LLC","Saudi Arabian Oil Company (Saudi Aramco)","$10,000","$0","$10,000","2001","20010404","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Saudi Arabia","","government-owned","","oil and gas","oil & gas","Taken from the Federal Railroad Administration's FY2001 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Motiva Enterprises LLC","Saudi Arabian Oil Company (Saudi Aramco)","$20,000","$0","$20,000","2007","20070215","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Saudi Arabia","","government-owned","","oil and gas","oil & gas","Taken from the Federal Railroad Administration's FY2007 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"MOTIVA ENTERPRISES LLC","Saudi Arabian Oil Company (Saudi Aramco)","$19,000","$0","$19,000","2013","20130107","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Saudi Arabia","","government-owned","","oil and gas","oil & gas","https://www.fra.dot.gov/eLib/details/L04899#p1_z5_gD_lEA",""
"Motiva Enterprises LLC","Saudi Arabian Oil Company (Saudi Aramco)","$12,000","$0","$12,000","2005","20050309","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Saudi Arabia","","government-owned","","oil and gas","oil & gas","Taken from the Federal Railroad Administration's FY2005 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"MOTIVA ENTERPRISES LLC","Saudi Arabian Oil Company (Saudi Aramco)","$10,800","$0","$10,800","2009","20090105","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Saudi Arabia","","government-owned","","oil and gas","oil & gas","https://www.fra.dot.gov/Elib/Document/282","Year is fiscal year."
"MOTIVA ENTERPRISES LLC","Saudi Arabian Oil Company (Saudi Aramco)","$10,000","$0","$10,000","2013","20130211","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Saudi Arabia","","government-owned","","oil and gas","oil & gas","https://www.fra.dot.gov/eLib/details/L04899#p1_z5_gD_lEA",""
"MOTIVA ENTERPRISES LLC","Saudi Arabian Oil Company (Saudi Aramco)","$8,000","$0","$8,000","2013","20130401","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Saudi Arabia","","government-owned","","oil and gas","oil & gas","https://www.fra.dot.gov/eLib/details/L04899#p1_z5_gD_lEA",""
"Motiva Enterprises LLC","Saudi Arabian Oil Company (Saudi Aramco)","$8,000","$0","$8,000","2005","20050309","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Saudi Arabia","","government-owned","","oil and gas","oil & gas","Taken from the Federal Railroad Administration's FY2005 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"MOTIVA ENTERPRISES LLC","Saudi Arabian Oil Company (Saudi Aramco)","$7,500","$0","$7,500","2013","20130125","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Saudi Arabia","","government-owned","","oil and gas","oil & gas","https://www.fra.dot.gov/eLib/details/L04899#p1_z5_gD_lEA",""
"MOTIVA ENTERPRISES LLC","Saudi Arabian Oil Company (Saudi Aramco)","$7,000","$0","$7,000","2013","20130125","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Saudi Arabia","","government-owned","","oil and gas","oil & gas","https://www.fra.dot.gov/eLib/details/L04899#p1_z5_gD_lEA",""
"Motiva Enterprises LLC","Saudi Arabian Oil Company (Saudi Aramco)","$6,000","$0","$6,000","2007","20070215","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Saudi Arabia","","government-owned","","oil and gas","oil & gas","Taken from the Federal Railroad Administration's FY2007 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Motiva Enterprises LLC","Saudi Arabian Oil Company (Saudi Aramco)","$6,000","$0","$6,000","2005","20050314","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Saudi Arabia","","government-owned","","oil and gas","oil & gas","Taken from the Federal Railroad Administration's FY2005 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Motiva Enterprises LLC","Saudi Arabian Oil Company (Saudi Aramco)","$5,500","$0","$5,500","2005","20050309","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Saudi Arabia","","government-owned","","oil and gas","oil & gas","Taken from the Federal Railroad Administration's FY2005 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Motiva Enterprises, LLC","Saudi Arabian Oil Company (Saudi Aramco)","$299,654","$0","$299,654","2014","20140131","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1703825","","","Louisiana","Convent","","70723","324110","324110: Petroleum Refineries","Saudi Arabia","","government-owned","","oil and gas","oil & gas","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"MOTIVA ENTERPRISES, LLC","Saudi Arabian Oil Company (Saudi Aramco)","$30,000","$0","$30,000","2015","20151016","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Saudi Arabia","","government-owned","","oil and gas","oil & gas","https://railroads.dot.gov/elibrary/fiscal-year-2016-enforcement-report",""
"MOTIVA ENTERPRISES, LLC","Saudi Arabian Oil Company (Saudi Aramco)","$30,000","$0","$30,000","2015","20150616","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Saudi Arabia","","government-owned","","oil and gas","oil & gas","https://www.fra.dot.gov/eLib/details/L17311#p1_z5_gD_lEA",""
"MOTIVA ENTERPRISES, LLC","Saudi Arabian Oil Company (Saudi Aramco)","$10,000","$0","$10,000","2015","20150806","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Saudi Arabia","","government-owned","","oil and gas","oil & gas","https://www.fra.dot.gov/eLib/details/L17311#p1_z5_gD_lEA",""
"MOTIVA ENTERPRISES, LLC","Saudi Arabian Oil Company (Saudi Aramco)","$8,450","$0","$8,450","2009","20090105","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Saudi Arabia","","government-owned","","oil and gas","oil & gas","https://www.fra.dot.gov/Elib/Document/282","Year is fiscal year."
