"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Schindler Elevator Corporation","Schindler","$35,000","$0","$35,000","2013","20130913","employment-related offenses","employment discrimination","","race","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","North Carolina","Charlotte","","","","","Switzerland","","publicly traded","","miscellaneous manufacturing","elevators","https://www.eeoc.gov/eeoc/newsroom/release/9-13-13.cfm","Description field shows type of discrimination that EEOC had alleged."
"Schindler Elevator Corportation","Schindler","$34,081","$0","$34,081","2013","20130204","employment-related offenses","wage and hour violation","Davis-Bacon Act and related","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1681489","","","Maryland","Beltsville","","20705","238990","238990: All Other Specialty Trade Contractors","Switzerland","","publicly traded","","miscellaneous manufacturing","elevators","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"SCHINDLER ELEVATOR CORP.","Schindler","$6,000","$0","$6,000","2008","20081118","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","NEW YORK","1111 W. 6TH AVE","10036","238290","238290: Other Building Equipment Contractors","Switzerland","","publicly traded","","miscellaneous manufacturing","elevators","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SCHINDLER ELEVATOR CORPORATION","Schindler","$5,850","$0","$5,850","2008","20080207","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","NEW YORK","620 12 AVENUE","10036","333921","333921: Elevator and Moving Stairway Manufacturing","Switzerland","","publicly traded","","miscellaneous manufacturing","elevators","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SCHINDLER ELEVATOR CORPORATION","Schindler","$25,000","$0","$25,000","2011","20110711","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","PALO ALTO","1501 PAGE MILL ROAD","94304","238190","238190: Other Foundation, Structure, and Building Exterior Contractors","Switzerland","","publicly traded","","miscellaneous manufacturing","elevators","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SCHINDLER ELEVATOR CORPORATION","Schindler","$6,300","$0","$6,300","2001","20011015","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","SAN DIEGO","1601 INDIA ST","92101","000000","","Switzerland","","publicly traded","","miscellaneous manufacturing","elevators","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SCHINDLER ELEVATOR CORPORATION","Schindler","$69,300","$0","$69,300","2010","20101201","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kentucky","LOUISVILLE","1850 BLUEGRASS AVENUE","40215","238290","238290: Other Building Equipment Contractors","Switzerland","","publicly traded","","miscellaneous manufacturing","elevators","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SCHINDLER ELEVATOR CORPORATION","Schindler","$5,000","$0","$5,000","2010","20100726","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Colorado","DENVER","U.S. POSTAL SERVICE- 7755 E. 56TH AVE.","80216","238290","238290: Other Building Equipment Contractors","Switzerland","","publicly traded","","miscellaneous manufacturing","elevators","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SCHINDLER ELEVATOR CORPORATION","Schindler","$8,995","$0","$8,995","2012","20120217","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","SAN DIEGO","200 ARBOR WEST","92103","238290","238290: Other Building Equipment Contractors","Switzerland","","publicly traded","","miscellaneous manufacturing","elevators","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SCHINDLER ELEVATOR CORPORATION","Schindler","$18,000","$0","$18,000","2013","20130611","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","SANTA CLARA","4900 CENTENNIAL BLVD.","95054","238290","238290: Other Building Equipment Contractors","Switzerland","","publicly traded","","miscellaneous manufacturing","elevators","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
