"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Cameron International Corporation","Schlumberger","$19,453","$0","$19,453","2010","20100325","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1545578","","","Texas","Odessa","","79765","332710","332710: Machine Shops","Netherlands","","publicly traded","SLB","oilfield services and supplies","oilfield services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"NATCO Group Inc.","Schlumberger","$65,000","$0","$65,000","2010","20100111","competition-related offenses","Foreign Corrupt Practices Act","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","Netherlands","","publicly traded","SLB","oilfield services and supplies","oilfield services","https://www.sec.gov/litigation/litreleases/2010/lr21374.htm",""
"Schlumberger Technology Corporation","Schlumberger","$217,726","$0","$217,726","2008","20080416","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1506994","","","Colorado","Grand Junction","","81505","486210","486210: Pipeline Transportation of Natural Gas","Netherlands","","publicly traded","SLB","oilfield services and supplies","oilfield services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Schlumberger Technology Corporation","Schlumberger","$117,000","$0","$117,000","2008","20081031","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1536242","","","Wyoming","Rock Springs","","82901","48621","48621: Pipeline Transportation of Natural Gas","Netherlands","","publicly traded","SLB","oilfield services and supplies","oilfield services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Schlumberger Technology Corporation","Schlumberger","$90,000","$0","$90,000","2003","20031014","safety-related offenses","nuclear safety violation","","On October 14, 2003, a Notice of Violation and Proposed Imposition of Civil Penalties in the amount of $90,000 was issued for three Severity Level III problems involving: (1) the failure to keep 13 public radiation doses within NRC limits ($78,000); (2) the willful failure to perform radiation surveys, and failure to maintain control of a radioactive well-logging source ($6,000); and (3) the failure to follow emergency procedures and secure the source after it was found ($6,000).","federal","agency action","Nuclear Regulatory Commission","civil","","","","","","Texas","","","","","","Netherlands","","publicly traded","SLB","oilfield services and supplies","oilfield services","https://www.nrc.gov/reading-rm/doc-collections/enforcement/actions/materials/ea03010.html",""
"Schlumberger Technology Corporation","Schlumberger","$87,195","$0","$87,195","2014","20140125","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1715434","","","Pennsylvania","Brookville","","15825","2111","2111: Oil and Gas Extraction","Netherlands","","publicly traded","SLB","oilfield services and supplies","oilfield services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Schlumberger Oilfield Holdings","Schlumberger","$232,708,356","$0","$232,708,356","2015","20150807","financial offenses","economic sanction violation","","","federal","agency action","Office of Foreign Assets Control","civil and criminal","","","","","","","","","","","","Netherlands","","publicly traded","SLB","oilfield services and supplies","oilfield services","https://www.treasury.gov/resource-center/sanctions/CivPen/Documents/20150807_schlumberger.pdf",""
"Smith International (North Sea) Limited","Schlumberger","$130,000","$0","$130,000","2013","20131223","competition-related offenses","export control violation","","","federal","agency action","Bureau of Industry and Security","civil","","","","","","","","","","","","Netherlands","","publicly traded","SLB","oilfield services and supplies","oilfield services","http://efoia.bis.doc.gov/index.php/component/docman/doc_download/908-e2358?Itemid=",""
"SCHLUMBERGER","Schlumberger","$5,075","$0","$5,075","2010","20100421","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","TAFT","28590 HIGHWAY 119","93268","324199","324199: All Other Petroleum and Coal Products Manufacturing","Netherlands","","publicly traded","SLB","oilfield services and supplies","oilfield services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SMITH INTERNATIONAL, INC.","Schlumberger","$9,000","$0","$9,000","2006","20061202","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","HOUSTON","713 RANKIN ROAD","77032","333132","333132: Oil and Gas Field Machinery and Equipment Manufacturing","Netherlands","","publicly traded","SLB","oilfield services and supplies","oilfield services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
