"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"EG Systems","Scotts Miracle-Gro","$18,187","$0","$18,187","2006","20060118","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1423364","","","Texas","Garland","","75040","561730","561730: Landscaping Services","USA","Ohio","publicly traded","SMG","chemicals","chemicals","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"EG Systems, Inc./dba Scotts Lawn Service","Scotts Miracle-Gro","$6,240","$0","$6,240","2010","20100116","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1585609","","","Florida","Tampa","","33626","325320","325320: Pesticide and Other Agricultural Chemical Manufacturing","USA","Ohio","publicly traded","SMG","chemicals","chemicals","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"EG Systems, Inc./Scotts Lawn Service","Scotts Miracle-Gro","$15,350","$0","$15,350","2009","20091107","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1554528","","","Florida","Bradenton","","34203","325320","325320: Pesticide and Other Agricultural Chemical Manufacturing","USA","Ohio","publicly traded","SMG","chemicals","chemicals","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Scotts Manufacturing Company","Scotts Miracle-Gro","$148,388","$148,388","$0","2010","20100930","environment-related offenses","environmental violation","","The Scotts Manufacturing Company, of Marysville, Ohio, has agreed to pay a $148,388 civil penalty to the United States to settle a series of alleged violations of hazardous waste laws at its pesticide blending and packaging facility in Fort Madison, Iowa.","federal","agency action","Environmental Protection Agency","civil","","","","","","Iowa","Fort Madison","","","","","USA","Ohio","publicly traded","SMG","chemicals","chemicals","https://archive.epa.gov/epapages/newsroom_archive/newsreleases/251895080e1e462b852577ae0073d186.html","Note: This penalty is a duplicate of an amount shown in another record (either because it applies to a multi-location settlement or because Violation Tracker contains an agency record and a settlement announcement for the same case)."
"Scotts Miracle-Gro Company","Scotts Miracle-Gro","$12,000,000","$0","$12,000,000","2012","20120907","environment-related offenses","environmental violation","","The Scotts Miracle-Gro Company, a producer of pesticides for commercial and consumer lawn and garden uses, was sentenced in federal district court in Columbus, Ohio, to pay a $4 million fine and perform community service for eleven criminal violations of the Federal Insecticide, Fungicide and Rodenticide Act (FIFRA), which governs the manufacture, distribution, and sale of pesticides. Scotts pleaded guilty in February 2012 to illegally applying insecticides to its wild bird food products that are toxic to birds, falsifying pesticide registration documents, distributing pesticides with misleading and unapproved labels and distributing unregistered pesticides. In a separate civil agreement with the U.S. Environmental Protection Agency (EPA), Scotts agreed to pay more than $6 million in penalties and spend $2 million on environmental projects under a settlement that resolves additional civil pesticide violations . The violations included distributing or selling unregistered, canceled or misbranded pesticides, including products with inadequate warnings or cautions. ","federal","agency action","Environmental Protection Agency referral to the Justice Department","criminal","","","","","","","","","","","","USA","Ohio","publicly traded","SMG","chemicals","chemicals","http://www.justice.gov/opa/pr/scotts-miracle-gro-will-pay-125-million-criminal-fines-and-civil-penalties-violations-federal",""
"SCOTTS C0-HYPOREX","Scotts Miracle-Gro","$37,875","$0","$37,875","2002","20021101","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","CHINO","15978 EL PRADO ROAD","91710","325311","325311: Nitrogenous Fertilizer Manufacturing","USA","Ohio","publicly traded","SMG","chemicals","chemicals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"The Scotts Company LLC","Scotts Miracle-Gro","$850,000","$0","$850,000","2015","20150702","employment-related offenses","employment screening violation","Fair Credit Reporting Act violation","","federal","private litigation","","civil","","Western District of Missouri","4:14-cv-0319","Rawlings v. The Scotts Company LLC","settlement","","","","","","","USA","Ohio","publicly traded","SMG","chemicals","chemicals","https://www.law360.com/cases/533f403bd217796f0d000001",""
"Scotts Company","Scotts Miracle-Gro","$250,000","$0","$250,000","2001","20011203","environment-related offenses","environmental violation","","","state","agency action","Ohio Attorney General","civil","","","","","","Ohio","","","","","","USA","Ohio","publicly traded","SMG","chemicals","chemicals","Lawn company to pay $250,000, Associated Press, December 3, 2001 (via Nexis).",""
"Scotts Company LLC","Scotts Miracle-Gro","$6,393","$0","$6,393","2012","20120216","environment-related offenses","environmental violation","","pesticide violation","state","agency action","California Department of Pesticide Regulation","civil","","","","","","California","","","","","","USA","Ohio","publicly traded","SMG","chemicals","chemicals","Contained in data obtained from the agency on October 6, 2020 in response to an open records request. ",""
"Scotts Company LLC","Scotts Miracle-Gro","$245,631","$0","$245,631","2011","20110727","environment-related offenses","environmental violation","","pesticide violation","state","agency action","California Department of Pesticide Regulation","civil","","","","","","California","","","","","","USA","Ohio","publicly traded","SMG","chemicals","chemicals","Contained in data obtained from the agency on October 6, 2020 in response to an open records request. ",""
