"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Kevothermal LLC","Sealed Air Corp.","$60,000","$0","$60,000","2017","20170103","employment-related offenses","employment discrimination","","National Origin; Sex","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","","","","","","","USA","New Jersey","publicly traded","NYSE: SEE","paper and packaging","packaging","https://www.eeoc.gov/eeoc/newsroom/release/1-3-17a.cfm","Description field shows type of discrimination that EEOC had alleged."
"Sealed Air Corporation","Sealed Air Corp.","$96,162","$0","$96,162","2014","20141015","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1721200","","","Wisconsin","Sturtevant","","53177","325612","325612: Polish and Other Sanitation Good Manufacturing","USA","New Jersey","publicly traded","NYSE: SEE","paper and packaging","packaging","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"CPI PACKAGING, INC.","Sealed Air Corp.","$7,462","$0","$7,462","2007","20070509","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","North Carolina","LINCOLNTON","536 N. GENERALS BLVD.","28092","326112","326112: Plastics Packaging Film and Sheet (including Laminated) Manufacturing","USA","New Jersey","publicly traded","NYSE: SEE","paper and packaging","packaging","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"THE BUTCHER CO","Sealed Air Corp.","$16,880","$0","$16,880","2002","20020830","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","COMPTON","335 W ARTESIA BL","90220","000000","","USA","New Jersey","publicly traded","NYSE: SEE","paper and packaging","packaging","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Cryovac, Inc.","Sealed Air Corp.","$7,650","$0","$7,650","2009","20090510","environment-related offenses","environmental violation","","hazardous waste violation","state","agency action","Arkansas Division of Environmental Quality","civil","","","","","","Arkansas","","","","","","USA","New Jersey","publicly traded","NYSE: SEE","paper and packaging","packaging","https://www.adeq.state.ar.us/downloads/Communications/Enforcement_Actions/2009-05-10_Notice_of_Enforcement_Actions.pdf",""
"SEALED AIR CORPORATION","Sealed Air Corp.","$30,200","$0","$30,200","2002","20020603","environment-related offenses","environmental violation","","","state","agency action","Texas Commission on Environmental Quality","civil","","","","","","Texas","","","","","","USA","New Jersey","publicly traded","NYSE: SEE","paper and packaging","packaging","https://www.tceq.texas.gov/assets/public/compliance/enforcement/enf_reports/AER/historical/Annual-Enforcement-Report-FY2003.pdf",""
"SEALED AIR CORPORATION","Sealed Air Corp.","$9,800","$0","$9,800","2012","20120412","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","MODENA","22 MEREDITH CT","19358","322121","322121: Paper (except Newsprint) Mills","USA","New Jersey","publicly traded","NYSE: SEE","paper and packaging","packaging","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SEALED AIR CORPORATION US","Sealed Air Corp.","$13,250","$0","$13,250","2013","20130326","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kentucky","LOUISVILLE","7665 NATIONAL TURNPIKE","40214","326140","326140: Polystyrene Foam Product Manufacturing","USA","New Jersey","publicly traded","NYSE: SEE","paper and packaging","packaging","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SEALED AIR CORPORATION","Sealed Air Corp.","$5,100","$0","$5,100","2013","20130305","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","South Carolina","DUNCAN","100 ROGERS BRIDGE RD","29334","326150","326150: Urethane and Other Foam Product (except Polystyrene) Manufacturing","USA","New Jersey","publicly traded","NYSE: SEE","paper and packaging","packaging","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SEALED AIR CORPORATION","Sealed Air Corp.","$9,000","$0","$9,000","2013","20130307","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","GRAND PRAIRIE","2401 DILLARD STREET","75051","326199","326199: All Other Plastics Product Manufacturing","USA","New Jersey","publicly traded","NYSE: SEE","paper and packaging","packaging","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
