"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"K-Mart Corporation, Warren Distribution Center No. 8305","Sears","$50,000","$0","$50,000","2004","20040325","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","08-CA-34020-001","","","Ohio","Warren","","44483","453998","453998: All Other Miscellaneous Store Retailers (except Tobacco Stores)","USA","Illinois","privately held","","retailing","retail-department stores","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"K MART CORPORATION","Sears","$41,300","$0","$41,300","2008","20081208","safety-related offenses","motor vehicle safety violation","","CA-2008-0702-US1275","federal","agency action","Federal Motor Carrier Safety Administration","civil","","","","","","Illinois","HOFFMAN ESTATES","","","","","USA","Illinois","privately held","","retailing","retail-department stores","https://www.fmcsa.dot.gov/sites/fmcsa.dot.gov/files/docs/closedByEnforcement_FY2009_04-26-2013.pdf",""
"K MART CORPORATION","Sears","$38,220","$0","$38,220","2008","20081208","safety-related offenses","motor vehicle safety violation","","CA-2008-0560-US1275","federal","agency action","Federal Motor Carrier Safety Administration","civil","","","","","","Illinois","HOFFMAN ESTATES","","","","","USA","Illinois","privately held","","retailing","retail-department stores","https://www.fmcsa.dot.gov/sites/fmcsa.dot.gov/files/docs/closedByEnforcement_FY2009_04-26-2013.pdf",""
"K Mart Corporation","Sears","$33,000","$0","$33,000","2001","20010117","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","04-CA-28210-002","","","Pennsylvania","Fairless Hills","","19030","423990","423990: Other Miscellaneous Durable Goods Merchant Wholesalers","USA","Illinois","privately held","","retailing","retail-department stores","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"K-Mart Corp.","Sears","$26,195","$0","$26,195","2005","20050127","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","07-CA-42873-001","","","Michigan","Canton","","48187","452111","452111: Department Stores (except Discount Department Stores)","USA","Illinois","privately held","","retailing","retail-department stores","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Kmart","Sears","$102,422","$0","$102,422","2007","20070508","environment-related offenses","environmental violation","","Kmart agreed to pay a $102,422 fine to settle self-disclosed violations of clean water, hazardous waste, and emergency planning and preparedness regulations.","federal","agency action","Justice Department Environment and Natural Resources Division","civil","","","","","","","","","","","","USA","Illinois","privately held","","retailing","retail-department stores","https://www.epa.gov/enforcement/kmart-consent-agreement-and-final-order",""
"KMART Corp.","Sears","$1,400,000","$0","$1,400,000","2015","20150901","government-contracting-related offenses","False Claims Act and related","","KMART Corp. paid the United States $1.4 million to resolve allegations that it violated the False Claims Act by using drug manufacturer coupons and gasoline discounts as improper Medicare beneficiary inducements.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Illinois","privately held","","retailing","retail-department stores","https://www.justice.gov/opa/pr/kmart-corporation-pays-14-million-resolve-false-claims-act-allegations-connection-drug",""
"Kmart Corp.","Sears","$6,778","$0","$6,778","2005","20050427","employment-related offenses","Family and Medical Leave Act","","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1378901","","","Ohio","Ashtabula","","44004","45211","45211: Department Stores","USA","Illinois","privately held","","retailing","retail-department stores","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Kmart Corporation","Sears","$120,000","$0","$120,000","2010","20100324","employment-related offenses","employment discrimination","","age","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Hawaii","","","","","","USA","Illinois","privately held","","retailing","retail-department stores","https://www.eeoc.gov/eeoc/newsroom/release/3-24-10.cfm","Description field shows type of discrimination that EEOC had alleged."
"Kmart Corporation","Sears","$102,048","$0","$102,048","2015","20150127","employment-related offenses","employment discrimination","Americans with Disabilities Act","disability","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Maryland","","","","","","USA","Illinois","privately held","","retailing","retail-department stores","https://www.eeoc.gov/eeoc/newsroom/release/1-27-15b.cfm","Description field shows type of discrimination that EEOC had alleged."
