"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Concentra","Select Medical Holdings","$10,982","$0","$10,982","2013","20130517","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1693441","","","Georgia","Garden City","","31408","621399","621399: Offices of All Other Miscellaneous Health Practitioners","USA","Pennsylvania","publicly traded","SEM","healthcare services","healthcare services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Select Medical Corp.","Select Medical Holdings","$10,539","$0","$10,539","2009","20090319","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1537193","","","Arkansas","Little Rock","","72205","9660","","USA","Pennsylvania","publicly traded","SEM","healthcare services","healthcare services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Select Medical Corporation","Select Medical Holdings","$18,949","$0","$18,949","2010","20100908","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1595792","","","Arkansas","North Little Rock","","72116","9660","","USA","Pennsylvania","publicly traded","SEM","healthcare services","healthcare services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Select Medical Corporation","Select Medical Holdings","$9,314","$0","$9,314","2007","20070329","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1473059","","","Indiana","Evansville","","47713","622310","622310: Specialty (except Psychiatric and Substance Abuse) Hospitals","USA","Pennsylvania","publicly traded","SEM","healthcare services","healthcare services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"SELECT MEDICAL CORPORATION","Select Medical Holdings","$5,325","$0","$5,325","2009","20090905","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1552531","","","Georgia","Atlanta","","30304","56131","56131: Employment Placement Agencies","USA","Pennsylvania","publicly traded","SEM","healthcare services","healthcare services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"U.S. HEALTHWORKS","Select Medical Holdings","$10,001","$0","$10,001","2005","20050919","employment-related offenses","benefit plan administrator violation","","Deficient Filer","federal","agency action","Employee Benefits Security Administration","civil","","","","","","Georgia","","","","","","USA","Pennsylvania","publicly traded","SEM","healthcare services","healthcare services","Included in a dataset downloaded at https://enforcedata.dol.gov/views/data_summary.php","Company is plan administrator. Penalty amount reported in range of $10,001 to $50,000. "
"Valor Healthcare, Inc.","Select Medical Holdings","$53,633","$0","$53,633","2015","20150813","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1766132","","","Texas","Addison","","75001","621111","621111: Offices of Physicians (except Mental Health Specialists)","USA","Pennsylvania","publicly traded","SEM","healthcare services","healthcare services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Valor Healthcare, Inc.","Select Medical Holdings","$46,738","$0","$46,738","2008","20080821","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1517360","","","Texas","Galveston","","77551","621112","621112: Offices of Physicians, Mental Health Specialists","USA","Pennsylvania","publicly traded","SEM","healthcare services","healthcare services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Valor Healthcare, Inc.","Select Medical Holdings","$20,135","$0","$20,135","2011","20110610","employment-related offenses","wage and hour violation","Service Contract Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1616811","","","Pennsylvania","Monaca","","15061","62111","62111: Offices of Physicians","USA","Pennsylvania","publicly traded","SEM","healthcare services","healthcare services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"U.S. Healthworks Inc.","Select Medical Holdings","$400,000","$0","$400,000","2017","20170905","employment-related offenses","employment screening violation","Fair Credit Reporting Act violation","","federal","private litigation","","civil","","Central District of California","2:15-cv-5689","John Doe v. U.S. Healthworks Inc et al.","settlement","","","","","","","USA","Pennsylvania","publicly traded","SEM","healthcare services","healthcare services","https://www.pacermonitor.com/public/case/8800978/John_Doe_v_US_Healthworks_Inc_et_al",""
"Concentra Health Services","Select Medical Holdings","$1,725,220","$0","$1,725,220","2014","20140422","consumer-protection-related offenses","privacy violation","","","federal","agency action","Health & Human Services Department Office for Civil Rights","civil","","","","","","","","","","","","USA","Pennsylvania","publicly traded","SEM","healthcare services","healthcare services","https://www.hhs.gov/hipaa/for-professionals/compliance-enforcement/examples/concentra-health-services/index.html",""
"Concentra","Select Medical Holdings","$7,500","$0","$7,500","2019","20191120","consumer-protection-related offenses","Americans with Disabilities Act","","","federal","agency action","U.S. Attorney-District of Connecticut","civil","","","","","","","","","","","","USA","Pennsylvania","publicly traded","SEM","healthcare services","healthcare services","https://www.justice.gov/usao-ct/pr/ada-settlement-ensures-access-deaf-and-hard-hearing-individuals-concentra-facilities",""
"Select Medical Corporation and Encore GC Acquisition LLC","Select Medical Holdings","$8,400,000","$0","$8,400,000","2021","20210702","government-contracting-related offenses","False Claims Act and related","","Select Medical Corporation and Encore GC Acquisition LLC agreed to pay $8.4 million to resolve allegations that Select Medical Rehabilitation Services Inc. violated the False Claims Act by knowingly causing 12 skilled nursing facilities in New York and New Jersey to submit false claims to Medicare for rehabilitation therapy services that were not reasonable, necessary or skilled.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Pennsylvania","publicly traded","SEM","healthcare services","healthcare services","https://www.justice.gov/opa/pr/contract-rehabilitation-therapy-providers-agree-pay-84-million-resolve-false-claims-act",""
"CONCENTRA HEALTH SERVICES, INC.","Select Medical Holdings","$9,600","$0","$9,600","2016","20160125","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","DALLAS","5601 GREENVILLE AVENUE","75206","621498","621498: All Other Outpatient Care Centers","USA","Pennsylvania","publicly traded","SEM","healthcare services","healthcare services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
