"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Checkers Drive-In Restaurants Inc.","Sentinel Capital Partners","$7,149","$0","$7,149","2016","20160129","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1774639","","","Missouri","Saint Louis","","63103","722211","722211: Limited-Service Restaurants","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Checkers Drive-In Restaurants, Inc.","Sentinel Capital Partners","$14,086","$0","$14,086","2013","20130729","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1702412","","","Georgia","Atlanta","","30317","722211","722211: Limited-Service Restaurants","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Checkers Drive-In Restaurants, Inc.","Sentinel Capital Partners","$11,469","$0","$11,469","2012","20120911","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1661092","","","Missouri","Saint Louis","","63120","722211","722211: Limited-Service Restaurants","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"HUDDLE HOUSE, INC.","Sentinel Capital Partners","$22,480","$0","$22,480","2005","20050718","safety-related offenses","motor vehicle safety violation","","GA-2005-0130-US0131","federal","agency action","Federal Motor Carrier Safety Administration","civil","","","","","","Georgia","ATLANTA","","","","","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.fmcsa.dot.gov/regulations/enforcement/national-listing-enforcement-cases-subject-name-closed-fiscal-year-2005-pdf","Year is fiscal year. Date is closing date."
"Huddle House, Inc.","Sentinel Capital Partners","$5,275","$0","$5,275","2012","20120201","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1640259","","","Georgia","Pooler","","31322","722110","722110: Full-Service Restaurants","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Huddle House #732","Sentinel Capital Partners","$19,733","$0","$19,733","2012","20120915","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1659114","","","Mississippi","Brandon","","39047","722110","722110: Full-Service Restaurants","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"T.G.I. Fridays","Sentinel Capital Partners","$5,766","$0","$5,766","2011","20110503","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","05-CA-36038-001","","","Virginia","Alexandria","","22306","722110","722110: Full-Service Restaurants","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"TGI  Friday's Inc.","Sentinel Capital Partners","$73,844","$0","$73,844","2010","20100712","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1589020","","","Massachusetts","Framingham","","01701","722110","722110: Full-Service Restaurants","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"TGI Friday's","Sentinel Capital Partners","$19,100,000","$0","$19,100,000","2017","20171026","employment-related offenses","wage and hour violation","","tip dispute","federal","private litigation","","civil","","Southern District of New York","14-cv-2740","Flood et al v. Carlson Restaurants Inc. et al","settlement","","","","","","","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.law360.com/articles/979038/tgi-friday-s-gets-initial-ok-on-revised-19-1m-wage-deal",""
"Rally's and Checkers Drive-In Restaurants","Sentinel Capital Partners","$500,000","$0","$500,000","2014","20140613","employment-related offenses","wage and hour violation","","overtime violation","federal","private litigation","","civil","","Southern District of Ohio","12-cv-0157","Kidd et al v. Rally's of Ohio, Inc.","settlement","","","","","","","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.bigclassaction.com/settlement/preliminary-settlement-reached-in-checkers-rally.php",""
