"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Sentry Insurance a Mutual Company","Sentry Insurance","$46,524","$0","$46,524","2004","20040515","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1371753","","","Wisconsin","Stevens Point","","54481","5241","5241: Insurance Carriers","USA","Wisconsin","mutual","","financial services","insurance","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Sentry Insurance","Sentry Insurance","$53,430","$0","$53,430","2014","20140707","consumer-protection-related offenses","consumer protection violation","","Sentry agreed to pay over $50,000 in restitution, resolving allegations that it overcharged consumers for motorcycle insurance by using incorrect motorcycle values to calculate premiums.","state","agency action","Massachusetts Attorney General","civil","","","","","","Massachusetts","","","","","","USA","Wisconsin","mutual","","financial services","insurance","https://web.archive.org/web/20140812231253/http://www.mass.gov/ago/consumer-resources/consumer-information/auto-and-vehicle-insurance/attorney-general-coakleys-motorcycle.html",""
"Sentry Insurance A Mutual Co.","Sentry Insurance","$20,000","$0","$20,000","2015","20150819","consumer-protection-related offenses","insurance violation","","","state","agency action","Arizona Department of Insurance and Financial Institutions","civil","","","","","","Arizona","","","","","","USA","Wisconsin","mutual","","financial services","insurance","https://insurance.az.gov/sites/default/files/documents/files/150112.pdf","This case was brought by the Arizona Department of Insurance before it merged with the Department of Financial Institutions."
"Sentry Insurance A Mutual Company","Sentry Insurance","$7,500","$0","$7,500","2005","20050210","consumer-protection-related offenses","insurance violation","","","state","agency action","Florida Office of Financial Regulation","civil","","","","","","Florida","","","","","","USA","Wisconsin","mutual","","financial services","insurance","https://www.floir.com/siteDocuments/Sentry_Ins_A_Mutual_80240-05-CO.pdf",""
"Sentry Insurance A Mutual Company","Sentry Insurance","$14,500","$0","$14,500","2001","20010928","consumer-protection-related offenses","insurance violation","","","state","agency action","Massachusetts Division of Insurance","civil","","","","","","Massachusetts","","","","","","USA","Wisconsin","mutual","","financial services","insurance","https://www.mass.gov/service-details/year-2001-administrative-actions-july-to-september","Link is to summary of Order, suspended or shared liability for penalties not available."
"Sentry Insurance a Mutual Company","Sentry Insurance","$5,200","$0","$5,200","2011","20110630","consumer-protection-related offenses","insurance violation","","","state","agency action","Missouri Department of Insurance","civil","","","","","","Missouri","","","","","","USA","Wisconsin","mutual","","financial services","insurance","https://insurance.mo.gov/Contribute%20Documents/SentryInsMutCo.pdf",""
"Sentry Insurance a Mutual Company","Sentry Insurance","$15,000","$0","$15,000","2018","20180312","consumer-protection-related offenses","insurance violation","","","state","agency action","Missouri Department of Insurance","civil","","","","","","Missouri","","","","","","USA","Wisconsin","mutual","","financial services","insurance","https://insurance.mo.gov/Contribute%20Documents/SIAMCO318.pdf",""
"Sentry Select Insurance Co.","Sentry Insurance","$15,000","$0","$15,000","2018","20180312","consumer-protection-related offenses","insurance violation","","","state","agency action","Missouri Department of Insurance","civil","","","","","","Missouri","","","","","","USA","Wisconsin","mutual","","financial services","insurance","https://insurance.mo.gov/Contribute%20Documents/SSIC0318.pdf",""
"Dairyland Insurance Company","Sentry Insurance","$5,000","$0","$5,000","2003","20030908","consumer-protection-related offenses","insurance violation","","","state","agency action","South Carolina Department of Insurance","civil","","","","","","South Carolina","","","","","","USA","Wisconsin","mutual","","financial services","insurance","https://doi.sc.gov/DocumentCenter/View/5194/Dairyland-Insurance-Company",""
"Sentry Insurance Group","Sentry Insurance","$125,000","$0","$125,000","2015","20150717","consumer-protection-related offenses","insurance violation","","","state","agency action","South Dakota Division of Insurance","civil","","","","","","South Dakota","","","","","","USA","Wisconsin","mutual","","financial services","insurance","https://dlr.sd.gov/insurance/market_conduct_multi_state_examinations/documents/sentry_insurance_group_consent_order.pdf",""
