"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Shintech, Inc.","Shin-Etsu Chemical","$12,085,000","$0","$12,085,000","2008","20081201","environment-related offenses","environmental violation","","Shintech, Inc. and its subsidiary K-Bin, Inc., agreed to spend $4.8 million to comply with the Clean Air Act and the Resource Conservation and Recovery Act at their manufacturing facilities in Freeport, Texas.  The companies also agreed to pay a $2.585 million civil penalty to resolve environmental violations under the Clean Air Act, the Resource Conservation and Recovery Act, and the Clean Water Act, and to perform $4.7 million worth of supplemental environmental projects.","federal","agency action","Justice Department Environment and Natural Resources Division","civil","","","","","","","","","","","","Japan","","publicly traded","","chemicals","chemicals","https://www.justice.gov/archive/opa/pr/2008/December/08-enrd-1057.html",""
"SHINTECH, INC.","Shin-Etsu Chemical","$14,500","$0","$14,500","2011","20110217","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","FREEPORT","5618 EAST HIGHWAY 332","77541","325211","325211: Plastics Material and Resin Manufacturing","Japan","","publicly traded","","chemicals","chemicals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Shintech, Inc.","Shin-Etsu Chemical","$7,500","$0","$7,500","2017","20170524","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","ZSHQ 2016-1(HMT)","","","","","","","","","Japan","","publicly traded","","chemicals","chemicals","https://www.fra.dot.gov/Elib/Document/17839",""
"Shintech Louisiana, LLC","Shin-Etsu Chemical","$70,000","$0","$70,000","2020","20200615","environment-related offenses","environmental violation","","","state","agency action","Louisiana Department of Environmental Quality","civil","","","","","","Louisiana","","","","","","Japan","","publicly traded","","chemicals","chemicals","https://deq.louisiana.gov/assets/docs/General/Settlement_Agreements/2020/Shintech0012_Final.pdf",""
"Shintech Louisiana, LLC","Shin-Etsu Chemical","$80,000","$0","$80,000","2020","20200615","environment-related offenses","environmental violation","","","state","agency action","Louisiana Department of Environmental Quality","civil","","","","","","Louisiana","","","","","","Japan","","publicly traded","","chemicals","chemicals","https://deq.louisiana.gov/assets/docs/General/Settlement_Agreements/2020/Shintech0011_Final.pdf",""
"Shintech Incorporated","Shin-Etsu Chemical","$5,011","$0","$5,011","2020","20200602","environment-related offenses","environmental violation","","","state","agency action","Texas Commission on Environmental Quality","civil","","","","","","Texas","","","","","","Japan","","publicly traded","","chemicals","chemicals","https://www.tceq.texas.gov/compliance/enforcement/enforcement-reports/annenfreport.html",""
"Shintech Incorporated","Shin-Etsu Chemical","$84,593","$0","$84,593","2020","20200427","environment-related offenses","environmental violation","","","state","agency action","Texas Commission on Environmental Quality","civil","","","","","","Texas","","","","","","Japan","","publicly traded","","chemicals","chemicals","https://www.tceq.texas.gov/compliance/enforcement/enforcement-reports/annenfreport.html",""
"Shintech Incorporated","Shin-Etsu Chemical","$41,811","$0","$41,811","2019","20190701","environment-related offenses","environmental violation","","","state","agency action","Texas Commission on Environmental Quality","civil","","","","","","Texas","","","","","","Japan","","publicly traded","","chemicals","chemicals","https://www.tceq.texas.gov/assets/public/compliance/enforcement/enf_reports/AER/historical/Annual-Enforcement-Report-FY2019.pdf",""
"Shintech Incorporated","Shin-Etsu Chemical","$30,000","$0","$30,000","2015","20151116","environment-related offenses","environmental violation","","","state","agency action","Texas Commission on Environmental Quality","civil","","","","","","Texas","","","","","","Japan","","publicly traded","","chemicals","chemicals","https://www.tceq.texas.gov/assets/public/compliance/enforcement/enf_reports/AER/historical/Annual-Enforcement-Report-FY2016.pdf",""
"Shintech Incorporated","Shin-Etsu Chemical","$5,664","$0","$5,664","2014","20141018","environment-related offenses","environmental violation","","","state","agency action","Texas Commission on Environmental Quality","civil","","","","","","Texas","","","","","","Japan","","publicly traded","","chemicals","chemicals","https://www.tceq.texas.gov/assets/public/compliance/enforcement/enf_reports/AER/historical/Annual-Enforcement-Report-FY2015.pdf",""
"Shintech Incorporated","Shin-Etsu Chemical","$36,000","$0","$36,000","2013","20131018","environment-related offenses","environmental violation","","","state","agency action","Texas Commission on Environmental Quality","civil","","","","","","Texas","","","","","","Japan","","publicly traded","","chemicals","chemicals","https://www.tceq.texas.gov/assets/public/compliance/enforcement/enf_reports/AER/historical/Annual-Enforcement-Report-FY2014.pdf",""
"Shin-Etsu Silicones of America, Inc.","Shin-Etsu Chemical","$24,875","$0","$24,875","2010","20101204","environment-related offenses","environmental violation","","","state","agency action","Texas Commission on Environmental Quality","civil","","","","","","Texas","","","","","","Japan","","publicly traded","","chemicals","chemicals","https://www.tceq.texas.gov/assets/public/compliance/enforcement/enf_reports/AER/historical/Annual-Enforcement-Report-FY2011.pdf",""
"Shin-Etsu Silicones of America, Inc.","Shin-Etsu Chemical","$8,520","$0","$8,520","2008","20080112","environment-related offenses","environmental violation","","","state","agency action","Texas Commission on Environmental Quality","civil","","","","","","Texas","","","","","","Japan","","publicly traded","","chemicals","chemicals","https://www.tceq.texas.gov/assets/public/compliance/enforcement/enf_reports/AER/historical/Annual-Enforcement-Report-FY2008.pdf",""
"Shintech Incorporated","Shin-Etsu Chemical","$25,000","$0","$25,000","2007","20070921","environment-related offenses","environmental violation","","","state","agency action","Texas Commission on Environmental Quality","civil","","","","","","Texas","","","","","","Japan","","publicly traded","","chemicals","chemicals","https://www.tceq.texas.gov/assets/public/compliance/enforcement/enf_reports/AER/historical/Annual-Enforcement-Report-FY2008.pdf",""
"Shintech Incorporated","Shin-Etsu Chemical","$14,980","$0","$14,980","2007","20070525","environment-related offenses","environmental violation","","","state","agency action","Texas Commission on Environmental Quality","civil","","","","","","Texas","","","","","","Japan","","publicly traded","","chemicals","chemicals","https://www.tceq.texas.gov/assets/public/compliance/enforcement/enf_reports/AER/historical/Annual-Enforcement-Report-FY2007.pdf",""
"SHINTECH LOUISIANA LLC","Shin-Etsu Chemical","$7,000","$0","$7,000","2011","20110523","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Louisiana","PLAQUEMINE","26270 HWY 405","70764","325199","325199: All Other Basic Organic Chemical Manufacturing","Japan","","publicly traded","","chemicals","chemicals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SHINTECH LOUISIANA LLC","Shin-Etsu Chemical","$8,908","$0","$8,908","2016","20160330","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Louisiana","PLAQUEMINE","26270 HWY 405","70764","325199","325199: All Other Basic Organic Chemical Manufacturing","Japan","","publicly traded","","chemicals","chemicals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SHIN-ETSU SILICONES OF AMERICA","Shin-Etsu Chemical","$12,000","$0","$12,000","2018","20181130","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","AKRON","1030 EVANS AVENUE","44305","541330","541330: Engineering Services","Japan","","publicly traded","","chemicals","chemicals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Shintech, Inc.","Shin-Etsu Chemical","$7,285,004","$7,285,004","$0","2009","20090306","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","06-2006-0920","","","","","","","","","Japan","","publicly traded","","chemicals","chemicals","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads","Note: This penalty is a duplicate of an amount shown in another record (either because it applies to a multi-location settlement or because Violation Tracker contains an agency record and a settlement announcement for the same case)."
"Shintech Louisiana, LLC","Shin-Etsu Chemical","$426,530","$0","$426,530","2007","20070430","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","06-2006-0921","","","","","","","","","Japan","","publicly traded","","chemicals","chemicals","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"Shintech Incorporated","Shin-Etsu Chemical","$651,768","$0","$651,768","2013","20131119","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","06-2013-0911","","","","","","","","","Japan","","publicly traded","","chemicals","chemicals","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"Shintech Louisiana, LLC","Shin-Etsu Chemical","$163,402","$0","$163,402","2015","20151030","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","06-2016-2901","","","Louisiana","PLAQUEMINE","26270 HIGHWAY 405","70764","325211","325211: Plastics Material and Resin Manufacturing","Japan","","publicly traded","","chemicals","chemicals","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"Shintech, Inc.","Shin-Etsu Chemical","$33,000","$0","$33,000","2016","20160308","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","06-2016-3345","","","","","","","","","Japan","","publicly traded","","chemicals","chemicals","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
