"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"ShopKo Stores, Inc.","ShopKo Stores","$669,824","$0","$669,824","2009","20090303","healthcare-related offenses","HHS civil monetary penalties","","","federal","agency action","Health & Human Services Department Office of Inspector General","civil","","","","","","Utah","","","","","","USA","Wisconsin","privately held","","retailing","discount stores","FOIA469","Source document obtained through a Freedom of Information Act request to the agency."
"SHOPKO STORES INC.","ShopKo Stores","$12,475","$0","$12,475","2001","20010524","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Nebraska","OMAHA","14445 W. CENTER ROAD","68144","000000","","USA","Wisconsin","privately held","","retailing","discount stores","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SHOPKO STORES INC","ShopKo Stores","$5,100","$0","$5,100","2000","20001213","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Utah","MURRAY","5959 S STATE","84107","000000","","USA","Wisconsin","privately held","","retailing","discount stores","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SHOPKO DISTRIBUTION CENTER","ShopKo Stores","$7,126","$0","$7,126","2000","20000428","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Nebraska","PAPILLION","10610 GERTRUDE ST.","68128","000000","","USA","Wisconsin","privately held","","retailing","discount stores","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SHOPKO STORE #10","ShopKo Stores","$5,225","$0","$5,225","2001","20010827","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Michigan","MARQUETTE","1150 W WASHINGTON","49855","000000","","USA","Wisconsin","privately held","","retailing","discount stores","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SHOPKO DEPARTMENT STORE","ShopKo Stores","$12,565","$0","$12,565","2003","20031231","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Iowa","DUBUQUE","255 JOHN F KENNEDY RD","52002","452111","452111: Department Stores (except Discount Department Stores)","USA","Wisconsin","privately held","","retailing","discount stores","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Shopko Stores Operating Co., LLC","ShopKo Stores","$7,060","$0","$7,060","2018","20180118","employment-related offenses","wage and hour violation","","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1843633","","","California","Redding","55 Lake Blvd.","96003","4529","4529: Other General Merchandise Stores","USA","Wisconsin","privately held","","retailing","discount stores","August 24, 2018 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"ShopKo Stores Inc.","ShopKo Stores","$100,000","$0","$100,000","2002","20021108","government-contracting-related offenses","False Claims Act and related","","ShopKo agreed to repay $100,000 to the state in settlement of allegations its predecessor failed to fulfil a contractural obligation to develop and retain jobs as part of conditions for a development grant.","state","agency action","Missouri Attorney General","civil","","","","","","Missouri","Bethany","","","","","USA","Wisconsin","privately held","","retailing","discount stores","https://web.archive.org/web/20030307011422/http://www.ago.state.mo.us/newsrls/2002/110802b.htm",""
"SHOPKO HOMETOWN STORES","ShopKo Stores","$6,264","$0","$6,264","2013","20130115","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Nebraska","BEATRICE","123 N. 24TH STREET","68310","452990","452990: All Other General Merchandise Stores","USA","Wisconsin","privately held","","retailing","discount stores","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SHOPKO STORES OPERATING CO., LLC","ShopKo Stores","$7,300","$0","$7,300","2014","20140605","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Illinois","MONMOUTH","1190 N 6TH ST","61462","452990","452990: All Other General Merchandise Stores","USA","Wisconsin","privately held","","retailing","discount stores","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SHOPKO STORES, INC.","ShopKo Stores","$6,300","$0","$6,300","2014","20140723","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Wisconsin","SPOONER","650 W BEAVERBROOK AVE","54801","452112","452112: Discount Department Stores","USA","Wisconsin","privately held","","retailing","discount stores","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SHOPKO HOMETOWN","ShopKo Stores","$5,100","$0","$5,100","2016","20161220","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Iowa","WINTERSET","402 IA-92","50273","452112","452112: Discount Department Stores","USA","Wisconsin","privately held","","retailing","discount stores","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
