"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"SI Group, Inc.","SI Group","$5,000","$0","$5,000","2012","20120917","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","New York","privately held","","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L04190#p1_z5_gD_lEA",""
"SI Group, Inc.","SI Group","$5,000","$0","$5,000","2012","20120917","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","New York","privately held","","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L04190#p1_z5_gD_lEA",""
"SCHENECTADY INTERNATIONAL","SI Group","$8,500","$0","$8,500","2005","20051012","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","ROTTERDAM JUNCTION","1000 MAIN ST","12150","325188","325188: All Other Basic Inorganic Chemical Manufacturing","USA","New York","privately held","","chemicals","chemicals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SI Group, Inc.","SI Group","$5,000","$0","$5,000","2018","20180522","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","ZSIQ 2017-1(HMT)","","","","","","","","","USA","New York","privately held","","chemicals","chemicals","https://www.fra.dot.gov/eLib/Find#p1_z5_lEA",""
"SI Group, Inc.","SI Group","$6,000","$0","$6,000","2018","20180425","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","ZSIQ 2018-1(HMT)","","","","","","","","","USA","New York","privately held","","chemicals","chemicals","https://www.fra.dot.gov/eLib/Find#p1_z5_lEA",""
"SI Group, Inc.","SI Group","$37,125","$0","$37,125","2016","20161108","environment-related offenses","environmental violation","","","state","agency action","New York Department of Environmental Conservation","civil","","","","","","New York","Rotterdam","","","","","USA","New York","privately held","","chemicals","chemicals","https://web.archive.org/web/20201124071117/https://www.dec.ny.gov/docs/regions_pdf/sigroupinc.pdf",""
"SI Group, Inc.","SI Group","$400,000","$0","$400,000","2014","20141020","environment-related offenses","environmental violation","","SI Group agreed to pay $400,000 in settlement of allegations it violated the Clean Air Act when an improperly operated emission control device allowed alkyl phenol compounds into the air, failed to properly measure and report emissions, and failed to properly manage hazardous waste.","state","agency action","New York Department of Environmental Conservation","civil","","","","","","New York","Rotterdam Junction","","","","","USA","New York","privately held","","chemicals","chemicals","https://web.archive.org/web/20201124013356/https://www.dec.ny.gov/docs/regions_pdf/sigroupmodorder.pdf",""
"SI Group, Inc.","SI Group","$65,000","$0","$65,000","2014","20140320","environment-related offenses","environmental violation","","","state","agency action","New York Department of Environmental Conservation","civil","","","","","","New York","Rotterdam Junction","","","","","USA","New York","privately held","","chemicals","chemicals","https://web.archive.org/web/20201124014115/https://www.dec.ny.gov/docs/regions_pdf/sigrouporder.pdf",""
"SI Group, Inc.","SI Group","$15,000","$0","$15,000","2019","20190603","environment-related offenses","environmental violation","","air quality violation","state","agency action","South Carolina Department of Health and Environmental Control","civil","","","","","","South Carolina","Orangeburg","","","","","USA","New York","privately held","","chemicals","chemicals","https://scdhec.gov/sites/default/files/media/document/FINAL%20Board%20Copy.BAI_.August19.pdf",""
"SI Group, Inc.","SI Group","$7,390","$0","$7,390","2017","20171211","environment-related offenses","environmental violation","","solid waste violation","state","agency action","Tennessee Department of Environment & Conservation","civil","","","HWM17-0034","","","Tennessee","","","","","","USA","New York","privately held","","chemicals","chemicals","Contained in data received from the agency on January 25, 2021 in response to an open records request. The data was a spreadsheet compilation of information in the search engine at http://tdec.tn.gov:8080/pls/enf_reports/f?p=9001:710::::::",""
