"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Dresser Rand Company","Siemens Energy","$110,000","$0","$110,000","2011","20111108","employment-related offenses","employment discrimination","","religion","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","New York","","","","","","Germany","","publicly traded","","utilities and power generation","energy generation","https://www.eeoc.gov/eeoc/newsroom/release/11-8-11b.cfm","Description field shows type of discrimination that EEOC had alleged."
"Dresser Rand Company","Siemens Energy","$9,000","$0","$9,000","2000","20000119","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","03-CA-21971-001","","","New York","Painted Post","","14870","333912","333912: Air and Gas Compressor Manufacturing","Germany","","publicly traded","","utilities and power generation","energy generation","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Dresser-Rand Company","Siemens Energy","$11,000","$0","$11,000","2010","20100415","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","03-CA-27561-001","","","New York","Painted Post","","14870","335999","335999: All Other Miscellaneous Electrical Equipment and Component Manufacturing","Germany","","publicly traded","","utilities and power generation","energy generation","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Dresser-Rand Group, Inc.","Siemens Energy","$171,305","$0","$171,305","2006","20060908","financial offenses","economic sanction violation","","","federal","agency action","Office of Foreign Assets Control","civil","","","","","","","","","","","","Germany","","publicly traded","","utilities and power generation","energy generation","https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Documents/09082006.pdf",""
"Dresser Rand Services, Inc.","Siemens Energy","$5,469","$0","$5,469","2010","20100509","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1566916","","","Louisiana","Jena","","71342","811310","811310: Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Main","Germany","","publicly traded","","utilities and power generation","energy generation","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Dresser Rand Corporation - Wellsville Ops","Siemens Energy","$5,875","$0","$5,875","2011","20110323","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1625002","","","New York","Wellsville","","14895","211111","211111: Crude Petroleum and Natural Gas Extraction","Germany","","publicly traded","","utilities and power generation","energy generation","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"SIEMENS GAMESA RENEWABLE ENERGY WIND LLC","Siemens Energy","$20,000","$0","$20,000","2007","20071228","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","Germany","","publicly traded","","utilities and power generation","energy generation","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"GAMESA WIND PA LLC","Siemens Energy","$654,946","$0","$654,946","2007","20070403","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","Germany","","publicly traded","","utilities and power generation","energy generation","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"Siemens Energy & Automation, Inc.","Siemens Energy","$15,750","$0","$15,750","2001","20011130","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","12-CA-21831-001","","","Florida","Tampa","","33607","335999","335999: All Other Miscellaneous Electrical Equipment and Component Manufacturing","Germany","","publicly traded","","utilities and power generation","energy generation","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"SIEMENS ENERGY AND AUTOMATION, INC.","Siemens Energy","$14,000","$0","$14,000","2000","20000329","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","09-CA-37163-001","","","Ohio","Norwood","","45212","335311","335311: Power, Distribution, and Specialty Transformer Manufacturing","Germany","","publicly traded","","utilities and power generation","energy generation","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
