"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Siemens","Siemens","$175,000","$0","$175,000","2016","20160922","consumer-protection-related offenses","telecommunications violation","","Siemens Corporation and Siemens Medical Solutions agreed to pay $175,000 to resolve a Federal Communications Commission investigation into whether the companies failed to disclose corporate felony convictions as required by the Commission's rules.  Siemens, Siemens Medical, and some of their subsidiaries hold numerous FCC wireless licenses and were required to disclose prior criminal convictions for violations of the Foreign Corrupt Practices Act and, separately, obstruction of justice on their applications.","federal","agency action","Federal Communications Commission","civil","","","","","","","","","","","","Germany","","publicly traded","","diversified","diversified","https://apps.fcc.gov/edocs_public/attachmatch/DOC-341385A1.pdf",""
"Siemens Corporation","Siemens","$11,482","$0","$11,482","2012","20120102","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1643744","","","New York","Albany","","12205","325412","325412: Pharmaceutical Preparation Manufacturing","Germany","","publicly traded","","diversified","diversified","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Siemens AG","Siemens","$450,000,000","$0","$450,000,000","2008","20081215","competition-related offenses","Foreign Corrupt Practices Act","","Siemens AG and three of its subsidiaries today pleaded guilty to violations of and charges related to the Foreign Corrupt Practices Act.","federal","agency action","Justice Department Criminal Division","criminal","","","","","","","","","","","","Germany","","publicly traded","","diversified","diversified","https://www.justice.gov/archive/opa/pr/2008/December/08-crm-1105.html",""
"Siemens AG","Siemens","$350,000,000","$0","$350,000,000","2008","20081215","competition-related offenses","Foreign Corrupt Practices Act","","Siemens AG agreed to pay $350 million to resolve SEC charges that the Munich, Germany-based manufacturer of industrial and consumer products violated the Foreign Corrupt Practices Act (FCPA) by engaging in a systematic practice of paying bribes to foreign government officials to obtain business.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","Germany","","publicly traded","","diversified","diversified","https://www.sec.gov/news/press/2008/2008-294.htm",""
"Siemens Building Technologies, Inc.","Siemens","$1,204,203","$0","$1,204,203","2004","20040329","employment-related offenses","wage and hour violation","Fair Labor Standards Act","The U.S. Department of Labor announced the filing of a consent judgment in which Siemens Building Technologies, Inc., of Bellevue agreed to pay 52 employees $1,204,203 in overtime back wages for alleged violations of the Fair Labor Standards Act (FLSA).","federal","agency action","Labor Department Wage and Hour Division","civil","","","","","","Washington","Bellevue","","","","","Germany","","publicly traded","","diversified","diversified","https://www.dol.gov/whd/media/press/whdpressVB2.asp?pressdoc=Western/archived/20040544.xml",""
"Siemens Building Technologies, Inc.","Siemens","$10,000","$0","$10,000","2004","20040305","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","01-CA-35366-001","","","Maine","Falmouth","","04105","238990","238990: All Other Specialty Trade Contractors","Germany","","publicly traded","","diversified","diversified","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Siemens Industry, Inc.","Siemens","$97,988","$0","$97,988","2011","20110515","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1616301","","","New Jersey","Pine Brook","","07058","238210","238210: Electrical Contractors","Germany","","publicly traded","","diversified","diversified","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Siemen's Medical Systems, Inc.","Siemens","$80,508","$0","$80,508","2002","20020107","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","01-CA-38698-001","","","New Jersey","Iselin","","08830","334510","334510: Electromedical and Electrotherapeutic Apparatus Manufacturing","Germany","","publicly traded","","diversified","diversified","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Siemens BuildingTechnolgies, Inc.","Siemens","$12,500","$0","$12,500","2003","20030331","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","10-CA-33862-001","","","Alabama","Pelham","","35124","238210","238210: Electrical Contractors","Germany","","publicly traded","","diversified","diversified","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"SIEMENS MEDICAL SOLUTIONS USA INC.","Siemens","$22,050","$0","$22,050","2003","20030128","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","CONCORD","4040 NELSON AVENUE","94520","324121","324121: Asphalt Paving Mixture and Block Manufacturing","Germany","","publicly traded","","diversified","diversified","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
