"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Sierra Pacific Industries","Sierra Pacific Industries","$95,000","$0","$95,000","2012","20121023","employment-related offenses","employment discrimination","","national origin","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","California","","","","","","USA","California","privately held","","building materials","forest products","https://www.eeoc.gov/eeoc/newsroom/release/10-23-12.cfm","Description field shows type of discrimination that EEOC had alleged."
"SIERRA PACIFIC INDUSTRIES","Sierra Pacific Industries","$18,635","$0","$18,635","2009","20090114","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","LINCOLN","1445 HIGHWAY 65","95648","423310","423310: Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers","USA","California","privately held","","building materials","forest products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SIERRA PACIFIC INDUSTRIES","Sierra Pacific Industries","$18,000","$0","$18,000","2006","20060208","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","CAMINO","3950 CARSON BLVD.","95701","321918","321918: Other Millwork (including Flooring)","USA","California","privately held","","building materials","forest products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SIERRA PACIFIC INDUSTRIES","Sierra Pacific Industries","$18,600","$0","$18,600","2000","20000118","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","SONORA","14560 TUOLUMNE ROAD","95370","333210","333210: Sawmill and Woodworking Machinery Manufacturing","USA","California","privately held","","building materials","forest products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SIERRA PACIFIC INDUSTRIES","Sierra Pacific Industries","$21,000","$0","$21,000","2005","20050318","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","BURNEY","36336 HWY 299E","96013","321113","321113: Sawmills","USA","California","privately held","","building materials","forest products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SIERRA PACIFIC INDUSTRIES","Sierra Pacific Industries","$18,000","$0","$18,000","2009","20090106","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","RICHFIELD","NORTH END OF ALAMEDA RD","96021","321918","321918: Other Millwork (including Flooring)","USA","California","privately held","","building materials","forest products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SIERRA PACIFIC IND","Sierra Pacific Industries","$18,000","$0","$18,000","2007","20070918","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","SHASTA LAKE","3735 EL CAJON ST","96019","321113","321113: Sawmills","USA","California","privately held","","building materials","forest products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SIERRA PACIFIC INDUSTRIES","Sierra Pacific Industries","$18,000","$0","$18,000","2002","20020123","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","CHINESE CAMP","14333 PERRICONE RD","95309","000000","","USA","California","privately held","","building materials","forest products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SIERRA PACIFIC INDUSTRIES","Sierra Pacific Industries","$18,000","$0","$18,000","2003","20031023","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","RICHFIELD","NORTH END OF ALAMEDA RD","96021","321999","321999: All Other Miscellaneous Wood Product Manufacturing","USA","California","privately held","","building materials","forest products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SIERRA PACIFIC INDUSTRIES, INC.","Sierra Pacific Industries","$8,100","$0","$8,100","2005","20050111","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","ARCATA","2593 NEW NAVY BASE RD","95521","321113","321113: Sawmills","USA","California","privately held","","building materials","forest products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
