"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Sinclair Oil Corp.","Sinclair Oil","$74,450,000","$0","$74,450,000","2008","20080115","environment-related offenses","environmental violation","","Sinclair Oil Corp. agreed to pay a $2.45 million civil penalty and spend more than $72 million for new and upgraded pollution controls to reduce air pollution from the company's three refineries in Casper and Sinclair, Wyo., and in Tulsa, Okla.","federal","agency action","Justice Department Environment and Natural Resources Division","civil","","","","","","","","","","","","USA","Utah","privately held","","oil and gas","oil & gas","http://www.usdoj.gov/opa/pr/2008/January/08_enrd_028.html",""
"Sinclair Oil Corporation","Sinclair Oil","$14,344,000","$0","$14,344,000","2012","20120820","environment-related offenses","environmental violation","","The Department of Justice and the U.S. Environmental Protection Agency announced a settlement with two subsidiaries of Sinclair Oil Corporation to resolve alleged violations of air pollution limits established in a 2008 consent decree at refineries in Casper and Sinclair, Wyo. Sinclair Casper Refining Co. and Sinclair Wyoming Refining Co. were to pay stipulated penalties totaling $3,844,000 and spend approximately $10.5 million on additional pollution control equipment and other projects to resolve the allegations. The settlement also required the Sinclair companies to reduce emissions of nitrogen oxides (NOx), sulfur dioxide (SO2) and particulate matter by approximately 24,385 and 59 tons per year, respectively.","federal","agency action","Environmental Protection Agency referral to the Justice Department","civil","","","","","","Wyoming","","","","","","USA","Utah","privately held","","oil and gas","oil & gas","http://www.justice.gov/opa/pr/sinclair-oil-pay-38-million-penalty-and-install-pollution-controls-wyoming-refineries-resolve",""
"Sinclair Oil Corporation","Sinclair Oil","$20,000","$0","$20,000","2006","20060331","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Utah","privately held","","oil and gas","oil & gas","Taken from the Federal Railroad Administration's FY2006 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Sinclair Oil Corporation","Sinclair Oil","$16,000","$0","$16,000","2006","20061115","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Utah","privately held","","oil and gas","oil & gas","Taken from the Federal Railroad Administration's FY2007 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Sinclair Oil Corporation","Sinclair Oil","$15,000","$0","$15,000","2004","20041110","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Utah","privately held","","oil and gas","oil & gas","Taken from the Federal Railroad Administration's FY2005 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Sinclair Oil Corporation","Sinclair Oil","$9,000","$0","$9,000","2004","20040816","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Utah","privately held","","oil and gas","oil & gas","Taken from the Federal Railroad Administration's FY2004 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Sinclair Oil Corporation","Sinclair Oil","$8,000","$0","$8,000","2010","20100503","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Utah","privately held","","oil and gas","oil & gas","https://www.fra.dot.gov/eLib/details/L01493#p1_z5_gD_lEA",""
"Sinclair Oil Corporation","Sinclair Oil","$8,000","$0","$8,000","2010","20100426","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Utah","privately held","","oil and gas","oil & gas","https://www.fra.dot.gov/eLib/details/L01493#p1_z5_gD_lEA",""
"Sinclair Oil Corporation","Sinclair Oil","$8,000","$0","$8,000","2008","20080519","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Utah","privately held","","oil and gas","oil & gas","Taken from the Federal Railroad Administration's FY2008 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Sinclair Oil Corporation","Sinclair Oil","$7,800","$0","$7,800","2007","20070323","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Utah","privately held","","oil and gas","oil & gas","Taken from the Federal Railroad Administration's FY2007 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Sinclair Oil Corporation","Sinclair Oil","$7,500","$0","$7,500","2010","20100503","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Utah","privately held","","oil and gas","oil & gas","https://www.fra.dot.gov/eLib/details/L01493#p1_z5_gD_lEA",""
"SINCLAIR WYOMING REFINING CO.","Sinclair Oil","$8,000","$0","$8,000","2010","20100113","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Utah","privately held","","oil and gas","oil & gas","https://www.fra.dot.gov/eLib/details/L01493#p1_z5_gD_lEA",""
"SINCLAIR WYOMING REFINING CO.","Sinclair Oil","$6,900","$0","$6,900","2016","20160303","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Utah","privately held","","oil and gas","oil & gas","https://www.fra.dot.gov/Elib/Document/16831","Year is fiscal year."
"Sinclair Wyoming Refining Company","Sinclair Oil","$378,000","$378,000","$0","2012","20121011","environment-related offenses","environmental violation","","The U.S. Environmental Protection Agency announced a Clean Air Act settlement in which the Sinclair Wyoming Refining Company (Sinclair) has agreed to pay a $378,000 penalty, update process equipment operating procedures, perform required training to workers, improve maintenance of equipment and perform integrity tests on pressure vessels and piping that will reduce the possibility of an accidental release of hazardous chemicals at their refinery in Sinclair, Wyoming.","federal","agency action","Environmental Protection Agency","civil","","","","","","Wyoming","Sinclair","","","","","USA","Utah","privately held","","oil and gas","oil & gas","https://archive.epa.gov/epapages/newsroom_archive/newsreleases/5360abdc120ee5f885257a9400539a83.html","Note: This penalty is a duplicate of an amount shown in another record (either because it applies to a multi-location settlement or because Violation Tracker contains an agency record and a settlement announcement for the same case)."
"SINCLAIR OIL CORP.","Sinclair Oil","$8,000","$0","$8,000","2005","20050324","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Oklahoma","TULSA","902 W. 25TH ST.","74107","324110","324110: Petroleum Refineries","USA","Utah","privately held","","oil and gas","oil & gas","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
