"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Skanska USA","Skanska","$5,090","$0","$5,090","2011","20110517","employment-related offenses","wage and hour violation","Davis-Bacon Act and related","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1619480","","","Colorado","Cortez","","81321","237310","237310: Highway, Street, and Bridge Construction","Sweden","","publicly traded","","construction and engineering","construction & engineering","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Skanska USA Building, Inc.","Skanska","$95,000","$0","$95,000","2015","20150129","employment-related offenses","employment discrimination","","racial harassment and retalation","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Tennessee","","","","","","Sweden","","publicly traded","","construction and engineering","construction & engineering","https://www.eeoc.gov/eeoc/newsroom/release/1-29-15.cfm","Description field shows type of discrimination that EEOC had alleged."
"Tidewater Skanska, Inc.","Skanska","$20,000","$0","$20,000","2003","20030306","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","11-CA-19359-001","","","South Carolina","Holly Hill","","29059","238310","238310: Drywall and Insulation Contractors","Sweden","","publicly traded","","construction and engineering","construction & engineering","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"SKANSKA USA CIVIL WEST CA DISTRICT INC","Skanska","$19,210","$0","$19,210","2009","20090715","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","SAN DIEGO","LA MEDIA & OTAY MESA RD","92154","236220","236220: Commercial and Institutional Building Construction","Sweden","","publicly traded","","construction and engineering","construction & engineering","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TIDEWATER SKANSKA, INC.","Skanska","$10,500","$0","$10,500","2005","20050126","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Virginia","PORTSMOUTH","CLEVELAND SREET AND LEE AVENUE","23702","237310","237310: Highway, Street, and Bridge Construction","Sweden","","publicly traded","","construction and engineering","construction & engineering","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SKANSKA USA BUILDING, INC.","Skanska","$5,000","$0","$5,000","2003","20030402","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Nevada","LAS VEGAS","3355 LAS VEGAS BLVD., SOUTH","89109","236220","236220: Commercial and Institutional Building Construction","Sweden","","publicly traded","","construction and engineering","construction & engineering","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"KOCH SKANSKA, INC.","Skanska","$8,000","$0","$8,000","2003","20030109","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Jersey","NEWARK","EXIT 15 EAST JERSEY TURNPIKE","07105","238120","238120: Structural Steel and Precast Concrete Contractors","Sweden","","publicly traded","","construction and engineering","construction & engineering","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SKANSKA USA BUILDING INC","Skanska","$5,000","$0","$5,000","2006","20060202","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","MODESTO","1700 COFFEE ROAD","95355","236220","236220: Commercial and Institutional Building Construction","Sweden","","publicly traded","","construction and engineering","construction & engineering","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Skanska USA Civil Northeast Inc.","Skanska","$19,600,000","$0","$19,600,000","2011","20110331","competition-related offenses","fraud","","","federal","agency action","U.S. Attorney-Southern District of New York","criminal","non-prosecution agreement","","","","","","","","","","","Sweden","","publicly traded","","construction and engineering","construction & engineering","https://www.justice.gov/archive/usao/nys/pressreleases/March11/kamatbaluanddesiocarmineindictmentskanskapr.pdf",""
"SKANSKA USE CIVIL SOUTHEAST, INC.","Skanska","$9,000","$0","$9,000","2018","20180615","environment-related offenses","environmental violation","","stormwater runoff violation","state","agency action","Florida Department of Environmental Protection","civil","","","180008","","","Florida","","","","","","Sweden","","publicly traded","","construction and engineering","construction & engineering","Contained in a spreadsheet received from the agency on October 2, 2020 in response to an open records request. The spreadsheet included data from  the agency's Oculus database, which can be searched at https://prodenv.dep.state.fl.us/DepNexus/public/searchPortal","Case number is the designation given by the DEP's Office of General Counsel."
