"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"FLOCRYL/SNF HOLDING COMPANY","SNF Group","$15,000","$0","$15,000","2011","20110526","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","France","","privately held","","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L01494#p1_z5_gD_lEA",""
"FLOCRYL/SNF HOLDING COMPANY","SNF Group","$7,500","$0","$7,500","2011","20110526","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","France","","privately held","","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L01494#p1_z5_gD_lEA",""
"POLYCHEMIE INCORPORATED","SNF Group","$7,500","$0","$7,500","2012","20120227","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","France","","privately held","","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L04190#p1_z5_gD_lEA",""
"POLYCHEMIE INCORPORATED","SNF Group","$6,000","$0","$6,000","2010","20100110","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","France","","privately held","","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L01493#p1_z5_gD_lEA",""
"FLOCRYL/SNF HOLDING COMPANY","SNF Group","$10,000","$0","$10,000","2017","20170809","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","ZFLZ 2016-1(HMT)","","","","","","","","","France","","privately held","","chemicals","chemicals","https://www.fra.dot.gov/Elib/Document/17839",""
"SNF Flopam","SNF Group","$23,000","$0","$23,000","2018","20181129","employment-related offenses","labor relations violation","","","federal","agency action","National Labor Relations Board","civil","","","15-CA-226246","","","Louisiana","Plaquemine","","","","","France","","privately held","","chemicals","chemicals","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/28/2020.",""
"SNF Holding Company, Inc.","SNF Group","$5,760","$0","$5,760","2020","20200910","environment-related offenses","environmental violation","","Air Quality Act","state","agency action","Georgia Environmental Protection Division","civil","","","EPD-AQC-7045","","","Georgia","","","","","","France","","privately held","","chemicals","chemicals","Contained in a spreadsheet obtained from the agency on October 7, 2020 in response to an open records request. The spreadsheet contains cases from the enforcement database accessible at https://enfo.gaepd.org/Orders/Search",""
"SNF Holding Company, Inc.","SNF Group","$25,000","$0","$25,000","2014","20140514","environment-related offenses","environmental violation","","Water Quality Control Act (including Surface Water Allocation)","state","agency action","Georgia Environmental Protection Division","civil","","","EPD-WQ-6024","","","Georgia","","","","","","France","","privately held","","chemicals","chemicals","Contained in a spreadsheet obtained from the agency on October 7, 2020 in response to an open records request. The spreadsheet contains cases from the enforcement database accessible at https://enfo.gaepd.org/Orders/Search",""
"SNF Holding Company, Inc.","SNF Group","$5,000","$0","$5,000","2011","20110712","environment-related offenses","environmental violation","","Air Quality Act","state","agency action","Georgia Environmental Protection Division","civil","","","EPD-AQC-6406","","","Georgia","","","","","","France","","privately held","","chemicals","chemicals","Contained in a spreadsheet obtained from the agency on October 7, 2020 in response to an open records request. The spreadsheet contains cases from the enforcement database accessible at https://enfo.gaepd.org/Orders/Search",""
"SNF Holding Company, Inc.","SNF Group","$39,600","$0","$39,600","2009","20090810","environment-related offenses","environmental violation","","Air Quality Act","state","agency action","Georgia Environmental Protection Division","civil","","","EPD-AQC-6092","","","Georgia","","","","","","France","","privately held","","chemicals","chemicals","Contained in a spreadsheet obtained from the agency on October 7, 2020 in response to an open records request. The spreadsheet contains cases from the enforcement database accessible at https://enfo.gaepd.org/Orders/Search",""
"SNF Chemtall, Inc.","SNF Group","$5,000","$0","$5,000","2009","20090505","environment-related offenses","environmental violation","","Water Quality Control Act (including Surface Water Allocation)","state","agency action","Georgia Environmental Protection Division","civil","","","EPD-WQ-5087","","","Georgia","","","","","","France","","privately held","","chemicals","chemicals","Contained in a spreadsheet obtained from the agency on October 7, 2020 in response to an open records request. The spreadsheet contains cases from the enforcement database accessible at https://enfo.gaepd.org/Orders/Search",""
"SNF Chemtall, Inc.","SNF Group","$35,000","$0","$35,000","2007","20070917","environment-related offenses","environmental violation","","Water Quality Control Act (including Surface Water Allocation)","state","agency action","Georgia Environmental Protection Division","civil","","","EPD-WQ-4791","","","Georgia","","","","","","France","","privately held","","chemicals","chemicals","Contained in a spreadsheet obtained from the agency on October 7, 2020 in response to an open records request. The spreadsheet contains cases from the enforcement database accessible at https://enfo.gaepd.org/Orders/Search",""
"SNF Holding Company, Inc.","SNF Group","$31,200","$0","$31,200","2007","20070402","environment-related offenses","environmental violation","","Air Quality Act","state","agency action","Georgia Environmental Protection Division","civil","","","EPD-AQC-5564","","","Georgia","","","","","","France","","privately held","","chemicals","chemicals","Contained in a spreadsheet obtained from the agency on October 7, 2020 in response to an open records request. The spreadsheet contains cases from the enforcement database accessible at https://enfo.gaepd.org/Orders/Search",""
"SNF Chemtall, Inc.","SNF Group","$50,000","$0","$50,000","2006","20060929","environment-related offenses","environmental violation","","Water Quality Control Act (including Surface Water Allocation)","state","agency action","Georgia Environmental Protection Division","civil","","","EPD-WQ-4629","","","Georgia","","","","","","France","","privately held","","chemicals","chemicals","Contained in a spreadsheet obtained from the agency on October 7, 2020 in response to an open records request. The spreadsheet contains cases from the enforcement database accessible at https://enfo.gaepd.org/Orders/Search",""
"SNF Holding Company, Inc.","SNF Group","$12,000","$0","$12,000","2005","20050513","environment-related offenses","environmental violation","","Air Quality Act","state","agency action","Georgia Environmental Protection Division","civil","","","EPD-AQC-4701","","","Georgia","","","","","","France","","privately held","","chemicals","chemicals","Contained in a spreadsheet obtained from the agency on October 7, 2020 in response to an open records request. The spreadsheet contains cases from the enforcement database accessible at https://enfo.gaepd.org/Orders/Search",""
"Polychemie, Inc.","SNF Group","$12,000","$0","$12,000","2021","20211217","environment-related offenses","environmental violation","","","state","agency action","Mississippi Department of Environmental Quality","civil","","","","","","Mississippi","Pearlington","","","","","France","","privately held","","chemicals","chemicals","https://opc.deq.state.ms.us/ensearchonline/get_doc?datatype=order&id=1538669",""
"SNF FLOMIN","SNF Group","$31,050","$0","$31,050","2012","20120907","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","BAYTOWN","7500 FM 1405","77523","325998","325998: All Other Miscellaneous Chemical Product and Preparation Manufacturing","France","","privately held","","chemicals","chemicals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SNF HOLDING COMPANY","SNF Group","$17,300","$0","$17,300","2015","20150609","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Georgia","RICEBORO","1 CHEMICAL PLANT ROAD","31323","325998","325998: All Other Miscellaneous Chemical Product and Preparation Manufacturing","France","","privately held","","chemicals","chemicals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
