"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Cytec Engineered Material","Solvay","$45,000","$0","$45,000","2010","20100621","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","21-CA-38637-001","","","California","Anaheim","","92806","336411","336411: Aircraft Manufacturing","Belgium","","publicly traded","","chemicals","chemicals","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Cytec Industries","Solvay","$8,500","$0","$8,500","2001","20011212","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Belgium","","publicly traded","","chemicals","chemicals","Taken from the Federal Railroad Administration's FY2002 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Cytec Industries","Solvay","$5,000","$0","$5,000","2011","20110616","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Belgium","","publicly traded","","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L01494#p1_z5_gD_lEA",""
"RHODIA INC","Solvay","$9,400","$0","$9,400","2012","20120131","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","Belgium","","publicly traded","","chemicals","chemicals","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"Rhodia Inc.","Solvay","$52,000,000","$0","$52,000,000","2007","20070426","environment-related offenses","environmental violation","","Rhodia Inc., an acid manufacturer, agreed to pay a $2 million penalty and spend approximately $50 million on air pollution controls at eight production plants in four states across the country to settle allegations that the company violated the Clean Air Act. ","federal","agency action","Justice Department Environment and Natural Resources Division","civil","","","","","","","","","","","","Belgium","","publicly traded","","chemicals","chemicals","https://www.justice.gov/archive/opa/pr/2007/April/07_enrd_294.html",""
"Rhodia Inc.","Solvay","$18,000,000","$0","$18,000,000","2004","20040114","environment-related offenses","environmental violation","","Rhodia Inc. pleaded guilty to two felony violations of the Resource Conservation and Recovery Act at an elemental phosphorus manufacturing plant in Silver Bow County, Montana. Pursuant to a plea agreement, Rhodia was required to pay $18 million in criminal fines and restitution and to clean up the site.","federal","agency action","Justice Department Environment and Natural Resources Division","criminal","","","","","","Montana","","","","","","Belgium","","publicly traded","","chemicals","chemicals","https://www.justice.gov/archive/opa/pr/2004/January/04_enrd_029.htm",""
"Rhodia Inc.","Solvay","$6,500","$0","$6,500","2003","20030606","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Belgium","","publicly traded","","chemicals","chemicals","Taken from the Federal Railroad Administration's FY2003 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Rhodia Inc.","Solvay","$6,450","$0","$6,450","2005","20051013","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Belgium","","publicly traded","","chemicals","chemicals","Taken from the Federal Railroad Administration's FY2006 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"RHODIA, INC.","Solvay","$17,500","$0","$17,500","2013","20131126","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Belgium","","publicly traded","","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L16190#p1_z5_gD_lEA",""
"RHODIA, INC.","Solvay","$9,000","$0","$9,000","2014","20140305","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Belgium","","publicly traded","","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L16190#p1_z5_gD_lEA",""
"RHODIA, INC.","Solvay","$6,500","$0","$6,500","2011","20110308","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Belgium","","publicly traded","","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L01494#p1_z5_gD_lEA",""
"SOLVAY CHEMICALS, INC","Solvay","$65,000","$0","$65,000","2011","20110606","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Belgium","","publicly traded","","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L01494#p1_z5_gD_lEA",""
"SOLVAY CHEMICALS, INC","Solvay","$12,500","$0","$12,500","2011","20110215","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Belgium","","publicly traded","","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L01494#p1_z5_gD_lEA",""
