"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"AGL RESOURCES","Southern Company","$10,000","$0","$10,000","2003","20030815","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Georgia","publicly traded","SO","utilities and power generation","utilities","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_220023003.html?nocache=2944",""
"Alabama Power","Southern Company","$1,600,000","$0","$1,600,000","2015","20150625","environment-related offenses","environmental violation","","EPA and the U.S. Department of Justice lodged in U.S. District Court for the Northern District of Alabama a proposed modification of a prior 2006 consent decree with Alabama Power Company that will secure further reductions of harmful air pollutants, primarily sulfur dioxide (SO2) and nitrogen oxide (NOx), from three of the companys coal-fired power plants in Alabama. ","federal","agency action","Environmental Protection Agency","civil","","","","","","Alabama","","","","","","USA","Georgia","publicly traded","SO","utilities and power generation","utilities","https://archive.epa.gov/epa/newsreleases/modifications-settlement-alabama-power-company-will-reduce-harmful-air-pollution.html",""
"ALABAMA POWER COMPANY","Southern Company","$19,737","$0","$19,737","2001","20010319","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","15-CA-15538-001","","","Alabama","BUCKS","","35291","221119","221119: Other Electric Power Generation","USA","Georgia","publicly traded","SO","utilities and power generation","utilities","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Alabama Power Company","Southern Company","$200,000,000","$0","$200,000,000","2006","20060425","environment-related offenses","environmental violation","","Alabama Power agreed to spend more than $200 million on pollution controls to resolve a Clean Air Act case involving its James H. Miller Jr. coal-fired power plant.","federal","agency action","Justice Department Environment and Natural Resources Division","civil","","","","","","Alabama","","","","","","USA","Georgia","publicly traded","SO","utilities and power generation","utilities","https://www.justice.gov/archive/opa/pr/2006/April/06_enrd_242.html",""
"ATLANTA GAS LIGHT CO","Southern Company","$10,000","$0","$10,000","2003","20030808","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Georgia","publicly traded","SO","utilities and power generation","utilities","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_220030001.html?nocache=6165",""
"Atlanta Gas Light Company","Southern Company","$100,000","$0","$100,000","2003","20030717","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","10-CA-32795-001","","","Georgia","Atlanta","","30202","221210","221210: Natural Gas Distribution","USA","Georgia","publicly traded","SO","utilities and power generation","utilities","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"CHATTANOOGA GAS CO","Southern Company","$303,000","$0","$303,000","2009","20090707","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Georgia","publicly traded","SO","utilities and power generation","utilities","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_220063003.html?nocache=9075",""
"Nicor, Inc.","Southern Company","$10,000,000","$0","$10,000,000","2007","20070329","financial offenses","accounting fraud or deficiencies","","Nicor, Inc., a major Chicago-area natural gas distributor, agreed to pay approximately $10 million to settle allegations that it engaged in improper transactions, made material misrepresentations, and failed to disclose material information regarding Nicor's gas inventory in order to meet earnings targets and increase the company's revenues under a performance-based rate plan administered by the Illinois Commerce Commission.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","Georgia","publicly traded","SO","utilities and power generation","utilities","https://www.sec.gov/news/press/2007/2007-57.htm",""
"Georgia Power Co.","Southern Company","$1,586,500","$0","$1,586,500","2016","20161115","employment-related offenses","employment discrimination","Americans with Disabilities Act","Disabilities","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Georgia","","","","","","USA","Georgia","publicly traded","SO","utilities and power generation","utilities","https://www.eeoc.gov/eeoc/newsroom/release/11-15-16a.cfm","Description field shows type of discrimination that EEOC had alleged."
"Georgia Power Company","Southern Company","$49,500","$0","$49,500","2012","20120601","employment-related offenses","employment discrimination","Americans with Disabilities Act","disability","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Georgia","","","","","","USA","Georgia","publicly traded","SO","utilities and power generation","utilities","https://www.eeoc.gov/eeoc/newsroom/release/6-1-2012a.cfm","Description field shows type of discrimination that EEOC had alleged."
"Southern Company","Southern Company","$459,104","$0","$459,104","2014","20140206","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1706341","","","Georgia","Waynesboro","","30830","221113","221113: Nuclear Electric Power Generation","USA","Georgia","publicly traded","SO","utilities and power generation","utilities","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Southern Company Services, Inc.","Southern Company","$350,000","$0","$350,000","2009","20090708","competition-related offenses","energy market violation","","","federal","agency action","Federal Energy Regulatory Commission","civil","","","","","","","","","","","","USA","Georgia","publicly traded","SO","utilities and power generation","utilities","https://www.ferc.gov/enforcement/civil-penalties/actions/civil-penalty-action-2009.asp",""
"Southern Nuclear Operating Company, Inc.","Southern Company","$105,370","$0","$105,370","2011","20110516","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","15-CA-19880-001","","","Alabama","Birmingham","","35242","221122","221122: Electric Power Distribution","USA","Georgia","publicly traded","SO","utilities and power generation","utilities","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"ALABAMA POWER COMPANY","Southern Company","$6,300","$0","$6,300","2008","20080723","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Alabama","VERBENA","2235 C.R. 93","36091","221111","221111: Hydroelectric Power Generation","USA","Georgia","publicly traded","SO","utilities and power generation","utilities","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"THE SOUTHERN CO INC","Southern Company","$6,400","$0","$6,400","2005","20051010","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Tennessee","MEMPHIS","3101 CARRIER ST","38116","423120","423120: Motor Vehicle Supplies and New Parts Merchant Wholesalers","USA","Georgia","publicly traded","SO","utilities and power generation","utilities","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GEORGIA POWER","Southern Company","$5,000","$0","$5,000","2002","20021212","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Georgia","ALPHARETTA","WINDWARD PKWY.& ALDERMAN DRIVE","30004","000000","","USA","Georgia","publicly traded","SO","utilities and power generation","utilities","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Nicor Inc.","Southern Company","$6,000","$0","$6,000","2014","20140430","environment-related offenses","energy conservation violation","","","federal","agency action","Energy Department Office of General Counsel","civil","","","","","","","","","","","","USA","Georgia","publicly traded","SO","utilities and power generation","utilities","https://www.energy.gov/gc/listings/compliance-certification-enforcement",""
"Southern Nuclear Operating Company, Inc.","Southern Company","$145,000","$0","$145,000","2018","20180220","safety-related offenses","nuclear safety violation","","","federal","agency action","Nuclear Regulatory Commission","civil","","","","","","","","","","","","USA","Georgia","publicly traded","SO","utilities and power generation","utilities","https://www.nrc.gov/docs/ML1711/ML17115A077.pdf",""
"Southern Company","Southern Company","$15,000,000","$0","$15,000,000","2007","20070814","employment-related offenses","benefit plan administrator violation","pension ERISA violation","","federal","private litigation","","civil","","Northern District of Georgia","1:04-cv-1912","Woods v. Southern Company, et al","settlement","","","","","","","USA","Georgia","publicly traded","SO","utilities and power generation","utilities","https://www.courtlistener.com/opinion/2567095/woods-v-southern-co/",""
"Northern Illinois Gas Co.","Southern Company","$2,250,000","$0","$2,250,000","2001","20011001","environment-related offenses","environmental violation","","Northern Illinois Gas Co. agreed to pay $2.25 million in settlement of allegations that improper replacement of some gas meters and regulators caused mercury contamination.","state","agency action","Illinois Attorney General","civil","","","","","","Illinois","","","","","","USA","Georgia","publicly traded","SO","utilities and power generation","utilities","https://web.archive.org/web/20020818074127/http://www.ag.state.il.us/pressrelease/101001.htm",""
"Alabama Power Company","Southern Company","$35,000","$0","$35,000","2020","20201217","environment-related offenses","environmental violation","","air quality violation","state","agency action","Alabama Department of Environmental Management","civil","","","21-015-CAP","","","Alabama","","","","","","USA","Georgia","publicly traded","SO","utilities and power generation","utilities","http://adem.alabama.gov/compInfo/2021orders.pdf",""
"Alabama Power Company","Southern Company","$50,000","$0","$50,000","2019","20191206","environment-related offenses","environmental violation","","Surface Water","state","agency action","Alabama Department of Environmental Management","civil","","","20-023-CWP","","","Alabama","","","","","","USA","Georgia","publicly traded","SO","utilities and power generation","utilities","http://adem.alabama.gov/compInfo/2020orders.pdf",""
"Alabama Power Company","Southern Company","$250,000","$0","$250,000","2019","20190827","environment-related offenses","environmental violation","","Groundwater","state","agency action","Alabama Department of Environmental Management","civil","","","19-104-GW","","","Alabama","","","","","","USA","Georgia","publicly traded","SO","utilities and power generation","utilities","http://adem.alabama.gov/compInfo/2019orders.pdf",""
"Alabama Power Company","Southern Company","$250,000","$0","$250,000","2018","20180815","environment-related offenses","environmental violation","","Ground Water  (James H. Miller, Jr.)","state","agency action","Alabama Department of Environmental Management","civil","","","18-098-GW","","","Alabama","","","","","","USA","Georgia","publicly traded","SO","utilities and power generation","utilities","http://adem.alabama.gov/compInfo/2018orders.pdf",""
"Alabama Power Company","Southern Company","$250,000","$0","$250,000","2018","20180815","environment-related offenses","environmental violation","","Ground Water (Gaston)","state","agency action","Alabama Department of Environmental Management","civil","","","18-095-GW","","","Alabama","","","","","","USA","Georgia","publicly traded","SO","utilities and power generation","utilities","http://adem.alabama.gov/compInfo/2018orders.pdf",""
"Alabama Power Company","Southern Company","$250,000","$0","$250,000","2018","20180815","environment-related offenses","environmental violation","","Ground Water (Greene County Electric)","state","agency action","Alabama Department of Environmental Management","civil","","","18-097-GW","","","Alabama","","","","","","USA","Georgia","publicly traded","SO","utilities and power generation","utilities","http://adem.alabama.gov/compInfo/2018orders.pdf",""
"Alabama Power Company","Southern Company","$250,000","$0","$250,000","2018","20180815","environment-related offenses","environmental violation","","Ground Water (James M. Barry)","state","agency action","Alabama Department of Environmental Management","civil","","","18-094-GW","","","Alabama","","","","","","USA","Georgia","publicly traded","SO","utilities and power generation","utilities","http://adem.alabama.gov/compInfo/2018orders.pdf",""
"Alabama Power Company","Southern Company","$250,000","$0","$250,000","2018","20180815","environment-related offenses","environmental violation","","Ground Water (William C. Gorgas)","state","agency action","Alabama Department of Environmental Management","civil","","","18-096-GW","","","Alabama","","","","","","USA","Georgia","publicly traded","SO","utilities and power generation","utilities","http://adem.alabama.gov/compInfo/2018orders.pdf",""
"Alabama Power Company","Southern Company","$35,000","$0","$35,000","2015","20151006","environment-related offenses","environmental violation","","Air Program (Gorgas Steam Electric Generating Plant)","state","agency action","Alabama Department of Environmental Management","civil","","","16-002-CAP","","","Alabama","","","","","","USA","Georgia","publicly traded","SO","utilities and power generation","utilities","http://adem.alabama.gov/compInfo/2016orders.pdf",""
"GULF POWER COMPANY","Southern Company","$7,500","$0","$7,500","2020","20200522","environment-related offenses","environmental violation","","industrial waste violation","state","agency action","Florida Department of Environmental Protection","civil","","","200217","","","Florida","","","","","","USA","Georgia","publicly traded","SO","utilities and power generation","utilities","Contained in a spreadsheet received from the agency on October 2, 2020 in response to an open records request. The spreadsheet included data from  the agency's Oculus database, which can be searched at https://prodenv.dep.state.fl.us/DepNexus/public/searchPortal","Case number is the designation given by the DEP's Office of General Counsel."
