"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Spectro Alloys","Spectro Alloys","$500,000","$500,000","$0","2012","20120607","environment-related offenses","environmental violation","","Spectro Alloys Corporation, a Minnesota company that operates a secondary aluminum processing facility in Rosemount, Minnesota, pleaded guilty to two counts of violating the federal false statements statute. The plea related to Spectro's failure to disclose violations of limits placed on its emissions of hazardous air pollutants under the Clean Air Act. Spectro pled guilty to both counts and was sentenced to 24 months probation, pay a criminal fine of $500,000 and develop, implement, and maintain procedures to ensure complete and accurate reporting in the future. ","federal","agency action","Environmental Protection Agency","criminal","","","","","","Minnesota","","","","","","USA","Minnesota","privately held","","metals","aluminum recycling","http://cfpub.epa.gov/compliance/criminal_prosecution/index.cfm?action=3&prosecution_summary_id=2312&searchParams=M5%2C%3A%2FXT%2A%5CCYZ%40O%3B%20W_%2AYN5%5E%3EK99%2A%29W%3CU%3FV%23DH%5BZ8%257TRPH%3BJQH%229%3FD%3C%26Z%40CY%26%0AM7EFH%21%25%21%3A%23%3DV%40%3A%2A_%3AB8%2A%5DR%3BB%25%5E9%5B2D%22I2JU65NEY7M%21-U%40%2B8%22J%29Y%23%24LNJ%40DX%24%0A%2F5YJ%3EP%27O_K04_G%5C%3E%290M8%2F%0A","Note: This penalty is a duplicate of an amount shown in another record (either because it applies to a multi-location settlement or because Violation Tracker contains an agency record and a settlement announcement for the same case)."
"SPECTRO ALLOYS CORPORATION","Spectro Alloys","$55,500","$0","$55,500","2008","20081024","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Minnesota","ROSEMOUNT","13220 DOYLE PATH","55068","331314","331314: Secondary Smelting and Alloying of Aluminum","USA","Minnesota","privately held","","metals","aluminum recycling","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Spectro Alloys Corp.","Spectro Alloys","$161,000","$0","$161,000","2016","20160512","environment-related offenses","environmental violation","","Hazardous Waste, Industrial Stormwater","state","agency action","Minnesota Pollution Control Agency","civil","","","PEN20160001","","","Minnesota","Rosemount","","","","","USA","Minnesota","privately held","","metals","aluminum recycling","Contained in data received from the agency on October 14, 2020 in response to an open records request. ",""
"Spectro Alloys Corporation","Spectro Alloys","$1,110,000","$0","$1,110,000","2021","20210517","environment-related offenses","environmental violation","","U.S. Environmental Protection Agency announced a settlement requiring Spectro Alloys Corporation to upgrade air pollution control equipment to reduce air emissions at the company's facility in Rosemount, Minnesota. The upgrades, which EPA estimates will cost at least $1 million to install, will help protect the environment and public health in the surrounding area by reducing air emissions. The company has also agreed to pay a $110,000 civil penalty to resolve its alleged violations of the Clean Air Act.","federal","agency action","Environmental Protection Agency referral to the Justice Department","civil","","","","","","Minnesota","","","","","","USA","Minnesota","privately held","","metals","aluminum recycling","https://www.epa.gov/newsreleases/epa-settlement-spectro-alloys-will-reduce-air-pollution-minnesota",""
"SPECTRO ALLOYS CORPORATION","Spectro Alloys","$21,000","$0","$21,000","2015","20151229","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Minnesota","ROSEMOUNT","13220 DOYLE PATH","55068","331314","331314: Secondary Smelting and Alloying of Aluminum","USA","Minnesota","privately held","","metals","aluminum recycling","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Spectro Alloys Corporation","Spectro Alloys","$199,058","$0","$199,058","2005","20050325","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","05-2004-3944","","","Minnesota","ROSEMOUNT","13220 DOYLE PATH E","55068-2510","331314","331314: Secondary Smelting and Alloying of Aluminum","USA","Minnesota","privately held","","metals","aluminum recycling","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"SPECTRO ALLOYS CORPORATION","Spectro Alloys","$70,923","$0","$70,923","2007","20070921","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","05-2007-2735","","","Minnesota","ROSEMOUNT","13220 DOYLE PATH E","55068-2510","331314","331314: Secondary Smelting and Alloying of Aluminum","USA","Minnesota","privately held","","metals","aluminum recycling","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"SPECTRO ALLOYS","Spectro Alloys","$600,000","$0","$600,000","2012","20120607","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","05-2009-2709","","","","","","","","","USA","Minnesota","privately held","","metals","aluminum recycling","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"SPECTRO ALLOYS CORPORATION","Spectro Alloys","$52,588","$0","$52,588","2013","20130926","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","05-2013-5056","","","Minnesota","ROSEMOUNT","13220 DOYLE PATH E","55068-2510","331314","331314: Secondary Smelting and Alloying of Aluminum","USA","Minnesota","privately held","","metals","aluminum recycling","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"SPECTRO ALLOYS","Spectro Alloys","$27,400","$0","$27,400","2018","20180718","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","05-2018-5016","","","Minnesota","ROSEMOUNT","13220 DOYLE PATH E","55068-2510","331314","331314: Secondary Smelting and Alloying of Aluminum","USA","Minnesota","privately held","","metals","aluminum recycling","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
