"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"SALTON TOASTMASTER LOGISTICS, LLC","Spectrum Brands Holdings","$8,522","$0","$8,522","2002","20020319","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","North Carolina","LAURINBURG","17160 PLANT ROAD","28352","000000","","USA","Wisconsin","publicly traded","SPB","housewares and home furnishings","hardware","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SALTON INC.","Spectrum Brands Holdings","$5,150","$0","$5,150","2003","20030821","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","REDLANDS","2301 W SAN BERNARDINO AVE","92374","493110","493110: General Warehousing and Storage","USA","Wisconsin","publicly traded","SPB","housewares and home furnishings","hardware","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Spectrum Brands Inc.","Spectrum Brands Holdings","$1,900,000","$0","$1,900,000","2017","20171004","safety-related offenses","product safety violation","","A federal court in Madison, Wisconsin, ordered Spectrum Brands Inc., a large consumer products distributor, to pay $1.9 million in civil penalties for failing to timely report dangerously defective Black & Decker SpaceMaker coffee carafes and for continuing to distribute the carafes following a recall.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Wisconsin","publicly traded","SPB","housewares and home furnishings","hardware","https://www.justice.gov/opa/pr/spectrum-brands-ordered-pay-civil-penalty-failure-report-and-post-recall-sales-defective",""
"SPECTRUM BRANDS","Spectrum Brands Holdings","$10,000","$0","$10,000","2011","20110607","safety-related offenses","aviation safety violation","","hazardous materials shipping","federal","agency action","Federal Aviation Administration","civil","","","2006WP700109","","","","","","","","","USA","Wisconsin","publicly traded","SPB","housewares and home furnishings","hardware","from a spreadsheet posted on the FAA website at https://www.faa.gov/about/office_org/headquarters_offices/ash/ash_programs/hazmat/compliance_enforcement/",""
"Salton Inc.","Spectrum Brands Holdings","$8,200,000","$0","$8,200,000","2002","20020906","competition-related offenses","price-fixing or anti-competitive practices","","Salton Inc. agreed to pay $8.2 million to settle multistate litigation alleging anti-competitive practices involved the sale of its George Foreman grills.","state","agency action","Multistate Attorneys General Case","civil","","","","","","","","","","","","USA","Wisconsin","publicly traded","SPB","housewares and home furnishings","hardware","https://www.oag.ca.gov/news/press-releases/attorney-general-lockyer-announces-multi-state-settlement-over-alleged-price",""
"United Industries Corporation","Spectrum Brands Holdings","$100,000","$0","$100,000","2005","20050401","environment-related offenses","environmental violation","","air pollution violation","state","agency action","California Air Resources Board","civil","","","","","","California","","","","","","USA","Wisconsin","publicly traded","SPB","housewares and home furnishings","hardware","https://ww2.arb.ca.gov/united-industries-corporation-settlement",""
"United Industries Corporation","Spectrum Brands Holdings","$12,414","$0","$12,414","2015","20150902","environment-related offenses","environmental violation","","pesticide violation","state","agency action","California Department of Pesticide Regulation","civil","","","","","","California","","","","","","USA","Wisconsin","publicly traded","SPB","housewares and home furnishings","hardware","https://www.cdpr.ca.gov/docs/mill/actions/fines.htm",""
"United Industries Corporation","Spectrum Brands Holdings","$14,000","$0","$14,000","2012","20120227","environment-related offenses","environmental violation","","pesticide violation","state","agency action","California Department of Pesticide Regulation","civil","","","","","","California","","","","","","USA","Wisconsin","publicly traded","SPB","housewares and home furnishings","hardware","Contained in data obtained from the agency on October 6, 2020 in response to an open records request. ",""
"United Industries Corp.","Spectrum Brands Holdings","$75,000","$0","$75,000","2006","20060221","environment-related offenses","environmental violation","","pesticide violation","state","agency action","California Department of Pesticide Regulation","civil","","","","","","California","","","","","","USA","Wisconsin","publicly traded","SPB","housewares and home furnishings","hardware","Contained in data obtained from the agency on October 6, 2020 in response to an open records request. ",""
"SPECTRUM BRANDS, INC.","Spectrum Brands Holdings","$9,100","$0","$9,100","2007","20070810","environment-related offenses","environmental violation","","air quality violation","state","agency action","Florida Department of Environmental Protection","civil","","","71173","","","Florida","","","","","","USA","Wisconsin","publicly traded","SPB","housewares and home furnishings","hardware","Contained in a spreadsheet received from the agency on October 2, 2020 in response to an open records request. The spreadsheet included data from  the agency's Oculus database, which can be searched at https://prodenv.dep.state.fl.us/DepNexus/public/searchPortal","Case number is the designation given by the DEP's Office of General Counsel."
"United Industries Corporation","Spectrum Brands Holdings","$95,000","$0","$95,000","2021","20210727","environment-related offenses","environmental violation","","hazardous waste violations","federal","agency action","Environmental Protection Agency","civil","","","","","","Missouri","Vinita Park","","","","","USA","Wisconsin","publicly traded","SPB","housewares and home furnishings","hardware","https://www.epa.gov/newsreleases/epa-penalizes-manufacturers-kansas-missouri-and-iowa-alleged-hazardous-waste",""
"SPECTRUM BRANDS CORPORATION","Spectrum Brands Holdings","$8,873","$0","$8,873","2018","20180130","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Missouri","BRIDGETON","13260 CORPORATE EXCHANGE DRIVE","63044","311119","311119: Other Animal Food Manufacturing","USA","Wisconsin","publicly traded","SPB","housewares and home furnishings","hardware","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SPECTRUM BRANDS - BRIDGETON","Spectrum Brands Holdings","$20,819","$0","$20,819","2020","20200916","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Missouri","BRIDGETON","13260 CORPORATE EXCHANGE DRIVE","63044","311119","311119: Other Animal Food Manufacturing","USA","Wisconsin","publicly traded","SPB","housewares and home furnishings","hardware","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Spectrum Brands, Inc.","Spectrum Brands Holdings","$6,500","$0","$6,500","2006","20060412","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","05-2006-0069","","","Missouri","ST. LOUIS","2150 SCHUETZ RD","63146","","","USA","Wisconsin","publicly traded","SPB","housewares and home furnishings","hardware","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"United Industries Corporation d/b/a Spectrum Brand","Spectrum Brands Holdings","$6,500","$0","$6,500","2008","20080424","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","05-2008-0053","","","Missouri","BRIDGETON","13870 CORPORATE WOODS TRAIL","63044","","","USA","Wisconsin","publicly traded","SPB","housewares and home furnishings","hardware","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
