"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Steel Dynamics, Inc.","Steel Dynamics Inc.","$3,475,000","$0","$3,475,000","2021","20210302","environment-related offenses","environmental violation","","Clean Water Act","federal","agency action","Environmental Protection Agency referral to the Justice Department","civil","","","","","","Indiana","Butler","","","","","USA","Indiana","publicly traded","STLD","metals","steel","https://www.epa.gov/newsreleases/epa-settlement-steel-dynamics-inc-will-reduce-air-pollution-butler-indiana",""
"OmniSource Corporation","Steel Dynamics Inc.","$8,800","$0","$8,800","2010","20100125","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","08-CA-38019-001","","","Ohio","Lima","","45804","423930","423930: Recyclable Material Merchant Wholesalers","USA","Indiana","publicly traded","STLD","metals","steel","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"OMNISOURCE CORP.","Steel Dynamics Inc.","$7,300","$0","$7,300","2009","20091112","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","LIMA","1610 E. 4TH ST.","45802","423930","423930: Recyclable Material Merchant Wholesalers","USA","Indiana","publicly traded","STLD","metals","steel","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"STEEL DYNAMICS","Steel Dynamics Inc.","$72,000","$0","$72,000","2009","20090810","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Indiana","JEFFERSONVILLE","5134 LOOP RD.","47137","331111","331111: Iron and Steel Mills","USA","Indiana","publicly traded","STLD","metals","steel","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"NEW PROCESS STEEL, L.P.","Steel Dynamics Inc.","$37,800","$0","$37,800","2009","20090406","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","HOUSTON","5800 WESTVIEW DR.","77055","331221","331221: Rolled Steel Shape Manufacturing","USA","Indiana","publicly traded","STLD","metals","steel","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"NEW MILLENNIUM BUILDING SYSTEMS","Steel Dynamics Inc.","$7,000","$0","$7,000","2008","20080319","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Virginia","SALEM","100 DIUGUIDS LANE","24153","332312","332312: Fabricated Structural Metal Manufacturing","USA","Indiana","publicly traded","STLD","metals","steel","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"OMNISOURCE CORP.","Steel Dynamics Inc.","$13,400","$0","$13,400","2008","20081002","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","MANSFIELD","1500 OLD BOWMAN RD.","44906","423930","423930: Recyclable Material Merchant Wholesalers","USA","Indiana","publicly traded","STLD","metals","steel","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ROANOKE ELECTRIC STEEL CORP.","Steel Dynamics Inc.","$17,500","$0","$17,500","2005","20050525","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Virginia","ROANOKE","102 WESTSIDE BLVD.","24017","331111","331111: Iron and Steel Mills","USA","Indiana","publicly traded","STLD","metals","steel","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ROANOKE ELECTRIC STEEL CORP.","Steel Dynamics Inc.","$10,200","$0","$10,200","2005","20050501","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Virginia","ROANOKE","102 WESTSIDE BLVD.","24017","331112","331112: Electrometallurgical Ferroalloy Product Manufacturing","USA","Indiana","publicly traded","STLD","metals","steel","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SEVERCORR LLC","Steel Dynamics Inc.","$11,450","$0","$11,450","2007","20070213","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Mississippi","COLUMBUS","100 INDUSTRIAL PARK ROAD","39701","331111","331111: Iron and Steel Mills","USA","Indiana","publicly traded","STLD","metals","steel","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ROANOKE ELECTRIC STEEL CORP.","Steel Dynamics Inc.","$9,500","$0","$9,500","2004","20041228","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Virginia","ROANOKE","102 WESTSIDE BLVD.","24017","331111","331111: Iron and Steel Mills","USA","Indiana","publicly traded","STLD","metals","steel","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
