"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"STEINWAY & SONS INC","Steinway Musical Instruments","$6,300","$0","$6,300","2010","20100222","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","LONG ISLAND CITY","1 STEINWAY PLACE","11105","339992","339992: Musical Instrument Manufacturing","USA","Massachusetts","privately held","","miscellaneous manufacturing","musical instruments","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"THE O.S. KELLY COMPANY","Steinway Musical Instruments","$23,890","$0","$23,890","2008","20080129","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","SPRINGFIELD","318 E. NORTH ST.","45503","331511","331511: Iron Foundries","USA","Massachusetts","privately held","","miscellaneous manufacturing","musical instruments","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"THE O.S. KELLY COMPANY","Steinway Musical Instruments","$6,200","$0","$6,200","2005","20051004","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","SPRINGFIELD","318 E. NORTH ST.","45503","331511","331511: Iron Foundries","USA","Massachusetts","privately held","","miscellaneous manufacturing","musical instruments","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"THE O.S. KELLY COMPANY","Steinway Musical Instruments","$8,800","$0","$8,800","2005","20051004","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","SPRINGFIELD","318 E. NORTH ST.","45503","331511","331511: Iron Foundries","USA","Massachusetts","privately held","","miscellaneous manufacturing","musical instruments","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CONN SELMER INC.","Steinway Musical Instruments","$11,340","$0","$11,340","2003","20030528","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","EASTLAKE","34199 CURTIS BLVD.","44095","332439","332439: Other Metal Container Manufacturing","USA","Massachusetts","privately held","","miscellaneous manufacturing","musical instruments","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SELMER COMPANY","Steinway Musical Instruments","$7,525","$0","$7,525","2001","20010918","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Indiana","ELKHART","500 INDUSTRIAL PARKWAY","46516","000000","","USA","Massachusetts","privately held","","miscellaneous manufacturing","musical instruments","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Conn-Selmer Inc.","Steinway Musical Instruments","$150,000","$0","$150,000","2010","20101015","environment-related offenses","environmental violation","","","state","agency action","Arizona Department of Environmental Quality","civil","","","","","","Arizona","Nogales","","","","","USA","Massachusetts","privately held","","miscellaneous manufacturing","musical instruments","https://legacy.azdeq.gov/function/news/2010/download/101510.pdf",""
"CONN SELMER INC VINCENT BACH DIV","Steinway Musical Instruments","$224,900","$0","$224,900","2001","20010315","environment-related offenses","environmental violation","","air pollution violation","state","agency action","Indiana Department of Environmental Management","civil","","","","","","Indiana","Elkhart","","","","","USA","Massachusetts","privately held","","miscellaneous manufacturing","musical instruments","http://www.in.gov/idem/oe/cause/AO/3508-A.htm",""
"CONN-SELMER, INC.","Steinway Musical Instruments","$8,625","$0","$8,625","2010","20100127","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Indiana","ELKHART","500 INDUSTRIAL PARKWAY","46514","339992","339992: Musical Instrument Manufacturing","USA","Massachusetts","privately held","","miscellaneous manufacturing","musical instruments","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CONN-SELMER, INC.","Steinway Musical Instruments","$14,200","$0","$14,200","2014","20140930","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","North Carolina","MONROE","2806 MASON STREET","28110","339992","339992: Musical Instrument Manufacturing","USA","Massachusetts","privately held","","miscellaneous manufacturing","musical instruments","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
