"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Stella-Jones Corporation","Stella-Jones","$24,800","$0","$24,800","2014","20140612","environment-related offenses","environmental violation","","Hazardous Waste","state","agency action","Alabama Department of Environmental Management","civil","","","14-072-CHW","","","Alabama","","","","","","Canada","","publicly traded","","building materials","wood products","http://adem.alabama.gov/compInfo/2014orders.pdf",""
"Stella-Jones Corporation","Stella-Jones","$16,000","$0","$16,000","2012","20121214","environment-related offenses","environmental violation","","Hazardous Waste","state","agency action","Alabama Department of Environmental Management","civil","","","13-027-CHW","","","Alabama","","","","","","Canada","","publicly traded","","building materials","wood products","http://adem.alabama.gov/compInfo/2013orders.pdf",""
"Stella-Jones Corp.","Stella-Jones","$7,150","$0","$7,150","2014","20141110","environment-related offenses","environmental violation","","hazardous waste violation","state","agency action","Arkansas Division of Environmental Quality","civil","","","","","","Arkansas","","","","","","Canada","","publicly traded","","building materials","wood products","https://www.adeq.state.ar.us/downloads/Communications/Enforcement_Actions/2014-11-10_Notice_of_Enforcement_Actions.pdf",""
"STELLA-JONES CORP","Stella-Jones","$11,835","$0","$11,835","2015","20150914","environment-related offenses","environmental violation","","wastewater violation","state","agency action","Indiana Department of Environmental Management","civil","","","","","","Indiana","Winslow","","","","","Canada","","publicly traded","","building materials","wood products","http://www.in.gov/idem/oe/cause/AO/22987-W.htm",""
"STELLA-JONES CORPORATION","Stella-Jones","$100,000","$0","$100,000","2013","20130513","environment-related offenses","environmental violation","","air quality violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","DAQ -33591","","","Kentucky","","","","","","Canada","","publicly traded","","building materials","wood products","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"Stella-Jones Corp.","Stella-Jones","$10,000","$0","$10,000","2019","20190111","environment-related offenses","environmental violation","","","state","agency action","Louisiana Department of Environmental Quality","civil","","","","","","Louisiana","Alexandria","","","","","Canada","","publicly traded","","building materials","wood products","https://deq.louisiana.gov/assets/docs/General/Settlement_Agreements/2018/Stella0026_Final.pdf",""
"STELLA-JONES CORPORATION","Stella-Jones","$7,331","$0","$7,331","2011","20111003","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Alabama","MOUNT MEIGS","1658 OHIO FERRO ROAD","36057","321999","321999: All Other Miscellaneous Wood Product Manufacturing","Canada","","publicly traded","","building materials","wood products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"STELLA-JONES CORPORATION","Stella-Jones","$94,700","$0","$94,700","2011","20110912","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Alabama","WARRIOR","1641 ALABAMA HIGHWAY 160","35180","321114","321114: Wood Preservation","Canada","","publicly traded","","building materials","wood products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"STELLA-JONES CORPORATION","Stella-Jones","$11,400","$0","$11,400","2012","20120621","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Alabama","WARRIOR","1641 ALABAMA HIGHWAY 160","35180","321114","321114: Wood Preservation","Canada","","publicly traded","","building materials","wood products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"STELLA-JONES CORPORATION","Stella-Jones","$5,000","$0","$5,000","2015","20150901","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Alabama","CLANTON","100 MCKINNEY DRIVE","35045","333210","333210: Sawmill and Woodworking Machinery Manufacturing","Canada","","publicly traded","","building materials","wood products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"STELLA-JONES CORPORATION","Stella-Jones","$6,525","$0","$6,525","2021","20210927","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Tennessee","SAVANNAH","11460 HWY 69","38372","321113","321113: Sawmills","Canada","","publicly traded","","building materials","wood products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"STELLA - JONES CORPORATION","Stella-Jones","$19,624","$0","$19,624","2010","20100524","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","03-2010-0253","","","West Virginia","REEDY","3424 PARKERSBURG RD","25270","321114","321114: Wood Preservation","Canada","","publicly traded","","building materials","wood products","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
