"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Glenwood Regional Medical Center","Steward Health Care","$25,284","$0","$25,284","2006","20060429","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1402704","","","Louisiana","West Monroe","","71291","622210","622210: Psychiatric and Substance Abuse Hospitals","USA","Texas","privately held","","healthcare services","hospitals (for-profit)","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"IASIS Health Care Corporation","Steward Health Care","$26,578","$0","$26,578","2005","20050331","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1394404","","","Utah","Layton","","84041","423450","423450: Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers","USA","Texas","privately held","","healthcare services","hospitals (for-profit)","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"IASIS Healthcare","Steward Health Care","$7,461","$0","$7,461","2005","20050218","employment-related offenses","Family and Medical Leave Act","","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1390453","","","Arizona","Tempe","","85281","9660","","USA","Texas","privately held","","healthcare services","hospitals (for-profit)","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"IASIS Healthcare Corporation","Steward Health Care","$1,500,000","$0","$1,500,000","2015","20151030","government-contracting-related offenses","False Claims Act and related","","The Department of Justice reached 70 settlements involving 457 hospitals in 43 states for more than $250 million related to cardiac devices that were implanted in Medicare patients in violation of Medicare coverage requirements.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Texas","privately held","","healthcare services","hospitals (for-profit)","https://www.justice.gov/opa/pr/nearly-500-hospitals-pay-united-states-more-250-million-resolve-false-claims-act-allegations",""
"IASIS Healthcare Corporation","Steward Health Care","$318,035","$0","$318,035","2013","20131119","healthcare-related offenses","HHS civil monetary penalties","","IASIS Healthcare Corporation agreed to pay $318,035.40 for allegedly violating the Civil Monetary Penalties Law by employing three individuals that it knew or should have known were excluded from participation in Federal health care programs.","federal","agency action","Health & Human Services Department Office of Inspector General","civil","","","","","","Utah","","","","","","USA","Texas","privately held","","healthcare services","hospitals (for-profit)","https://oig.hhs.gov/fraud/enforcement/cmp/cmp-ae.asp",""
"Iasis Healthcare Corporation d/b/a/ Iasis, Mountain Vista Medical Center","Steward Health Care","$8,403","$0","$8,403","2010","20101203","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","28-CA-22954-001","","","Arizona","Mesa","","85209","622110","622110: General Medical and Surgical Hospitals","USA","Texas","privately held","","healthcare services","hospitals (for-profit)","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"IASIS, Mountain Vista Medical Center","Steward Health Care","$8,073","$0","$8,073","2009","20090112","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","28-CA-21907-001","","","Arizona","Mesa","","85209-3767","622110","622110: General Medical and Surgical Hospitals","USA","Texas","privately held","","healthcare services","hospitals (for-profit)","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Steward Healtcare System","Steward Health Care","$8,337","$0","$8,337","2012","20121006","employment-related offenses","Family and Medical Leave Act","","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1663987","","","Massachusetts","Brockton","","02301","62211","62211: General Medical and Surgical Hospitals","USA","Texas","privately held","","healthcare services","hospitals (for-profit)","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"St. Elizabeth's Medical Center","Steward Health Care","$218,400","$0","$218,400","2015","20150710","consumer-protection-related offenses","privacy violation","","","federal","agency action","Health & Human Services Department Office for Civil Rights","civil","","","","","","Massachusetts","","","","","","USA","Texas","privately held","","healthcare services","hospitals (for-profit)","https://www.hhs.gov/hipaa/for-professionals/compliance-enforcement/examples/semc/index.html",""
"STEWARD CARNEY HOSPITAL INC","Steward Health Care","$6,610","$0","$6,610","2011","20110510","environment-related offenses","environmental violation","","","state","agency action","Massachusetts Executive Office of Energy and Environmental Affairs","civil","","","","","","Massachusetts","Boston","","","","","USA","Texas","privately held","","healthcare services","hospitals (for-profit)","https://eeaonline.eea.state.ma.us/Portal/#!/search/enforcements/results?FacilityName=STEWARD CARNEY HOSPITAL INC DBA","Captured from records in EEA database with basic enforcement information; may not include full details of penalties."
