"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Stifel Nicolaus & Co.","Stifel Financial","$60,000","$0","$60,000","2014","20141103","financial offenses","investor protection violation","","The SEC sanctioned 13 firms for violating a rule primarily designed to protect retail investors in the municipal securities market. In its surveillance of trading in the municipal bond market, the SEC Enforcement Division's Municipal Securities and Public Pensions Unit detected improper sales below a $100,000 minimum denomination set in a $3.5 billion offering of junk bonds by the Commonwealth of Puerto Rico.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","Missouri","publicly traded","SF","financial services","financial services","https://www.sec.gov/News/PressRelease/Detail/PressRelease/1370543350368",""
"Stifel, Nicolaus & Co., Inc.","Stifel Financial","$24,500,000","$0","$24,500,000","2016","20161207","financial offenses","investor protection violation","securities issuance or trading violation","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","Missouri","publicly traded","SF","financial services","financial services","https://www.sec.gov/litigation/litreleases/2016/lr23700.htm",""
"Stifel, Nicolaus & Company, Inc.","Stifel Financial","$500,000","$0","$500,000","2015","20150618","financial offenses","investor protection violation","securities issuance or trading violation","The SEC announced enforcement actions against 36 municipal underwriting firms for violations in municipal bond offerings.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","Missouri","publicly traded","SF","financial services","financial services","https://www.sec.gov/news/pressrelease/2015-125.html",""
"Thomas Weisel Partners LLC","Stifel Financial","$12,500,000","$0","$12,500,000","2004","20040826","financial offenses","investor protection violation","","The SEC, the North American Securities Administrators Association, NASD Inc., the New York Stock Exchange and state securities regulators announced that Thomas Weisel Partners LLC would pay $12.5 million to settle allegations that its investment banking interests had undue influence on its securities research. ","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","Missouri","publicly traded","SF","financial services","financial services","https://www.sec.gov/news/press/2004-120.htm",""
"Stifel, Nicolaus & Company, Incorporated","Stifel Financial","$300,000","$0","$300,000","2017","20170313","financial offenses","investor protection violation","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","Missouri","publicly traded","SF","financial services","financial services","https://www.sec.gov/litigation/admin/2017/ia-4665.pdf",""
"Stifel and Nicolaus & Company, Incorporated","Stifel Financial","$6,037,175","$0","$6,037,175","2019","20190311","financial offenses","investor protection violation","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","Missouri","publicly traded","SF","financial services","financial services","https://www.sec.gov/litigation/admin/2019/ia-5189.pdf",""
"Stifel, Nicolaus & Co., Inc.","Stifel Financial","$2,700,000","$0","$2,700,000","2019","20190916","financial offenses","investor protection violation","","Stifel, Nicolaus & Co., Inc. agreed to pay $2.7 million to settle allegations of providing incomplete and inaccurate securities trading information to the SEC. ","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","Missouri","publicly traded","SF","financial services","financial services","https://www.sec.gov/news/press-release/2019-177",""
"Thomas Weisel Partners LLC","Stifel Financial","$52,480","$0","$52,480","2006","20060405","financial offenses","investor protection violation","","","state","agency action","Connecticut Securities and Business Investments Division","civil","","","","","","Connecticut","","","","","","USA","Missouri","publicly traded","SF","financial services","financial services","https://portal.ct.gov/DOB/Enforcement/Securities-Orders-2/Thomas-Weisel-Partners---Consent-Order",""
"Stifel, Nicolaus & Company, Inc.","Stifel Financial","$80,224","$0","$80,224","2011","20110521","financial offenses","investor protection violation","","","state","agency action","Illinois Secretary of State-Securities","civil","","","","","","Illinois","","","","","","USA","Missouri","publicly traded","SF","financial services","financial services","https://www.ilsos.gov/adminactionssearch/adminactionssearch?command=viewPDF&itemId=92%203%20ICM7%20PRODCMZ13%20SE_AA_MgtView59%2026%20A1001001A13A15B42741H2194718%20A13A15B42741H219471%2014%201051",""
"Stifel, Nicolaus & Company, Inc.","Stifel Financial","$211,617","$0","$211,617","2010","20100310","financial offenses","investor protection violation","","","state","agency action","Missouri Secretary of State-Securities","civil","","","","","","Missouri","","","","","","USA","Missouri","publicly traded","SF","financial services","financial services","https://www.sos.mo.gov/cmsimages/securities/orders/AP-10-03.pdf",""
