"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Boston Market Corporation","Sun Capital Partners","$7,553","$0","$7,553","2008","20080915","employment-related offenses","wage and hour violation","child labor or youth employment violation","child labor penalties included","federal","agency action","Labor Department Wage and Hour Division","civil","","","1524251","","","Ohio","Maumee","","43537","722211","722211: Limited-Service Restaurants","USA","Florida","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"FRIENDLY'S ICE CREAM UNIT 0922","Sun Capital Partners","$14,400","$0","$14,400","2007","20070508","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Connecticut","STORRS","1232 STORRS ROAD","06268","722110","722110: Full-Service Restaurants","USA","Florida","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Boston Market","Sun Capital Partners","$11,500","$0","$11,500","2009","20090126","employment-related offenses","wage and hour violation","child labor or youth employment violation","","state","agency action","California Labor Commissioner's Office","civil","","","35-71995","","","California","","","","","","USA","Florida","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Contained in data obtained on August 17, 2017 in response to an open records request. ",""
"Friendly's Ice Cream, LLC","Sun Capital Partners","$3,535,000","$0","$3,535,000","2017","20170131","employment-related offenses","wage and hour violation","","off-the-clock work","federal","private litigation","","civil","","Middle District of Pennsylvania","15-cv-00298","Zartman v. Friendly's Ice Cream, LLC","settlement","","","","","","","USA","Florida","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.law360.com/articles/851111/friendly-s-agrees-to-pay-4-6m-in-servers-wage-dispute",""
"Boston Market","Sun Capital Partners","$3,000,000","$0","$3,000,000","2012","20120420","employment-related offenses","wage and hour violation","","overtime violation","federal","private litigation","","civil","","District of Connecticut","10-cv-0004","Alli v. Boston Market Corp","settlement","","","","","","","USA","Florida","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.law360.com/articles/287801/boston-market-strikes-3m-deal-in-ot-action",""
"Boston Market","Sun Capital Partners","$3,750,000","$0","$3,750,000","2006","20061010","employment-related offenses","wage and hour violation","","meal/rest break violation","federal","private litigation","","civil","","Southern District of California","05-cv-1539","Rippee, et al v. Boston Market Corp, et al","settlement","","","","","","","USA","Florida","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.bigclassaction.com/settlement/boston-market-employee-settlement.php",""
"Boston Market Corp.","Sun Capital Partners","$150,000","$0","$150,000","2005","20051005","employment-related offenses","employment discrimination","","disability","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","New York","Ronkonkoma","","","","","USA","Florida","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://web.archive.org/web/20090813022200/http://eeoc.gov/litigation/settlements/settlement10-05.html",""
"FRIENDLYS MANUFACTURING AND RETAIL LLC","Sun Capital Partners","$6,000","$0","$6,000","2017","20170710","environment-related offenses","environmental violation","","","state","agency action","Massachusetts Executive Office of Energy and Environmental Affairs","civil","","","","","","Massachusetts","Wilbraham","","","","","USA","Florida","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://eeaonline.eea.state.ma.us/Portal/#!/search/enforcements/results?FacilityName=FRIENDLYS MANUFACTURING AND RETAIL LLC","Captured from records in EEA database with basic enforcement information; may not include full details of penalties."
"Boston Market Corporation","Sun Capital Partners","$60,000","$0","$60,000","2021","20211213","employment-related offenses","child labor or youth employment violation","","","state","agency action","Massachusetts Attorney General","civil","","","","","","Massachusetts","","","","","","USA","Florida","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.mass.gov/doc/ags-fair-labor-division-enforcement",""
"BOSTON MARKET CORPORATION STORE # 672","Sun Capital Partners","$5,000","$0","$5,000","2010","20101001","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Connecticut","EAST HAVEN","96 FRONTAGE ROAD","06512","722211","722211: Limited-Service Restaurants","USA","Florida","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
