"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Suncor Energy","Suncor Energy","$230,400","$0","$230,400","2014","20140929","environment-related offenses","environmental violation","","The U.S. Environmental Protection Agency announced that Suncor Energy has agreed to pay $230,400 in penalties to resolve alleged violations of the Clean Air Act (CAA) and the Emergency Planning and Community Right-to-Know Act (EPCRA) at its Commerce City, Colo. refinery. The agreement resolves alleged violations of the risk management planning requirements of the CAA and Toxic Release Inventory reporting requirements under EPCRA.","federal","agency action","Environmental Protection Agency","civil","","","","","","Colorado","Commerce City","","","","","Canada","","publicly traded","NYSE: SU","oil and gas","oil & gas","https://archive.epa.gov/epapages/newsroom_archive/newsreleases/b76bc2968166abcd85257d620062fbdb.html",""
"Suncor Energy","Suncor Energy","$7,500","$0","$7,500","2011","20110404","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Canada","","publicly traded","NYSE: SU","oil and gas","oil & gas","https://www.fra.dot.gov/eLib/details/L01494#p1_z5_gD_lEA",""
"Suncor Energy (USA) Inc.","Suncor Energy","$5,000","$0","$5,000","2008","20080404","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Canada","","publicly traded","NYSE: SU","oil and gas","oil & gas","Taken from the Federal Railroad Administration's FY2008 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"SUNCOR ENERGY (USA), INC.","Suncor Energy","$22,900","$0","$22,900","2013","20130617","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Canada","","publicly traded","NYSE: SU","oil and gas","oil & gas","https://www.fra.dot.gov/eLib/details/L04899#p1_z5_gD_lEA",""
"SUNCOR ENERGY (USA), INC.","Suncor Energy","$15,000","$0","$15,000","2013","20131218","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Canada","","publicly traded","NYSE: SU","oil and gas","oil & gas","https://www.fra.dot.gov/eLib/details/L16190#p1_z5_gD_lEA",""
"SUNCOR ENERGY (USA), INC.","Suncor Energy","$11,200","$0","$11,200","2011","20111214","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Canada","","publicly traded","NYSE: SU","oil and gas","oil & gas","https://www.fra.dot.gov/eLib/details/L04190#p1_z5_gD_lEA",""
"SUNCOR ENERGY (USA), INC.","Suncor Energy","$8,000","$0","$8,000","2011","20111214","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Canada","","publicly traded","NYSE: SU","oil and gas","oil & gas","https://www.fra.dot.gov/eLib/details/L04190#p1_z5_gD_lEA",""
"SUNCOR ENERGY (USA), INC.","Suncor Energy","$8,000","$0","$8,000","2011","20111214","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Canada","","publicly traded","NYSE: SU","oil and gas","oil & gas","https://www.fra.dot.gov/eLib/details/L04190#p1_z5_gD_lEA",""
"SUNCOR ENERGY (USA), INC.","Suncor Energy","$8,000","$0","$8,000","2011","20111214","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Canada","","publicly traded","NYSE: SU","oil and gas","oil & gas","https://www.fra.dot.gov/eLib/details/L04190#p1_z5_gD_lEA",""
"SUNCOR ENERGY (USA), INC.","Suncor Energy","$8,000","$0","$8,000","2011","20111214","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Canada","","publicly traded","NYSE: SU","oil and gas","oil & gas","https://www.fra.dot.gov/eLib/details/L04190#p1_z5_gD_lEA",""
