"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"MEMC Electronic Materials, Inc.","SunEdison","$689,218","$0","$689,218","2005","20050218","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","14-CA-27688-001","","","Missouri","St. Peters","","63376","334111","334111: Electronic Computer Manufacturing","USA","Missouri","privately held","","electrical and electronic equipment","semiconductor materials","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"MEMC PASADENA, INC","SunEdison","$35,000","$0","$35,000","2011","20110426","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","PASADENA","1500 NORTH SOUTH STREET","77506","325998","325998: All Other Miscellaneous Chemical Product and Preparation Manufacturing","USA","Missouri","privately held","","electrical and electronic equipment","semiconductor materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MEMC PASADENA, INC.","SunEdison","$16,900","$0","$16,900","2008","20080424","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","PASADENA","3000 N SOUTH STREET","77503","325199","325199: All Other Basic Organic Chemical Manufacturing","USA","Missouri","privately held","","electrical and electronic equipment","semiconductor materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SOLAICX INC","SunEdison","$6,421","$0","$6,421","2016","20161228","environment-related offenses","environmental violation","","failure to collect monitoring data","state","agency action","Oregon Department of Environmental Quality","civil","","","2016-169","","","Oregon","","","","","","USA","Missouri","privately held","","electrical and electronic equipment","semiconductor materials","https://www.deq.state.or.us/programs/enforcement/EnfQuery.asp",""
"SOLAICX, INC.","SunEdison","$11,559","$0","$11,559","2015","20151116","environment-related offenses","environmental violation","","failure to collect monitoring data","state","agency action","Oregon Department of Environmental Quality","civil","","","2015-161","","","Oregon","","","","","","USA","Missouri","privately held","","electrical and electronic equipment","semiconductor materials","https://www.deq.state.or.us/programs/enforcement/EnfQuery.asp",""
"MEMC Pasadena, Inc.","SunEdison","$126,560","$0","$126,560","2014","20141219","environment-related offenses","environmental violation","","","state","agency action","Texas Commission on Environmental Quality","civil","","","","","","Texas","","","","","","USA","Missouri","privately held","","electrical and electronic equipment","semiconductor materials","https://www.tceq.texas.gov/assets/public/compliance/enforcement/enf_reports/AER/historical/Annual-Enforcement-Report-FY2015.pdf",""
"MEMC Pasadena, Inc.","SunEdison","$9,121","$0","$9,121","2013","20130826","environment-related offenses","environmental violation","","","state","agency action","Texas Commission on Environmental Quality","civil","","","","","","Texas","","","","","","USA","Missouri","privately held","","electrical and electronic equipment","semiconductor materials","https://www.tceq.texas.gov/assets/public/compliance/enforcement/enf_reports/AER/historical/Annual-Enforcement-Report-FY2013.pdf",""
"MEMC Pasadena, Inc.","SunEdison","$5,284","$0","$5,284","2011","20110205","environment-related offenses","environmental violation","","","state","agency action","Texas Commission on Environmental Quality","civil","","","","","","Texas","","","","","","USA","Missouri","privately held","","electrical and electronic equipment","semiconductor materials","https://www.tceq.texas.gov/assets/public/compliance/enforcement/enf_reports/AER/historical/Annual-Enforcement-Report-FY2011.pdf",""
"MEMC Pasadena, Inc.","SunEdison","$7,813","$0","$7,813","2009","20091221","environment-related offenses","environmental violation","","","state","agency action","Texas Commission on Environmental Quality","civil","","","","","","Texas","","","","","","USA","Missouri","privately held","","electrical and electronic equipment","semiconductor materials","https://www.tceq.texas.gov/assets/public/compliance/enforcement/enf_reports/AER/historical/Annual-Enforcement-Report-FY2010.pdf",""
"MEMC Pasadena, Inc.","SunEdison","$9,639","$0","$9,639","2009","20090405","environment-related offenses","environmental violation","","","state","agency action","Texas Commission on Environmental Quality","civil","","","","","","Texas","","","","","","USA","Missouri","privately held","","electrical and electronic equipment","semiconductor materials","https://www.tceq.texas.gov/assets/public/compliance/enforcement/enf_reports/AER/historical/Annual-Enforcement-Report-FY2009.pdf",""
