"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"VIVINT SOLAR DEVELOPER, LLC","Sunrun Inc.","$23,375","$0","$23,375","2012","20120926","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","BRENTWOOD","936 SAWYER WAY","94513","238220","238220: Plumbing, Heating, and Air-Conditioning Contractors","USA","California","publicly traded","RUN","utilities and power generation","solar energy","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"VIVINT SOLAR INC.","Sunrun Inc.","$5,000","$0","$5,000","2012","20121119","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Jersey","PARSIPPANY","1 IONIC AVE","07054","221114","221114: Solar Electric Power Generation","USA","California","publicly traded","RUN","utilities and power generation","solar energy","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"VIVINT SOLAR DEVELOPER LLC","Sunrun Inc.","$7,000","$0","$7,000","2013","20130329","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Jersey","LODI","570 MAIN STREET","07644","221114","221114: Solar Electric Power Generation","USA","California","publicly traded","RUN","utilities and power generation","solar energy","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"VIVINT SOLAR, INC.","Sunrun Inc.","$5,800","$0","$5,800","2014","20140804","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Massachusetts","DRACUT","79 CHEEVER AVENUE","01826","237130","237130: Power and Communication Line and Related Structures Construction","USA","California","publicly traded","RUN","utilities and power generation","solar energy","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"VIVINT SOLAR, INC.","Sunrun Inc.","$14,000","$0","$14,000","2015","20150415","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","BAY SHORE","1042 MANOR LANE","11706","221114","221114: Solar Electric Power Generation","USA","California","publicly traded","RUN","utilities and power generation","solar energy","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"VIVINT SOLAR INC","Sunrun Inc.","$5,390","$0","$5,390","2015","20150520","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Jersey","HASBROUCK HEIGHTS","227 WILLIAMS STREET","07604","221114","221114: Solar Electric Power Generation","USA","California","publicly traded","RUN","utilities and power generation","solar energy","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SUNRUN INC","Sunrun Inc.","$6,750","$0","$6,750","2015","20150609","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","WINDSOR","420 GARDEN CT","95492","237130","237130: Power and Communication Line and Related Structures Construction","USA","California","publicly traded","RUN","utilities and power generation","solar energy","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"VIVINT SOLAR","Sunrun Inc.","$5,236","$0","$5,236","2015","20150915","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","DELMAR","1 PINE STREET","12054","238990","238990: All Other Specialty Trade Contractors","USA","California","publicly traded","RUN","utilities and power generation","solar energy","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"VIVINT SOLAR, INC.","Sunrun Inc.","$50,000","$0","$50,000","2016","20161004","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Jersey","LAKEHURST","515 UNION AVENUE","08733","238990","238990: All Other Specialty Trade Contractors","USA","California","publicly traded","RUN","utilities and power generation","solar energy","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"VIVINT SOLAR","Sunrun Inc.","$11,409","$0","$11,409","2016","20161027","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","PHILADELPHIA","8023 BUIST AVE","19153","238160","238160: Roofing Contractors","USA","California","publicly traded","RUN","utilities and power generation","solar energy","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SUNRUN INC.","Sunrun Inc.","$7,252","$0","$7,252","2016","20161116","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Massachusetts","SOUTHWICK","19 PINE KNOLL ROAD","01077","221114","221114: Solar Electric Power Generation","USA","California","publicly traded","RUN","utilities and power generation","solar energy","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"VIVINT SOLAR, INC.","Sunrun Inc.","$12,675","$0","$12,675","2017","20170531","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Massachusetts","ROCKLAND","350 WEST WATER STREET","02370","237130","237130: Power and Communication Line and Related Structures Construction","USA","California","publicly traded","RUN","utilities and power generation","solar energy","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"VIVINT SOLAR, INC","Sunrun Inc.","$136,708","$0","$136,708","2017","20170518","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","PHILADELPHIA","4448 AUBREY AVE","19114","238210","238210: Electrical Contractors","USA","California","publicly traded","RUN","utilities and power generation","solar energy","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"VIVINT SOLAR DEVELOPER LLC","Sunrun Inc.","$18,000","$0","$18,000","2017","20171222","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","HESPERIA","8338 HICKORY AVE.","92345","238160","238160: Roofing Contractors","USA","California","publicly traded","RUN","utilities and power generation","solar energy","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"VIVINT SOLAR, INC","Sunrun Inc.","$12,934","$0","$12,934","2018","20180201","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Massachusetts","EAST LONGMEADOW","260 MAIN ST","01028","238160","238160: Roofing Contractors","USA","California","publicly traded","RUN","utilities and power generation","solar energy","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"VIVINT SOLAR DEVELOPER LLC","Sunrun Inc.","$5,940","$0","$5,940","2018","20180802","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Maryland","MIDDLE RIVER","1004 MEADOW GLEN ROAD","21220","238210","238210: Electrical Contractors","USA","California","publicly traded","RUN","utilities and power generation","solar energy","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"VIVINT SOLAR, INC.","Sunrun Inc.","$7,500","$0","$7,500","2018","20180807","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Massachusetts","METHUEN","6 ANDERSON DRIVE","01844","237130","237130: Power and Communication Line and Related Structures Construction","USA","California","publicly traded","RUN","utilities and power generation","solar energy","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
