"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Targa Midstream Services","Targa Resources","$7,700","$0","$7,700","2009","20091215","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Texas","publicly traded","TRGP","pipelines","pipelines","https://www.fra.dot.gov/eLib/details/L01493#p1_z5_gD_lEA",""
"TARGA RESOURCES OPERATING LLC","Targa Resources","$34,000","$0","$34,000","2013","20130102","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Texas","publicly traded","TRGP","pipelines","pipelines","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_420135001.html?nocache=4973",""
"Targa Sound Terminal","Targa Resources","$13,435","$13,435","$0","2014","20140325","environment-related offenses","environmental violation","","Five companies in Washington have agreed to correct errors in reporting hazardous chemicals as required by federal laws designed to protect communities during chemical emergencies. The companies failed to report the storage of hazardous chemicals in violation of the Emergency Planning and Community-Right-to-Know Act, according to settlements with the U.S. Environmental Protection Agency. The companies have agreed to correct the violations and pay fines.","federal","agency action","Environmental Protection Agency","civil","","","","","","Washington","Tacoma","","","","","USA","Texas","publicly traded","TRGP","pipelines","pipelines","https://archive.epa.gov/epapages/newsroom_archive/newsreleases/f2785177dcc0057085257ca600699ddc.html","Note: This penalty is a duplicate of an amount shown in another record (either because it applies to a multi-location settlement or because Violation Tracker contains an agency record and a settlement announcement for the same case)."
"TARGA MIDSTREAM SERVICES L.P.","Targa Resources","$14,000","$0","$14,000","2009","20091223","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Texas","publicly traded","TRGP","pipelines","pipelines","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_420072002.html?nocache=9535",""
"Targa Transportation, LLC","Targa Resources","$7,500","$0","$7,500","2014","20141002","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Texas","publicly traded","TRGP","pipelines","pipelines","https://www.fra.dot.gov/eLib/details/L17311#p1_z5_gD_lEA",""
"Targa Transportation, LLC","Targa Resources","$7,500","$0","$7,500","2014","20141002","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Texas","publicly traded","TRGP","pipelines","pipelines","https://www.fra.dot.gov/eLib/details/L17311#p1_z5_gD_lEA",""
"Targa Transportation, LLC","Targa Resources","$6,500","$0","$6,500","2010","20101001","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Texas","publicly traded","TRGP","pipelines","pipelines","https://www.fra.dot.gov/eLib/details/L01494#p1_z5_gD_lEA",""
"TARGA RESOURCES, INC.","Targa Resources","$16,200","$0","$16,200","2010","20100615","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","MONT BELVIEU","10119 HIGHWAY 146 NORTH","77580","486210","486210: Pipeline Transportation of Natural Gas","USA","Texas","publicly traded","TRGP","pipelines","pipelines","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Targa Midstream Services LLC","Targa Resources","$21,168","$0","$21,168","2019","20190710","environment-related offenses","environmental violation","","","state","agency action","Louisiana Department of Environmental Quality","civil","","","","","","Louisiana","","","","","","USA","Texas","publicly traded","TRGP","pipelines","pipelines","https://deq.louisiana.gov/assets/docs/General/Settlement_Agreements/2019/Targa0072_Final.pdf",""
"Targa Midstream Services LLC","Targa Resources","$95,000","$0","$95,000","2016","20160809","environment-related offenses","environmental violation","","","state","agency action","Louisiana Department of Environmental Quality","civil","","","","","","Louisiana","","","","","","USA","Texas","publicly traded","TRGP","pipelines","pipelines","https://deq.louisiana.gov/assets/docs/General/Settlement_Agreements/2016/Targa0062_Final.pdf",""
