"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"THOMAS STEEL STRIP CORP.","Tata Group","$6,000","$0","$6,000","2002","20020903","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","WARREN","200 DELAWARE AVE.","44485","000000","","India","","publicly traded","","diversified","diversified","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Tata America","Tata Group","$29,750,000","$0","$29,750,000","2013","20130718","employment-related offenses","wage and hour violation","","","federal","private litigation","","civil","","Northern District of California","06-cv-0963","Vedachalam v. Tata America International Corporation et al","settlement","","","","","","","India","","publicly traded","","diversified","diversified","https://www.law360.com/articles/417770/tata-to-pay-30m-over-workers-tax-refund-theft-claims",""
"Jaguar Land Rover","Tata Group","$14,110,470","$0","$14,110,470","2014","20141001","environment-related offenses","fuel economy (CAFE) violation","","Light Truck: 2013","federal","agency action","National Highway Traffic Safety Administration","civil","","","","","","","","","","","","India","","publicly traded","","diversified","diversified","https://one.nhtsa.gov/cafe_pic/CAFE_PIC_Fines_LIVE.html",""
"Jaguar Land Rover","Tata Group","$14,439,425","$0","$14,439,425","2013","20131201","environment-related offenses","fuel economy (CAFE) violation","","Light Truck: 2011","federal","agency action","National Highway Traffic Safety Administration","civil","","","","","","","","","","","","India","","publicly traded","","diversified","diversified","https://one.nhtsa.gov/cafe_pic/CAFE_PIC_Fines_LIVE.html",""
"Jaguar Land Rover","Tata Group","$9,819,002","$0","$9,819,002","2013","20130301","environment-related offenses","fuel economy (CAFE) violation","","Light Truck: 2012","federal","agency action","National Highway Traffic Safety Administration","civil","","","","","","","","","","","","India","","publicly traded","","diversified","diversified","https://one.nhtsa.gov/cafe_pic/CAFE_PIC_Fines_LIVE.html",""
"Jaguar Land Rover","Tata Group","$7,847,136","$0","$7,847,136","2011","20111201","environment-related offenses","fuel economy (CAFE) violation","","Light Truck: 2010","federal","agency action","National Highway Traffic Safety Administration","civil","","","","","","","","","","","","India","","publicly traded","","diversified","diversified","https://one.nhtsa.gov/cafe_pic/CAFE_PIC_Fines_LIVE.html",""
"Jaguar Land Rover","Tata Group","$3,254,900","$0","$3,254,900","2010","20101001","environment-related offenses","fuel economy (CAFE) violation","","Light Truck: 2009","federal","agency action","National Highway Traffic Safety Administration","civil","","","","","","","","","","","","India","","publicly traded","","diversified","diversified","https://one.nhtsa.gov/cafe_pic/CAFE_PIC_Fines_LIVE.html",""
"Thomas Steel Strip Corp.","Tata Group","$10,400","$0","$10,400","2003","20030825","environment-related offenses","environmental violation","","","state","agency action","Ohio Environmental Protection Agency","civil","","","","","","Ohio","Warren","","","","","India","","publicly traded","","diversified","diversified","http://edocpub.epa.ohio.gov/publicportal/ViewDocument.aspx?docid=391716",""
"Tata Chemicals (Soda Ash) Partners","Tata Group","$31,000","$0","$31,000","2018","20180827","environment-related offenses","environmental violation","","Air","state","agency action","Wyoming Department of Environmental Quality","civil","","","","","","Wyoming","","","","","","India","","publicly traded","","diversified","diversified","https://drive.google.com/file/d/1q42YHcaUnJdxexwD7LIR8BVw9gKaYPjU/view",""
"Tata Chemicals (Soda Ash) Partners","Tata Group","$7,000","$0","$7,000","2017","20170130","environment-related offenses","environmental violation","","Air","state","agency action","Wyoming Department of Environmental Quality","civil","","","","","","Wyoming","","","","","","India","","publicly traded","","diversified","diversified","https://drive.google.com/file/d/1a3fZ1H8UHZEWYseH6iyKZGK3gyjSlUG3/view",""
"Tata Chemicals (Soda Ash) Partners","Tata Group","$85,000","$0","$85,000","2017","20170126","environment-related offenses","environmental violation","","Land Quality Division","state","agency action","Wyoming Department of Environmental Quality","civil","","","","","","Wyoming","","","","","","India","","publicly traded","","diversified","diversified","https://drive.google.com/file/d/1pR0U6p8grIBfSCRPkwYveeSfwumupF9A/view",""
"Tata Chemicals (Soda Ash) Partners","Tata Group","$20,000","$0","$20,000","2014","20140904","environment-related offenses","environmental violation","","Land Quality Division","state","agency action","Wyoming Department of Environmental Quality","civil","","","","","","Wyoming","","","","","","India","","publicly traded","","diversified","diversified","https://drive.google.com/file/d/1gq3MPFXsaBfVkUZdFQF4oa7rETAhvoAg/view",""
"Tata Chemicals (Soda Ash) Partners","Tata Group","$81,700","$0","$81,700","2013","20130719","environment-related offenses","environmental violation","","Air","state","agency action","Wyoming Department of Environmental Quality","civil","","","","","","Wyoming","","","","","","India","","publicly traded","","diversified","diversified","https://drive.google.com/file/d/1eH7bYU99ycglQVtTcgZ4QQZkZ2Yb1GQ_/view",""
"Tata Chemicals (Soda Ash) Partners","Tata Group","$31,000","$0","$31,000","2012","20120423","environment-related offenses","environmental violation","","Air","state","agency action","Wyoming Department of Environmental Quality","civil","","","","","","Wyoming","","","","","","India","","publicly traded","","diversified","diversified","https://drive.google.com/file/d/1MnJCS_CLMiGLYsPF47958_pqE93Eihjs/view",""
"Jaguar Land Rover North America LLC","Tata Group","$6,877,125","$0","$6,877,125","2020","20200203","safety-related offenses","product safety violation","","Jaguar Land Rover agreed to a settlement estimated to be worth nearly $7 million to resolve class action litigation concerning defective suspensions.","federal","private litigation","","civil","","District of New Jersey","2:12cv7849","Majdipour v. Jaguar Land Rover North America, LLC","settlement","","","","","","","India","","publicly traded","","diversified","diversified","https://www.law360.com/articles/1029727/judge-rejects-6-2m-land-rover-deal-as-unfair-to-drivers",""
"Jaguar Cars Limited","Tata Group","$100,000","$0","$100,000","2003","20031106","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","EF-2000-2001","","","New Jersey","MAHWAH","555 MACARTHUR BLVD","74302327","","","India","","publicly traded","","diversified","diversified","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"JAGUAR CARS","Tata Group","$140,000","$0","$140,000","2000","20001218","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","HQ-2000-0182","","","New Jersey","MAHWAH","555 MACARTHUR BLVD","74302327","","","India","","publicly traded","","diversified","diversified","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"Tata Chemicals (Soda Ash) Partners","Tata Group","$6,841","$0","$6,841","2013","20131217","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Wyoming","Green River","","","","","India","","publicly traded","","diversified","diversified","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Tata Chemicals (Soda Ash) Partners","Tata Group","$7,774","$0","$7,774","2013","20131217","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Wyoming","Green River","","","","","India","","publicly traded","","diversified","diversified","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Tata Chemicals (Soda Ash) Partners","Tata Group","$17,414","$0","$17,414","2013","20131217","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Wyoming","Green River","","","","","India","","publicly traded","","diversified","diversified","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Tata Chemicals (Soda Ash) Partners","Tata Group","$6,841","$0","$6,841","2013","20131217","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Wyoming","Green River","","","","","India","","publicly traded","","diversified","diversified","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Tata Chemicals (Soda Ash) Partners","Tata Group","$5,080","$0","$5,080","2011","20110314","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Wyoming","Green River","","","","","India","","publicly traded","","diversified","diversified","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Tata Chemicals (Soda Ash) Partners","Tata Group","$52,500","$0","$52,500","2011","20111128","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Wyoming","Green River","","","","","India","","publicly traded","","diversified","diversified","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Tata Chemicals (Soda Ash) Partners","Tata Group","$5,776","$0","$5,776","2020","20200609","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Wyoming","Green River","","","","","India","","publicly traded","","diversified","diversified","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Tata Chemicals (Soda Ash) Partners","Tata Group","$6,331","$0","$6,331","2020","20201130","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Wyoming","Green River","","","","","India","","publicly traded","","diversified","diversified","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Tata Chemicals (Soda Ash) Partners","Tata Group","$8,253","$0","$8,253","2020","20201102","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Wyoming","Green River","","","","","India","","publicly traded","","diversified","diversified","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
